Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-17.44509517	73.15772628	30.86856536	81.29730984	7.14	0.00	0.00	
0.00024414	-17.37188873	73.02970170	30.79780647	81.13953865	7.14	0.00	0.00	
0.00048828	-17.44509517	73.02970170	30.79780647	81.15524358	7.14	0.00	0.00	
0.00073242	-17.44509517	73.02970170	30.79780647	81.15524358	7.14	0.00	0.00	
0.00097656	-17.44509517	72.96568941	30.58552981	81.01726859	0.00	0.00	0.00	
0.00122070	-17.51830161	72.83766483	30.65628870	80.94457577	0.00	0.00	0.00	
0.00146484	-17.51830161	72.83766483	30.79780647	80.99827895	0.00	0.00	0.00	
0.00170898	-17.59150805	72.83766483	31.01008314	81.09507895	0.00	0.00	0.00	
0.00195313	-17.59150805	72.83766483	30.86856536	81.04106923	0.00	0.00	0.00	
0.00219727	-17.59150805	72.70964025	30.86856536	80.92602343	0.00	0.00	0.00	
0.00244141	-17.59150805	72.64562796	30.86856536	80.86851516	0.00	0.00	0.00	
0.00268555	-17.59150805	72.70964025	30.86856536	80.92602343	0.00	0.00	0.00	
0.00292969	-17.66471449	72.58161567	30.79780647	80.79998735	0.00	0.00	0.00	
0.00317383	-17.66471449	72.58161567	30.72704759	80.77304331	0.00	0.00	0.00	
0.00341797	-17.73792094	72.64562796	30.72704759	80.84659890	0.00	0.00	0.00	
0.00366211	-17.81112738	72.51760338	30.65628870	80.72079717	0.00	0.00	0.00	
0.00390625	-17.81112738	72.58161567	30.58552981	80.75148188	0.00	0.00	0.00	
0.00415039	-17.81112738	72.58161567	30.65628870	80.77830915	0.00	0.00	0.00	
0.00439453	-17.73792094	72.58161567	30.58552981	80.73536651	0.00	0.00	0.00	
0.00463867	-17.73792094	72.51760338	30.72704759	80.73158051	0.00	0.00	0.00	
0.00488281	-17.59150805	72.45359109	30.65628870	80.61508577	0.00	0.00	0.00	
0.00512695	-17.59150805	72.51760338	30.65628870	80.67262232	0.00	0.00	0.00	
0.00537109	-17.66471449	72.51760338	30.58552981	80.66176028	0.00	0.00	0.00	
0.00561523	-17.51830161	72.51760338	30.65628870	80.65669053	0.00	0.00	0.00	
0.00585938	-17.59150805	72.58161567	30.72704759	80.75706497	0.00	0.00	0.00	
0.00610352	-17.66471449	72.58161567	30.65628870	80.74615228	0.00	0.00	0.00	
0.00634766	-17.51830161	72.45359109	30.72704759	80.62608267	0.00	0.00	0.00	
0.00659180	-17.59150805	72.51760338	31.15160092	80.86214315	0.00	0.00	0.00	
0.00683594	-17.59150805	72.58161567	31.36387759	81.00151175	0.00	0.00	0.00	
0.00708008	-17.51830161	72.51760338	30.93932425	80.76469202	0.00	0.00	0.00	
0.00732422	-17.44509517	72.51760338	30.72704759	80.66774819	0.00	0.00	0.00	
0.00756836	-17.44509517	72.51760338	30.86856536	80.72175960	0.00	0.00	0.00	
0.00781250	-17.37188873	72.51760338	30.93932425	80.73306078	0.00	0.00	0.00	
