Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	13.8489	196.7188	-101.9445	221.9972
1	0.0669	0.0391	0.0080	0.0779
2	0.0995	0.0110	0.0163	0.1015
3	0.0208	0.0010	0.0190	0.0282
4	0.0702	0.0074	0.0108	0.0715
5	0.0106	0.0043	0.0202	0.0232
6	0.0177	0.0012	0.0200	0.0268
7	0.0169	0.0050	0.0267	0.0320
8	0.0138	0.0033	0.0255	0.0292
9	0.0235	0.0079	0.0272	0.0368
10	0.0097	0.0065	0.0218	0.0247
11	0.0128	0.0104	0.0229	0.0283
12	0.0137	0.0046	0.0241	0.0281
13	0.0073	0.0011	0.0222	0.0234
14	0.0091	0.0078	0.0286	0.0310
15	0.0044	0.0091	0.0268	0.0287
16	0.0271	0.0207	0.0390	0.0518
17	0.0694	0.0611	0.0859	0.1262
18	0.0181	0.0143	0.0416	0.0475
19	0.0056	0.0138	0.0281	0.0318
20	0.0112	0.0106	0.0401	0.0429
21	0.0065	0.0040	0.0293	0.0303
22	0.0100	0.0061	0.0356	0.0374
23	0.0048	0.0074	0.0314	0.0326
24	0.0059	0.0035	0.0340	0.0347
25	0.0065	0.0053	0.0340	0.0350
26	0.0053	0.0096	0.0336	0.0354
27	0.0066	0.0068	0.0343	0.0356
28	0.0034	0.0062	0.0324	0.0332
29	0.0066	0.0037	0.0386	0.0394
30	0.0027	0.0042	0.0339	0.0343
31	0.0084	0.0065	0.0393	0.0407
32	0.0051	0.0055	0.0437	0.0444
33	0.0024	0.0071	0.0413	0.0420
34	0.0032	0.0041	0.0483	0.0486
35	0.0026	0.0089	0.0546	0.0554
36	0.0008	0.0065	0.0525	0.0529
37	0.0023	0.0069	0.0628	0.0633
38	0.0026	0.0109	0.0640	0.0650
39	0.0009	0.0099	0.0682	0.0689
40	0.0050	0.0114	0.0849	0.0858
41	0.0055	0.0139	0.0790	0.0804
42	0.0037	0.0123	0.0918	0.0927
43	0.0031	0.0137	0.1017	0.1026
44	0.0049	0.0141	0.1203	0.1213
45	0.0037	0.0193	0.1422	0.1436
46	0.0086	0.0244	0.1792	0.1810
47	0.0093	0.0323	0.2437	0.2460
48	0.0170	0.0464	0.3740	0.3773
49	0.0182	0.0913	0.6985	0.7046
50	1.4272	4.4934	33.7741	34.1016
51	0.0157	0.0951	0.7359	0.7422
52	0.0171	0.0494	0.3416	0.3456
53	0.0151	0.0336	0.2374	0.2403
54	0.0035	0.0233	0.1765	0.1780
55	0.0068	0.0175	0.1410	0.1422
56	0.0093	0.0144	0.1222	0.1234
57	0.0055	0.0136	0.1041	0.1051
58	0.0066	0.0094	0.0822	0.0830
59	0.0081	0.0084	0.0820	0.0829
60	0.0042	0.0070	0.0685	0.0690
61	0.0080	0.0104	0.0652	0.0665
62	0.0069	0.0093	0.0575	0.0586
63	0.0067	0.0106	0.0545	0.0559
64	0.0050	0.0078	0.0530	0.0538
65	0.0041	0.0052	0.0471	0.0475
66	0.0063	0.0061	0.0427	0.0436
67	0.0047	0.0069	0.0429	0.0437
68	0.0032	0.0048	0.0416	0.0420
69	0.0024	0.0051	0.0390	0.0394
70	0.0021	0.0078	0.0385	0.0393
71	0.0050	0.0038	0.0303	0.0309
72	0.0051	0.0055	0.0328	0.0337
73	0.0055	0.0050	0.0317	0.0326
74	0.0042	0.0043	0.0307	0.0312
75	0.0044	0.0032	0.0307	0.0312
76	0.0035	0.0050	0.0285	0.0291
77	0.0036	0.0037	0.0319	0.0323
78	0.0022	0.0035	0.0220	0.0224
79	0.0044	0.0022	0.0246	0.0251
