Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	32.5487	-34.9772	-25.7581	54.2799
1	0.1614	0.0615	0.2043	0.2675
2	0.0811	0.0436	0.1197	0.1510
3	0.0785	0.0445	0.0974	0.1327
4	0.0440	0.0286	0.0706	0.0880
5	0.0345	0.0091	0.0581	0.0682
6	0.0321	0.0070	0.0287	0.0436
7	0.0137	0.0152	0.0139	0.0247
8	0.0089	0.0104	0.0225	0.0263
9	0.0103	0.0110	0.0243	0.0286
10	0.0079	0.0090	0.0139	0.0183
11	0.0189	0.0079	0.0134	0.0245
12	0.0070	0.0094	0.0064	0.0133
13	0.0130	0.0162	0.0160	0.0262
14	0.0086	0.0040	0.0122	0.0154
15	0.0173	0.0012	0.0041	0.0178
16	0.0184	0.0051	0.0117	0.0224
17	0.0320	0.0276	0.0511	0.0663
18	0.0078	0.0088	0.0190	0.0223
19	0.0064	0.0077	0.0134	0.0167
20	0.0039	0.0108	0.0120	0.0166
21	0.0099	0.0085	0.0127	0.0181
22	0.0101	0.0056	0.0120	0.0167
23	0.0019	0.0047	0.0107	0.0119
24	0.0051	0.0080	0.0135	0.0165
25	0.0072	0.0102	0.0149	0.0194
26	0.0074	0.0052	0.0164	0.0187
27	0.0064	0.0027	0.0125	0.0144
28	0.0079	0.0085	0.0127	0.0172
29	0.0063	0.0077	0.0117	0.0154
30	0.0091	0.0075	0.0121	0.0169
31	0.0071	0.0080	0.0125	0.0165
32	0.0057	0.0098	0.0096	0.0149
33	0.0057	0.0122	0.0140	0.0194
34	0.0054	0.0083	0.0105	0.0145
35	0.0081	0.0092	0.0117	0.0169
36	0.0053	0.0096	0.0144	0.0181
37	0.0091	0.0101	0.0157	0.0208
38	0.0073	0.0097	0.0161	0.0202
39	0.0084	0.0149	0.0192	0.0257
40	0.0054	0.0082	0.0135	0.0167
41	0.0113	0.0157	0.0229	0.0299
42	0.0111	0.0141	0.0184	0.0257
43	0.0125	0.0165	0.0232	0.0311
44	0.0147	0.0209	0.0281	0.0380
45	0.0172	0.0256	0.0315	0.0441
46	0.0231	0.0322	0.0375	0.0546
47	0.0295	0.0406	0.0527	0.0728
48	0.0454	0.0618	0.0804	0.1111
49	0.0924	0.1235	0.1555	0.2191
50	7.4086	9.0445	11.2563	16.2295
51	0.0972	0.1199	0.1513	0.2162
52	0.0475	0.0619	0.0821	0.1133
53	0.0338	0.0387	0.0497	0.0714
54	0.0240	0.0287	0.0353	0.0515
55	0.0206	0.0219	0.0295	0.0421
56	0.0169	0.0190	0.0252	0.0357
57	0.0112	0.0161	0.0212	0.0289
58	0.0116	0.0136	0.0138	0.0226
59	0.0126	0.0162	0.0161	0.0261
60	0.0118	0.0129	0.0157	0.0235
61	0.0103	0.0102	0.0089	0.0170
62	0.0104	0.0102	0.0071	0.0162
63	0.0091	0.0081	0.0136	0.0183
64	0.0057	0.0055	0.0083	0.0115
65	0.0067	0.0068	0.0077	0.0122
66	0.0073	0.0065	0.0080	0.0126
67	0.0081	0.0080	0.0073	0.0135
68	0.0079	0.0044	0.0057	0.0107
69	0.0082	0.0020	0.0039	0.0093
70	0.0048	0.0048	0.0077	0.0103
71	0.0049	0.0069	0.0074	0.0113
72	0.0050	0.0051	0.0049	0.0087
73	0.0049	0.0066	0.0032	0.0088
74	0.0044	0.0036	0.0072	0.0091
75	0.0047	0.0050	0.0052	0.0086
76	0.0042	0.0054	0.0068	0.0097
77	0.0048	0.0075	0.0053	0.0103
78	0.0048	0.0034	0.0046	0.0075
79	0.0033	0.0067	0.0029	0.0080
80	0.0029	0.0007	0.0084	0.0089
81	0.0026	0.0036	0.0041	0.0060
82	0.0042	0.0024	0.0040	0.0063
83	0.0043	0.0031	0.0028	0.0060
84	0.0036	0.0060	0.0048	0.0085
85	0.0055	0.0033	0.0005	0.0065
86	0.0046	0.0031	0.0025	0.0061
87	0.0015	0.0038	0.0040	0.0057
88	0.0017	0.0034	0.0038	0.0054
89	0.0049	0.0043	0.0031	0.0072
90	0.0014	0.0013	0.0006	0.0020
91	0.0037	0.0023	0.0046	0.0063
92	0.0028	0.0020	0.0026	0.0043
93	0.0051	0.0017	0.0030	0.0061
94	0.0030	0.0019	0.0016	0.0039
95	0.0040	0.0023	0.0017	0.0049
96	0.0049	0.0031	0.0038	0.0069
97	0.0034	0.0028	0.0036	0.0057
98	0.0023	0.0035	0.0009	0.0043
99	0.0031	0.0004	0.0026	0.0041
100	0.0451	0.0604	0.0401	0.0854
101	0.0044	0.0038	0.0023	0.0062
102	0.0019	0.0022	0.0051	0.0059
103	0.0024	0.0020	0.0034	0.0046
104	0.0031	0.0051	0.0012	0.0061
105	0.0014	0.0019	0.0038	0.0045
106	0.0012	0.0024	0.0043	0.0051
107	0.0025	0.0003	0.0023	0.0034
108	0.0010	0.0013	0.0025	0.0030
109	0.0036	0.0016	0.0025	0.0047
110	0.0026	0.0007	0.0019	0.0033
111	0.0042	0.0018	0.0007	0.0046
112	0.0017	0.0024	0.0025	0.0039
113	0.0028	0.0017	0.0035	0.0048
114	0.0025	0.0019	0.0040	0.0051
115	0.0008	0.0011	0.0026	0.0029
116	0.0026	0.0020	0.0031	0.0045
117	0.0015	0.0016	0.0046	0.0051
118	0.0028	0.0022	0.0004	0.0036
119	0.0042	0.0028	0.0045	0.0068
120	0.0013	0.0031	0.0014	0.0036
121	0.0038	0.0011	0.0037	0.0054
122	0.0028	0.0018	0.0024	0.0041
123	0.0025	0.0014	0.0012	0.0031
124	0.0027	0.0016	0.0007	0.0032
125	0.0026	0.0026	0.0023	0.0044
126	0.0038	0.0026	0.0022	0.0051
127	0.0028	0.0048	0.0038	0.0067
128	0.0026	0.0029	0.0012	0.0041
129	0.0036	0.0026	0.0028	0.0052
130	0.0023	0.0024	0.0011	0.0035
131	0.0079	0.0075	0.0126	0.0166
132	0.0014	0.0030	0.0035	0.0048
133	0.0026	0.0026	0.0067	0.0076
134	0.0036	0.0034	0.0039	0.0063
135	0.0031	0.0031	0.0031	0.0054
136	0.0040	0.0031	0.0024	0.0056
137	0.0027	0.0006	0.0041	0.0049
138	0.0024	0.0039	0.0040	0.0060
139	0.0041	0.0046	0.0052	0.0081
140	0.0018	0.0029	0.0030	0.0046
141	0.0042	0.0038	0.0029	0.0063
142	0.0027	0.0046	0.0025	0.0059
143	0.0047	0.0042	0.0042	0.0076
144	0.0040	0.0032	0.0057	0.0077
145	0.0038	0.0055	0.0036	0.0076
146	0.0059	0.0057	0.0064	0.0104
147	0.0064	0.0083	0.0088	0.0137
148	0.0090	0.0111	0.0083	0.0166
149	0.0118	0.0167	0.0231	0.0308
150	0.4004	0.5528	0.6023	0.9103
151	0.0141	0.0195	0.0204	0.0316
152	0.0065	0.0081	0.0119	0.0158
153	0.0045	0.0076	0.0073	0.0115
154	0.0032	0.0041	0.0042	0.0067
155	0.0031	0.0037	0.0041	0.0063
156	0.0031	0.0030	0.0033	0.0054
157	0.0028	0.0027	0.0021	0.0044
158	0.0026	0.0021	0.0016	0.0038
159	0.0012	0.0010	0.0032	0.0035
160	0.0021	0.0005	0.0015	0.0026
161	0.0027	0.0017	0.0018	0.0036
162	0.0003	0.0008	0.0019	0.0021
163	0.0022	0.0003	0.0014	0.0026
164	0.0024	0.0009	0.0015	0.0029
165	0.0010	0.0010	0.0008	0.0016
166	0.0023	0.0026	0.0026	0.0043
167	0.0008	0.0043	0.0038	0.0058
168	0.0032	0.0020	0.0034	0.0051
169	0.0033	0.0046	0.0070	0.0090
170	0.0022	0.0022	0.0021	0.0038
171	0.0018	0.0020	0.0013	0.0030
172	0.0026	0.0002	0.0006	0.0026
173	0.0023	0.0029	0.0018	0.0041
174	0.0016	0.0014	0.0018	0.0028
175	0.0027	0.0025	0.0026	0.0045
176	0.0028	0.0017	0.0028	0.0043
177	0.0017	0.0015	0.0018	0.0029
178	0.0019	0.0020	0.0026	0.0038
179	0.0033	0.0040	0.0038	0.0064
180	0.0018	0.0035	0.0026	0.0048
181	0.0002	0.0012	0.0028	0.0030
182	0.0017	0.0010	0.0017	0.0026
183	0.0003	0.0023	0.0028	0.0036
184	0.0018	0.0015	0.0022	0.0032
185	0.0024	0.0005	0.0016	0.0030
186	0.0006	0.0014	0.0033	0.0037
187	0.0028	0.0015	0.0021	0.0038
188	0.0017	0.0006	0.0017	0.0025
189	0.0015	0.0024	0.0006	0.0028
190	0.0013	0.0011	0.0016	0.0023
191	0.0009	0.0025	0.0005	0.0027
192	0.0011	0.0011	0.0020	0.0025
