Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	117.91361640	-33.29471258	40.35025650	128.99729461	10.28	0.00	0.00	
0.00024414	117.18155198	-33.48674946	41.19936317	128.64783729	10.28	0.00	0.00	
0.00048828	116.59590044	-33.67878633	42.11922873	128.46359047	10.28	0.00	0.00	
0.00073242	115.71742313	-33.80681091	43.32212984	128.10241768	10.28	0.00	0.00	
0.00097656	114.91215227	-33.99884778	44.80806651	127.93938883	0.00	0.00	0.00	
0.00122070	114.39970717	-34.06286007	45.94020874	127.89868731	0.00	0.00	0.00	
0.00146484	113.96046852	-34.25489694	47.00159208	127.94348755	0.00	0.00	0.00	
0.00170898	113.59443631	-34.31890923	47.63842208	127.87064851	0.00	0.00	0.00	
0.00195313	113.22840410	-34.44693381	47.99221652	127.71262894	0.00	0.00	0.00	
0.00219727	112.71595900	-34.44693381	48.34601097	127.39236806	0.00	0.00	0.00	
0.00244141	112.27672035	-34.57495839	48.62904652	127.14666274	0.00	0.00	0.00	
0.00268555	111.91068814	-34.57495839	49.33663541	127.09655173	0.00	0.00	0.00	
0.00292969	111.61786237	-34.57495839	50.25650097	127.19941367	0.00	0.00	0.00	
0.00317383	111.32503660	-34.63897068	51.24712542	127.35536867	0.00	0.00	0.00	
0.00341797	110.95900439	-34.63897068	52.52078542	127.55466219	0.00	0.00	0.00	
0.00366211	110.37335286	-34.70298297	53.29913320	127.38670122	0.00	0.00	0.00	
0.00390625	110.22693997	-34.51094610	53.65292765	127.35627327	0.00	0.00	0.00	
0.00415039	110.08052709	-34.25489694	54.36051654	127.46052788	0.00	0.00	0.00	
0.00439453	110.00732064	-34.12687236	54.28975765	127.33276011	0.00	0.00	0.00	
0.00463867	110.00732064	-34.12687236	53.58216876	127.03268407	0.00	0.00	0.00	
0.00488281	110.00732064	-33.99884778	53.36989209	126.90893439	0.00	0.00	0.00	
0.00512695	109.86090776	-33.87082320	53.65292765	126.86720760	0.00	0.00	0.00	
0.00537109	109.64128843	-33.80681091	54.64355210	127.08276980	0.00	0.00	0.00	
0.00561523	109.49487555	-33.74279862	55.56341765	127.33812317	0.00	0.00	0.00	
0.00585938	109.42166911	-33.61477404	55.91721210	127.39619034	0.00	0.00	0.00	
0.00610352	109.56808199	-33.55076175	55.91721210	127.50510897	0.00	0.00	0.00	
0.00634766	109.71449488	-33.35872488	55.49265877	127.39509444	0.00	0.00	0.00	
0.00659180	110.00732064	-33.03866342	54.85582876	127.28835699	0.00	0.00	0.00	
0.00683594	110.44655930	-32.78261426	54.57279321	127.48071233	0.00	0.00	0.00	
0.00708008	110.66617862	-32.46255281	54.21899876	127.43829979	0.00	0.00	0.00	
0.00732422	111.25183016	-32.20650365	53.65292765	127.64350840	0.00	0.00	0.00	
0.00756836	111.98389458	-31.82242991	52.94533876	127.89162829	0.00	0.00	0.00	
0.00781250	112.20351391	-31.75841762	53.29913320	128.21475431	0.00	0.00	0.00	
0.00805664	112.27672035	-31.69440533	53.86520432	128.49925096	0.00	0.00	0.00	
0.00830078	112.42313324	-31.56638075	53.79444543	128.56609055	0.00	0.00	0.00	
0.00854492	112.78916545	-31.37434387	53.29913320	128.63336618	0.00	0.00	0.00	
0.00878906	113.30161054	-31.11829471	52.30850876	128.61486425	0.00	0.00	0.00	
0.00903320	113.81405564	-30.79823326	51.38864320	128.61945064	0.00	0.00	0.00	
