Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-57.3389	-94.1810	-65.5361	128.2685
1	0.0209	0.1180	0.1148	0.1659
2	0.0107	0.0155	0.0384	0.0427
3	0.0156	0.0299	0.0260	0.0426
4	0.0098	0.0163	0.0171	0.0256
5	0.0073	0.0185	0.0072	0.0211
6	0.0043	0.0128	0.0073	0.0153
7	0.0067	0.0130	0.0045	0.0153
8	0.0097	0.0072	0.0062	0.0136
9	0.0054	0.0065	0.0114	0.0142
10	0.0069	0.0031	0.0049	0.0090
11	0.0045	0.0063	0.0029	0.0083
12	0.0012	0.0045	0.0041	0.0062
13	0.0012	0.0040	0.0070	0.0081
14	0.0017	0.0029	0.0060	0.0069
15	0.0022	0.0006	0.0062	0.0066
16	0.0097	0.0130	0.0165	0.0231
17	0.0378	0.0468	0.0588	0.0841
18	0.0152	0.0176	0.0163	0.0284
19	0.0094	0.0104	0.0111	0.0179
20	0.0078	0.0124	0.0089	0.0172
21	0.0056	0.0062	0.0049	0.0097
22	0.0028	0.0074	0.0095	0.0123
23	0.0034	0.0081	0.0030	0.0093
24	0.0073	0.0021	0.0090	0.0118
25	0.0043	0.0060	0.0093	0.0118
26	0.0012	0.0051	0.0040	0.0065
27	0.0039	0.0058	0.0040	0.0080
28	0.0024	0.0087	0.0068	0.0113
29	0.0013	0.0049	0.0036	0.0063
30	0.0049	0.0028	0.0064	0.0085
31	0.0018	0.0042	0.0032	0.0056
32	0.0025	0.0049	0.0054	0.0077
33	0.0015	0.0048	0.0077	0.0092
34	0.0007	0.0056	0.0008	0.0057
35	0.0022	0.0034	0.0012	0.0043
36	0.0024	0.0031	0.0025	0.0047
37	0.0016	0.0049	0.0032	0.0060
38	0.0025	0.0063	0.0019	0.0070
39	0.0012	0.0043	0.0036	0.0057
40	0.0027	0.0029	0.0028	0.0049
41	0.0019	0.0024	0.0032	0.0045
42	0.0017	0.0040	0.0023	0.0049
43	0.0028	0.0024	0.0018	0.0041
44	0.0034	0.0034	0.0009	0.0049
45	0.0027	0.0015	0.0015	0.0034
46	0.0016	0.0042	0.0018	0.0048
47	0.0048	0.0016	0.0029	0.0059
48	0.0011	0.0022	0.0027	0.0036
49	0.0020	0.0017	0.0027	0.0038
50	0.0222	0.0744	0.0310	0.0836
51	0.0049	0.0024	0.0038	0.0066
52	0.0018	0.0046	0.0011	0.0051
53	0.0025	0.0049	0.0029	0.0062
54	0.0030	0.0032	0.0044	0.0062
55	0.0012	0.0021	0.0024	0.0034
56	0.0024	0.0024	0.0018	0.0038
57	0.0017	0.0020	0.0027	0.0038
58	0.0009	0.0016	0.0019	0.0027
59	0.0012	0.0030	0.0004	0.0033
60	0.0026	0.0046	0.0023	0.0058
61	0.0015	0.0044	0.0034	0.0057
62	0.0002	0.0004	0.0011	0.0012
63	0.0027	0.0015	0.0036	0.0047
64	0.0030	0.0012	0.0014	0.0036
65	0.0019	0.0040	0.0035	0.0056
66	0.0037	0.0028	0.0024	0.0053
67	0.0011	0.0023	0.0010	0.0028
68	0.0029	0.0020	0.0024	0.0042
69	0.0013	0.0024	0.0036	0.0046
70	0.0033	0.0015	0.0009	0.0037
71	0.0031	0.0028	0.0051	0.0066
72	0.0014	0.0020	0.0017	0.0030
73	0.0017	0.0008	0.0031	0.0036
74	0.0015	0.0012	0.0014	0.0024
75	0.0014	0.0019	0.0030	0.0038
76	0.0021	0.0024	0.0022	0.0039
77	0.0030	0.0019	0.0018	0.0040
78	0.0035	0.0010	0.0011	0.0038
79	0.0008	0.0038	0.0015	0.0042
80	0.0007	0.0010	0.0021	0.0024
81	0.0025	0.0002	0.0027	0.0037
82	0.0012	0.0008	0.0013	0.0020
83	0.0016	0.0021	0.0004	0.0027
84	0.0035	0.0042	0.0010	0.0056
85	0.0014	0.0002	0.0006	0.0015
86	0.0021	0.0016	0.0017	0.0032
87	0.0011	0.0019	0.0005	0.0023
88	0.0030	0.0030	0.0028	0.0051
89	0.0014	0.0008	0.0010	0.0019
90	0.0009	0.0024	0.0017	0.0030
91	0.0020	0.0018	0.0034	0.0043
92	0.0028	0.0037	0.0018	0.0049
93	0.0026	0.0025	0.0010	0.0038
94	0.0021	0.0016	0.0022	0.0035
95	0.0022	0.0021	0.0009	0.0032
96	0.0037	0.0016	0.0015	0.0043
97	0.0031	0.0026	0.0004	0.0040
98	0.0020	0.0005	0.0030	0.0036
99	0.0012	0.0029	0.0011	0.0033
100	0.0040	0.0017	0.0026	0.0050
101	0.0013	0.0006	0.0017	0.0022
102	0.0031	0.0007	0.0031	0.0044
103	0.0015	0.0010	0.0006	0.0019
104	0.0021	0.0021	0.0017	0.0034
105	0.0016	0.0012	0.0016	0.0026
106	0.0023	0.0018	0.0023	0.0037
107	0.0015	0.0017	0.0015	0.0027
108	0.0013	0.0016	0.0013	0.0025
109	0.0018	0.0008	0.0016	0.0025
110	0.0017	0.0013	0.0015	0.0026
111	0.0010	0.0025	0.0023	0.0036
112	0.0008	0.0008	0.0016	0.0020
113	0.0005	0.0004	0.0017	0.0018
114	0.0021	0.0030	0.0006	0.0037
115	0.0005	0.0022	0.0022	0.0031
116	0.0013	0.0022	0.0009	0.0027
117	0.0034	0.0028	0.0013	0.0047
118	0.0024	0.0011	0.0023	0.0035
119	0.0008	0.0019	0.0014	0.0025
120	0.0020	0.0007	0.0024	0.0032
121	0.0016	0.0020	0.0033	0.0041
122	0.0027	0.0020	0.0007	0.0034
123	0.0032	0.0010	0.0023	0.0041
124	0.0012	0.0018	0.0024	0.0032
125	0.0011	0.0030	0.0017	0.0036
126	0.0021	0.0025	0.0019	0.0037
127	0.0006	0.0016	0.0034	0.0038
128	0.0009	0.0017	0.0006	0.0020
129	0.0014	0.0005	0.0020	0.0025
130	0.0012	0.0007	0.0017	0.0021
131	0.0020	0.0006	0.0022	0.0030
132	0.0011	0.0019	0.0038	0.0043
133	0.0014	0.0010	0.0026	0.0031
134	0.0010	0.0021	0.0033	0.0040
135	0.0008	0.0011	0.0008	0.0016
136	0.0003	0.0013	0.0018	0.0022
137	0.0012	0.0013	0.0011	0.0021
138	0.0016	0.0006	0.0021	0.0027
139	0.0012	0.0021	0.0021	0.0031
140	0.0009	0.0019	0.0012	0.0024
141	0.0010	0.0036	0.0007	0.0038
142	0.0007	0.0010	0.0011	0.0017
143	0.0019	0.0012	0.0015	0.0027
144	0.0005	0.0011	0.0030	0.0032
145	0.0031	0.0023	0.0001	0.0039
146	0.0005	0.0003	0.0007	0.0009
147	0.0026	0.0010	0.0016	0.0033
148	0.0008	0.0018	0.0020	0.0028
149	0.0013	0.0022	0.0009	0.0027
150	0.0024	0.0026	0.0021	0.0041
151	0.0010	0.0007	0.0005	0.0013
152	0.0006	0.0013	0.0037	0.0039
153	0.0026	0.0013	0.0011	0.0030
154	0.0022	0.0014	0.0020	0.0033
155	0.0004	0.0016	0.0022	0.0027
156	0.0019	0.0003	0.0017	0.0026
157	0.0013	0.0011	0.0013	0.0022
158	0.0013	0.0008	0.0003	0.0015
159	0.0014	0.0013	0.0012	0.0023
160	0.0010	0.0008	0.0004	0.0013
161	0.0011	0.0013	0.0009	0.0020
162	0.0026	0.0005	0.0014	0.0030
163	0.0013	0.0009	0.0015	0.0022
164	0.0024	0.0018	0.0019	0.0035
165	0.0012	0.0020	0.0010	0.0026
166	0.0012	0.0020	0.0004	0.0023
167	0.0022	0.0011	0.0023	0.0034
168	0.0012	0.0015	0.0006	0.0020
169	0.0021	0.0012	0.0012	0.0027
170	0.0008	0.0015	0.0025	0.0030
171	0.0009	0.0006	0.0029	0.0031
172	0.0010	0.0026	0.0008	0.0029
173	0.0020	0.0007	0.0010	0.0023
174	0.0017	0.0025	0.0022	0.0038
175	0.0016	0.0009	0.0027	0.0032
176	0.0006	0.0004	0.0030	0.0031
177	0.0016	0.0011	0.0011	0.0023
178	0.0016	0.0011	0.0020	0.0029
179	0.0010	0.0017	0.0009	0.0022
180	0.0012	0.0016	0.0001	0.0020
181	0.0006	0.0013	0.0012	0.0019
182	0.0011	0.0017	0.0008	0.0022
183	0.0007	0.0021	0.0028	0.0036
184	0.0005	0.0016	0.0019	0.0025
185	0.0009	0.0009	0.0020	0.0024
186	0.0013	0.0013	0.0013	0.0023
187	0.0023	0.0014	0.0033	0.0043
188	0.0010	0.0005	0.0013	0.0017
189	0.0001	0.0006	0.0017	0.0018
190	0.0013	0.0019	0.0019	0.0030
191	0.0018	0.0014	0.0017	0.0029
192	0.0019	0.0008	0.0013	0.0024
193	0.0002	0.0020	0.0002	0.0021
194	0.0021	0.0008	0.0010	0.0025
195	0.0015	0.0019	0.0001	0.0024
196	0.0011	0.0013	0.0019	0.0026
197	0.0026	0.0011	0.0017	0.0033
198	0.0014	0.0016	0.0016	0.0027
199	0.0019	0.0024	0.0015	0.0034
200	0.0023	0.0010	0.0022	0.0033
201	0.0022	0.0059	0.0047	0.0078
202	0.0006	0.0027	0.0011	0.0030
203	0.0013	0.0018	0.0015	0.0027
204	0.0006	0.0007	0.0025	0.0026
205	0.0019	0.0021	0.0013	0.0031
206	0.0003	0.0024	0.0007	0.0025
207	0.0017	0.0019	0.0010	0.0028
208	0.0025	0.0020	0.0018	0.0037
209	0.0030	0.0013	0.0006	0.0033
210	0.0028	0.0020	0.0008	0.0035
211	0.0017	0.0020	0.0013	0.0029
212	0.0000	0.0013	0.0013	0.0018
213	0.0012	0.0017	0.0022	0.0031
214	0.0011	0.0004	0.0018	0.0021
215	0.0011	0.0007	0.0013	0.0018
216	0.0003	0.0011	0.0015	0.0019
217	0.0014	0.0009	0.0029	0.0033
218	0.0013	0.0006	0.0005	0.0015
219	0.0009	0.0014	0.0017	0.0023
220	0.0005	0.0006	0.0020	0.0021
221	0.0012	0.0020	0.0016	0.0028
222	0.0012	0.0006	0.0012	0.0018
223	0.0008	0.0009	0.0005	0.0013
224	0.0014	0.0004	0.0022	0.0026
225	0.0003	0.0004	0.0017	0.0018
226	0.0001	0.0004	0.0016	0.0016
227	0.0013	0.0006	0.0005	0.0015
228	0.0014	0.0016	0.0006	0.0023
229	0.0020	0.0006	0.0023	0.0031
230	0.0013	0.0001	0.0005	0.0014
231	0.0003	0.0029	0.0007	0.0030
232	0.0012	0.0011	0.0011	0.0020
233	0.0022	0.0009	0.0022	0.0033
234	0.0019	0.0021	0.0019	0.0034
235	0.0015	0.0015	0.0002	0.0021
236	0.0006	0.0017	0.0007	0.0019
237	0.0017	0.0010	0.0016	0.0025
238	0.0007	0.0019	0.0008	0.0022
239	0.0004	0.0007	0.0007	0.0011
240	0.0008	0.0014	0.0009	0.0018
241	0.0008	0.0009	0.0010	0.0016
242	0.0017	0.0005	0.0021	0.0028
243	0.0008	0.0024	0.0005	0.0026
244	0.0014	0.0017	0.0007	0.0023
245	0.0013	0.0011	0.0007	0.0019
246	0.0008	0.0014	0.0006	0.0017
247	0.0010	0.0012	0.0006	0.0017
248	0.0013	0.0009	0.0010	0.0019
249	0.0020	0.0006	0.0004	0.0022
250	0.0025	0.0006	0.0010	0.0027
251	0.0011	0.0013	0.0004	0.0018
252	0.0012	0.0016	0.0011	0.0023
253	0.0007	0.0006	0.0005	0.0011
254	0.0015	0.0007	0.0022	0.0028
255	0.0007	0.0008	0.0009	0.0014
256	0.0008	0.0006	0.0004	0.0011
257	0.0018	0.0023	0.0011	0.0031
258	0.0027	0.0005	0.0008	0.0029
259	0.0006	0.0004	0.0011	0.0014
260	0.0013	0.0012	0.0013	0.0022
261	0.0024	0.0012	0.0010	0.0028
262	0.0015	0.0015	0.0021	0.0030
263	0.0005	0.0021	0.0015	0.0026
264	0.0011	0.0008	0.0011	0.0017
265	0.0017	0.0006	0.0020	0.0027
266	0.0011	0.0005	0.0014	0.0018
267	0.0005	0.0016	0.0021	0.0027
268	0.0009	0.0014	0.0023	0.0028
269	0.0010	0.0009	0.0018	0.0022
270	0.0007	0.0023	0.0009	0.0026
271	0.0013	0.0005	0.0017	0.0022
272	0.0002	0.0014	0.0003	0.0015
273	0.0010	0.0011	0.0009	0.0017
274	0.0002	0.0022	0.0032	0.0039
275	0.0011	0.0007	0.0014	0.0019
276	0.0011	0.0002	0.0023	0.0026
277	0.0015	0.0009	0.0009	0.0020
278	0.0011	0.0011	0.0023	0.0027
279	0.0008	0.0018	0.0004	0.0021
280	0.0005	0.0007	0.0015	0.0018
281	0.0013	0.0018	0.0006	0.0023
282	0.0012	0.0014	0.0006	0.0020
283	0.0007	0.0007	0.0002	0.0010
284	0.0027	0.0002	0.0009	0.0029
285	0.0002	0.0027	0.0002	0.0027
286	0.0009	0.0020	0.0011	0.0024
287	0.0013	0.0014	0.0014	0.0023
288	0.0020	0.0014	0.0003	0.0024
289	0.0011	0.0008	0.0018	0.0022
290	0.0021	0.0009	0.0013	0.0026
291	0.0004	0.0019	0.0008	0.0021
292	0.0006	0.0003	0.0008	0.0010
293	0.0008	0.0014	0.0006	0.0017
294	0.0013	0.0003	0.0012	0.0018
295	0.0014	0.0019	0.0006	0.0025
296	0.0013	0.0010	0.0012	0.0021
297	0.0011	0.0003	0.0008	0.0014
298	0.0003	0.0009	0.0027	0.0028
299	0.0012	0.0006	0.0019	0.0023
300	0.0016	0.0013	0.0005	0.0021
301	0.0013	0.0012	0.0012	0.0022
302	0.0010	0.0012	0.0010	0.0018
303	0.0009	0.0016	0.0006	0.0020
304	0.0010	0.0007	0.0015	0.0019
305	0.0007	0.0007	0.0006	0.0012
306	0.0008	0.0020	0.0007	0.0023
307	0.0008	0.0010	0.0007	0.0014
308	0.0012	0.0016	0.0013	0.0024
309	0.0016	0.0005	0.0005	0.0017
310	0.0008	0.0010	0.0004	0.0014
311	0.0012	0.0006	0.0008	0.0016
312	0.0008	0.0014	0.0008	0.0018
313	0.0008	0.0005	0.0007	0.0012
314	0.0014	0.0005	0.0004	0.0016
315	0.0022	0.0003	0.0017	0.0028
316	0.0018	0.0008	0.0015	0.0025
317	0.0005	0.0019	0.0017	0.0026
318	0.0013	0.0011	0.0018	0.0025
319	0.0010	0.0020	0.0005	0.0023
320	0.0023	0.0008	0.0012	0.0027
321	0.0009	0.0016	0.0005	0.0018
322	0.0013	0.0014	0.0005	0.0019
323	0.0010	0.0006	0.0005	0.0012
324	0.0021	0.0007	0.0029	0.0036
325	0.0012	0.0010	0.0007	0.0017
326	0.0004	0.0009	0.0011	0.0015
327	0.0012	0.0004	0.0014	0.0019
328	0.0015	0.0011	0.0022	0.0029
329	0.0015	0.0009	0.0020	0.0026
330	0.0009	0.0007	0.0014	0.0018
331	0.0017	0.0022	0.0005	0.0029
332	0.0026	0.0009	0.0016	0.0032
333	0.0008	0.0005	0.0006	0.0011
334	0.0007	0.0017	0.0002	0.0019
335	0.0002	0.0015	0.0026	0.0030
336	0.0016	0.0012	0.0016	0.0026
337	0.0003	0.0012	0.0013	0.0018
338	0.0020	0.0011	0.0021	0.0030
339	0.0026	0.0007	0.0012	0.0029
340	0.0014	0.0008	0.0010	0.0019
341	0.0009	0.0021	0.0007	0.0024
342	0.0015	0.0014	0.0009	0.0023
343	0.0015	0.0025	0.0014	0.0032
344	0.0005	0.0015	0.0017	0.0023
345	0.0017	0.0025	0.0010	0.0032
346	0.0008	0.0015	0.0020	0.0026
347	0.0002	0.0009	0.0016	0.0019
348	0.0018	0.0007	0.0020	0.0028
349	0.0010	0.0011	0.0012	0.0019
350	0.0034	0.0010	0.0004	0.0036
351	0.0014	0.0004	0.0009	0.0017
352	0.0002	0.0014	0.0016	0.0022
353	0.0011	0.0014	0.0015	0.0023
354	0.0013	0.0013	0.0014	0.0023
355	0.0006	0.0012	0.0017	0.0021
356	0.0013	0.0010	0.0007	0.0018
357	0.0026	0.0010	0.0011	0.0030
358	0.0011	0.0010	0.0004	0.0015
359	0.0011	0.0012	0.0005	0.0017
360	0.0007	0.0006	0.0014	0.0017
361	0.0014	0.0008	0.0016	0.0023
362	0.0003	0.0007	0.0008	0.0011
363	0.0009	0.0016	0.0016	0.0024
364	0.0019	0.0013	0.0013	0.0026
365	0.0012	0.0013	0.0031	0.0035
366	0.0014	0.0005	0.0004	0.0015
367	0.0007	0.0013	0.0008	0.0017
368	0.0010	0.0008	0.0009	0.0015
369	0.0020	0.0013	0.0018	0.0030
370	0.0003	0.0008	0.0011	0.0014
371	0.0020	0.0005	0.0001	0.0020
372	0.0014	0.0021	0.0009	0.0026
373	0.0010	0.0013	0.0011	0.0020
374	0.0018	0.0011	0.0006	0.0022
375	0.0010	0.0003	0.0004	0.0011
376	0.0011	0.0016	0.0013	0.0024
377	0.0007	0.0011	0.0007	0.0014
378	0.0008	0.0016	0.0007	0.0019
379	0.0004	0.0008	0.0015	0.0018
380	0.0009	0.0013	0.0008	0.0018
381	0.0019	0.0009	0.0008	0.0023
382	0.0005	0.0007	0.0010	0.0014
383	0.0011	0.0008	0.0016	0.0021
384	0.0015	0.0007	0.0003	0.0017
385	0.0003	0.0015	0.0002	0.0016
386	0.0008	0.0008	0.0006	0.0013
387	0.0010	0.0009	0.0010	0.0017
388	0.0001	0.0018	0.0008	0.0020
389	0.0011	0.0013	0.0012	0.0020
390	0.0004	0.0006	0.0004	0.0008
391	0.0006	0.0017	0.0010	0.0021
392	0.0002	0.0019	0.0004	0.0019
393	0.0007	0.0011	0.0005	0.0014
394	0.0006	0.0011	0.0010	0.0016
395	0.0018	0.0017	0.0017	0.0030
396	0.0003	0.0012	0.0008	0.0014
397	0.0023	0.0024	0.0012	0.0035
398	0.0019	0.0008	0.0008	0.0022
399	0.0018	0.0007	0.0009	0.0021
400	0.0021	0.0019	0.0026	0.0038
401	0.0007	0.0022	0.0012	0.0026
402	0.0024	0.0014	0.0028	0.0039
403	0.0016	0.0015	0.0014	0.0026
404	0.0010	0.0031	0.0024	0.0040
405	0.0008	0.0003	0.0007	0.0011
406	0.0015	0.0013	0.0003	0.0020
407	0.0011	0.0006	0.0002	0.0013
408	0.0009	0.0013	0.0015	0.0022
409	0.0010	0.0021	0.0008	0.0025
410	0.0017	0.0005	0.0011	0.0021
411	0.0005	0.0006	0.0003	0.0009
412	0.0013	0.0013	0.0017	0.0025
413	0.0008	0.0006	0.0002	0.0011
414	0.0013	0.0014	0.0015	0.0024
415	0.0032	0.0006	0.0004	0.0033
416	0.0003	0.0010	0.0021	0.0024
417	0.0008	0.0018	0.0009	0.0022
418	0.0013	0.0006	0.0007	0.0016
419	0.0004	0.0008	0.0008	0.0012
420	0.0013	0.0007	0.0011	0.0019
421	0.0011	0.0008	0.0006	0.0015
422	0.0018	0.0005	0.0012	0.0022
423	0.0002	0.0011	0.0013	0.0017
424	0.0016	0.0020	0.0006	0.0026
425	0.0017	0.0006	0.0004	0.0018
426	0.0016	0.0011	0.0004	0.0020
427	0.0013	0.0022	0.0014	0.0029
428	0.0016	0.0014	0.0003	0.0021
429	0.0011	0.0017	0.0007	0.0021
430	0.0008	0.0004	0.0009	0.0013
431	0.0003	0.0003	0.0010	0.0011
432	0.0007	0.0011	0.0007	0.0015
433	0.0022	0.0003	0.0016	0.0027
434	0.0006	0.0015	0.0010	0.0020
435	0.0007	0.0009	0.0008	0.0014
436	0.0017	0.0007	0.0012	0.0022
437	0.0013	0.0012	0.0002	0.0017
438	0.0005	0.0009	0.0018	0.0021
439	0.0003	0.0006	0.0011	0.0013
440	0.0010	0.0007	0.0019	0.0022
441	0.0004	0.0019	0.0011	0.0022
442	0.0003	0.0027	0.0010	0.0029
443	0.0005	0.0011	0.0009	0.0015
444	0.0008	0.0010	0.0010	0.0017
445	0.0001	0.0009	0.0008	0.0012
446	0.0009	0.0002	0.0014	0.0017
447	0.0009	0.0009	0.0002	0.0013
448	0.0011	0.0009	0.0018	0.0024
449	0.0002	0.0006	0.0019	0.0021
450	0.0029	0.0015	0.0020	0.0038
451	0.0007	0.0011	0.0006	0.0014
452	0.0004	0.0002	0.0014	0.0015
453	0.0006	0.0011	0.0013	0.0018
454	0.0015	0.0016	0.0010	0.0024
455	0.0017	0.0009	0.0006	0.0020
456	0.0014	0.0010	0.0007	0.0019
457	0.0006	0.0005	0.0019	0.0021
458	0.0002	0.0012	0.0009	0.0015
459	0.0014	0.0012	0.0013	0.0023
460	0.0014	0.0015	0.0005	0.0022
461	0.0018	0.0015	0.0006	0.0024
462	0.0002	0.0006	0.0017	0.0018
463	0.0008	0.0012	0.0008	0.0017
464	0.0018	0.0006	0.0010	0.0021
465	0.0008	0.0008	0.0008	0.0013
466	0.0008	0.0010	0.0008	0.0015
467	0.0018	0.0010	0.0004	0.0021
468	0.0014	0.0008	0.0018	0.0024
469	0.0018	0.0009	0.0010	0.0022
470	0.0005	0.0011	0.0017	0.0021
471	0.0004	0.0011	0.0008	0.0014
472	0.0016	0.0009	0.0007	0.0020
473	0.0019	0.0016	0.0007	0.0026
474	0.0009	0.0006	0.0012	0.0015
475	0.0018	0.0004	0.0014	0.0023
476	0.0017	0.0011	0.0015	0.0025
477	0.0011	0.0009	0.0019	0.0024
478	0.0016	0.0008	0.0016	0.0024
479	0.0007	0.0003	0.0003	0.0009
480	0.0008	0.0008	0.0004	0.0012
481	0.0018	0.0004	0.0016	0.0024
482	0.0016	0.0011	0.0007	0.0020
483	0.0012	0.0006	0.0007	0.0015
484	0.0013	0.0002	0.0005	0.0014
485	0.0016	0.0010	0.0014	0.0023
486	0.0008	0.0005	0.0018	0.0020
487	0.0008	0.0006	0.0011	0.0015
488	0.0013	0.0008	0.0015	0.0021
489	0.0011	0.0004	0.0015	0.0018
490	0.0005	0.0001	0.0007	0.0009
491	0.0008	0.0016	0.0014	0.0023
492	0.0006	0.0014	0.0009	0.0018
493	0.0013	0.0014	0.0012	0.0023
494	0.0003	0.0019	0.0013	0.0023
495	0.0010	0.0010	0.0011	0.0018
496	0.0016	0.0007	0.0010	0.0020
497	0.0014	0.0007	0.0010	0.0019
498	0.0014	0.0012	0.0010	0.0021
499	0.0009	0.0002	0.0015	0.0017
500	0.0009	0.0006	0.0005	0.0012
501	0.0015	0.0012	0.0005	0.0020
502	0.0014	0.0011	0.0007	0.0019
503	0.0012	0.0014	0.0008	0.0020
504	0.0005	0.0015	0.0008	0.0018
505	0.0008	0.0016	0.0014	0.0023
506	0.0003	0.0016	0.0018	0.0024
507	0.0003	0.0010	0.0015	0.0018
508	0.0009	0.0008	0.0009	0.0015
509	0.0016	0.0011	0.0013	0.0024
510	0.0008	0.0006	0.0006	0.0012
511	0.0018	0.0023	0.0013	0.0033
512	0.0014	0.0010	0.0016	0.0023
513	0.0008	0.0006	0.0006	0.0012
514	0.0017	0.0005	0.0010	0.0020
