Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-57.41581259	-94.36243759	-65.36352379	128.34810246	-18.77	0.00	0.00	
0.00024414	-57.41581259	-94.49046217	-65.36352379	128.44225636	-18.77	0.00	0.00	
0.00048828	-57.48901903	-94.36243759	-65.29276490	128.34485609	-18.77	0.00	0.00	
0.00073242	-57.48901903	-94.36243759	-65.29276490	128.34485609	-18.77	0.00	0.00	
0.00097656	-57.48901903	-94.42644988	-65.29276490	128.39192691	0.00	0.00	0.00	
0.00122070	-57.48901903	-94.36243759	-65.22200601	128.30887345	0.00	0.00	0.00	
0.00146484	-57.48901903	-94.49046217	-65.29276490	128.43901237	0.00	0.00	0.00	
0.00170898	-57.48901903	-94.42644988	-65.22200601	128.35595746	0.00	0.00	0.00	
0.00195313	-57.41581259	-94.49046217	-65.29276490	128.40626202	0.00	0.00	0.00	
0.00219727	-57.48901903	-94.42644988	-65.22200601	128.35595746	0.00	0.00	0.00	
0.00244141	-57.48901903	-94.49046217	-65.29276490	128.43901237	0.00	0.00	0.00	
0.00268555	-57.48901903	-94.49046217	-65.29276490	128.43901237	0.00	0.00	0.00	
0.00292969	-57.48901903	-94.42644988	-65.36352379	128.42792527	0.00	0.00	0.00	
0.00317383	-57.48901903	-94.42644988	-65.29276490	128.39192691	0.00	0.00	0.00	
0.00341797	-57.48901903	-94.49046217	-65.29276490	128.43901237	0.00	0.00	0.00	
0.00366211	-57.41581259	-94.49046217	-65.29276490	128.40626202	0.00	0.00	0.00	
0.00390625	-57.34260615	-94.42644988	-65.22200601	128.29044776	0.00	0.00	0.00	
0.00415039	-57.48901903	-94.42644988	-65.29276490	128.39192691	0.00	0.00	0.00	
0.00439453	-57.56222548	-94.42644988	-65.22200601	128.38876239	0.00	0.00	0.00	
0.00463867	-57.48901903	-94.55447446	-65.29276490	128.48611247	0.00	0.00	0.00	
0.00488281	-57.48901903	-94.55447446	-65.29276490	128.48611247	0.00	0.00	0.00	
0.00512695	-57.41581259	-94.55447446	-65.29276490	128.45337413	0.00	0.00	0.00	
0.00537109	-57.48901903	-94.61848675	-65.22200601	128.49729730	0.00	0.00	0.00	
0.00561523	-57.48901903	-94.61848675	-65.15124713	128.46139633	0.00	0.00	0.00	
0.00585938	-57.41581259	-94.55447446	-65.22200601	128.41742189	0.00	0.00	0.00	
0.00610352	-57.34260615	-94.55447446	-65.29276490	128.42066917	0.00	0.00	0.00	
0.00634766	-57.34260615	-94.49046217	-65.22200601	128.33757045	0.00	0.00	0.00	
0.00659180	-57.34260615	-94.49046217	-65.22200601	128.33757045	0.00	0.00	0.00	
0.00683594	-57.41581259	-94.49046217	-65.22200601	128.37029658	0.00	0.00	0.00	
0.00708008	-57.41581259	-94.55447446	-65.22200601	128.41742189	0.00	0.00	0.00	
0.00732422	-57.48901903	-94.49046217	-65.29276490	128.43901237	0.00	0.00	0.00	
0.00756836	-57.34260615	-94.49046217	-65.22200601	128.33757045	0.00	0.00	0.00	
0.00781250	-57.34260615	-94.42644988	-65.29276490	128.32643557	0.00	0.00	0.00	
0.00805664	-57.41581259	-94.49046217	-65.29276490	128.40626202	0.00	0.00	0.00	
0.00830078	-57.41581259	-94.49046217	-65.29276490	128.40626202	0.00	0.00	0.00	
0.00854492	-57.41581259	-94.42644988	-65.29276490	128.35916454	0.00	0.00	0.00	
0.00878906	-57.41581259	-94.42644988	-65.29276490	128.35916454	0.00	0.00	0.00	
0.00903320	-57.34260615	-94.42644988	-65.36352379	128.36245230	0.00	0.00	0.00	
0.00927734	-57.41581259	-94.36243759	-65.15124713	128.24012697	0.00	0.00	0.00	
0.00952148	-57.34260615	-94.42644988	-65.29276490	128.32643557	0.00	0.00	0.00	
0.00976563	-57.34260615	-94.42644988	-65.29276490	128.32643557	0.00	0.00	0.00	
0.01000977	-57.41581259	-94.42644988	-65.36352379	128.39517209	0.00	0.00	0.00	
0.01025391	-57.41581259	-94.42644988	-65.36352379	128.39517209	0.00	0.00	0.00	
0.01049805	-57.41581259	-94.42644988	-65.36352379	128.39517209	0.00	0.00	0.00	
0.01074219	-57.41581259	-94.36243759	-65.29276490	128.31208171	0.00	0.00	0.00	
0.01098633	-57.34260615	-94.42644988	-65.29276490	128.32643557	0.00	0.00	0.00	
0.01123047	-57.41581259	-94.42644988	-65.22200601	128.32318590	0.00	0.00	0.00	
0.01147461	-57.41581259	-94.42644988	-65.29276490	128.35916454	0.00	0.00	0.00	
0.01171875	-57.41581259	-94.36243759	-65.29276490	128.31208171	0.00	0.00	0.00	
0.01196289	-57.41581259	-94.36243759	-65.36352379	128.34810246	0.00	0.00	0.00	
0.01220703	-57.48901903	-94.29842530	-65.36352379	128.33382471	0.00	0.00	0.00	
0.01245117	-57.41581259	-94.36243759	-65.36352379	128.34810246	0.00	0.00	0.00	
0.01269531	-57.48901903	-94.36243759	-65.29276490	128.34485609	0.00	0.00	0.00	
0.01293945	-57.41581259	-94.29842530	-65.36352379	128.30104751	0.00	0.00	0.00	
0.01318359	-57.48901903	-94.23441301	-65.43428268	128.32286333	0.00	0.00	0.00	
0.01342773	-57.34260615	-94.29842530	-65.43428268	128.30437578	0.00	0.00	0.00	
0.01367188	-57.41581259	-94.29842530	-65.43428268	128.33711037	0.00	0.00	0.00	
0.01391602	-57.48901903	-94.29842530	-65.36352379	128.33382471	0.00	0.00	0.00	
0.01416016	-57.41581259	-94.23441301	-65.36352379	128.25400724	0.00	0.00	0.00	
0.01440430	-57.41581259	-94.36243759	-65.36352379	128.34810246	0.00	0.00	0.00	
0.01464844	-57.41581259	-94.36243759	-65.36352379	128.34810246	0.00	0.00	0.00	
0.01489258	-57.41581259	-94.29842530	-65.36352379	128.30104751	0.00	0.00	0.00	
0.01513672	-57.48901903	-94.29842530	-65.36352379	128.33382471	0.00	0.00	0.00	
0.01538086	-57.41581259	-94.36243759	-65.36352379	128.34810246	0.00	0.00	0.00	
0.01562500	-57.48901903	-94.36243759	-65.43428268	128.41690810	0.00	0.00	0.00	
0.01586914	-57.48901903	-94.36243759	-65.36352379	128.38086765	0.00	0.00	0.00	
0.01611328	-57.48901903	-94.29842530	-65.36352379	128.33382471	0.00	0.00	0.00	
0.01635742	-57.41581259	-94.36243759	-65.43428268	128.38415211	0.00	0.00	0.00	
0.01660156	-57.48901903	-94.42644988	-65.29276490	128.39192691	0.00	0.00	0.00	
0.01684570	-57.41581259	-94.36243759	-65.36352379	128.34810246	0.00	0.00	0.00	
0.01708984	-57.41581259	-94.36243759	-65.43428268	128.38415211	0.00	0.00	0.00	
0.01733398	-57.48901903	-94.36243759	-65.43428268	128.41690810	0.00	0.00	0.00	
0.01757813	-57.41581259	-94.42644988	-65.36352379	128.39517209	0.00	0.00	0.00	
0.01782227	-57.41581259	-94.49046217	-65.36352379	128.44225636	0.00	0.00	0.00	
0.01806641	-57.41581259	-94.42644988	-65.36352379	128.39517209	0.00	0.00	0.00	
0.01831055	-57.41581259	-94.36243759	-65.43428268	128.38415211	0.00	0.00	0.00	
0.01855469	-57.41581259	-94.29842530	-65.43428268	128.33711037	0.00	0.00	0.00	
0.01879883	-57.41581259	-94.36243759	-65.29276490	128.31208171	0.00	0.00	0.00	
0.01904297	-57.41581259	-94.36243759	-65.29276490	128.31208171	0.00	0.00	0.00	
0.01928711	-57.48901903	-94.36243759	-65.36352379	128.38086765	0.00	0.00	0.00	
0.01953125	-57.48901903	-94.29842530	-65.36352379	128.33382471	0.00	0.00	0.00	
0.01977539	-57.48901903	-94.36243759	-65.36352379	128.38086765	0.00	0.00	0.00	
0.02001953	-57.48901903	-94.36243759	-65.36352379	128.38086765	0.00	0.00	0.00	
0.02026367	-57.48901903	-94.49046217	-65.36352379	128.47499754	0.00	0.00	0.00	
0.02050781	-57.48901903	-94.42644988	-65.43428268	128.46395252	0.00	0.00	0.00	
0.02075195	-57.48901903	-94.42644988	-65.50504157	128.50000863	0.00	0.00	0.00	
0.02099609	-57.48901903	-94.42644988	-65.29276490	128.39192691	0.00	0.00	0.00	
0.02124023	-57.41581259	-94.42644988	-65.29276490	128.35916454	0.00	0.00	0.00	
0.02148438	-57.41581259	-94.49046217	-65.43428268	128.47827959	0.00	0.00	0.00	
0.02172852	-57.48901903	-94.42644988	-65.36352379	128.42792527	0.00	0.00	0.00	
0.02197266	-57.41581259	-94.49046217	-65.36352379	128.44225636	0.00	0.00	0.00	
0.02221680	-57.48901903	-94.55447446	-65.43428268	128.55808531	0.00	0.00	0.00	
0.02246094	-57.56222548	-94.49046217	-65.36352379	128.50777208	0.00	0.00	0.00	
0.02270508	-57.56222548	-94.42644988	-65.36352379	128.46071182	0.00	0.00	0.00	
0.02294922	-57.34260615	-94.49046217	-65.36352379	128.40954857	0.00	0.00	0.00	
0.02319336	-57.41581259	-94.42644988	-65.36352379	128.39517209	0.00	0.00	0.00	
0.02343750	-57.34260615	-94.55447446	-65.36352379	128.45665947	0.00	0.00	0.00	
0.02368164	-57.34260615	-94.49046217	-65.36352379	128.40954857	0.00	0.00	0.00	
0.02392578	-57.48901903	-94.49046217	-65.36352379	128.47499754	0.00	0.00	0.00	
0.02416992	-57.56222548	-94.42644988	-65.36352379	128.46071182	0.00	0.00	0.00	
0.02441406	-57.48901903	-94.42644988	-65.43428268	128.46395252	0.00	0.00	0.00	
0.02465820	-57.34260615	-94.42644988	-65.36352379	128.36245230	0.00	0.00	0.00	
0.02490234	-57.41581259	-94.42644988	-65.36352379	128.39517209	0.00	0.00	0.00	
0.02514648	-57.41581259	-94.42644988	-65.43428268	128.43120852	0.00	0.00	0.00	
0.02539063	-57.41581259	-94.49046217	-65.43428268	128.47827959	0.00	0.00	0.00	
0.02563477	-57.48901903	-94.49046217	-65.43428268	128.51101159	0.00	0.00	0.00	
0.02587891	-57.41581259	-94.49046217	-65.50504157	128.51433168	0.00	0.00	0.00	
0.02612305	-57.41581259	-94.49046217	-65.43428268	128.47827959	0.00	0.00	0.00	
0.02636719	-57.41581259	-94.42644988	-65.36352379	128.39517209	0.00	0.00	0.00	
0.02661133	-57.41581259	-94.42644988	-65.50504157	128.46727382	0.00	0.00	0.00	
0.02685547	-57.34260615	-94.36243759	-65.43428268	128.35142951	0.00	0.00	0.00	
0.02709961	-57.41581259	-94.42644988	-65.43428268	128.43120852	0.00	0.00	0.00	
0.02734375	-57.41581259	-94.36243759	-65.50504157	128.42023063	0.00	0.00	0.00	
0.02758789	-57.41581259	-94.36243759	-65.50504157	128.42023063	0.00	0.00	0.00	
0.02783203	-57.34260615	-94.36243759	-65.50504157	128.38751722	0.00	0.00	0.00	
0.02807617	-57.34260615	-94.36243759	-65.43428268	128.35142951	0.00	0.00	0.00	
0.02832031	-57.19619327	-94.29842530	-65.43428268	128.23900689	0.00	0.00	0.00	
0.02856445	-57.34260615	-94.36243759	-65.50504157	128.38751722	0.00	0.00	0.00	
0.02880859	-57.26939971	-94.29842530	-65.43428268	128.27167461	0.00	0.00	0.00	
0.02905273	-57.34260615	-94.23441301	-65.43428268	128.25733673	0.00	0.00	0.00	
0.02929688	-57.26939971	-94.23441301	-65.43428268	128.22462356	0.00	0.00	0.00	
0.02954102	-57.34260615	-94.29842530	-65.50504157	128.34047672	0.00	0.00	0.00	
0.02978516	-57.34260615	-94.23441301	-65.50504157	128.29345091	0.00	0.00	0.00	
0.03002930	-57.34260615	-94.29842530	-65.50504157	128.34047672	0.00	0.00	0.00	
0.03027344	-57.34260615	-94.29842530	-65.50504157	128.34047672	0.00	0.00	0.00	
0.03051758	-57.26939971	-94.23441301	-65.50504157	128.26074695	0.00	0.00	0.00	
0.03076172	-57.26939971	-94.29842530	-65.50504157	128.30778475	0.00	0.00	0.00	
0.03100586	-57.34260615	-94.36243759	-65.50504157	128.38751722	0.00	0.00	0.00	
0.03125000	-57.26939971	-94.23441301	-65.43428268	128.22462356	0.00	0.00	0.00	
0.03149414	-57.34260615	-94.17040072	-65.50504157	128.24643980	0.00	0.00	0.00	
0.03173828	-57.26939971	-94.23441301	-65.43428268	128.22462356	0.00	0.00	0.00	
0.03198242	-57.26939971	-94.23441301	-65.50504157	128.26074695	0.00	0.00	0.00	
0.03222656	-57.26939971	-94.23441301	-65.50504157	128.26074695	0.00	0.00	0.00	
0.03247070	-57.26939971	-94.17040072	-65.50504157	128.21372386	0.00	0.00	0.00	
0.03271484	-57.34260615	-94.23441301	-65.50504157	128.29345091	0.00	0.00	0.00	
0.03295898	-57.26939971	-94.17040072	-65.50504157	128.21372386	0.00	0.00	0.00	
0.03320313	-57.26939971	-94.23441301	-65.50504157	128.26074695	0.00	0.00	0.00	
0.03344727	-57.34260615	-94.23441301	-65.50504157	128.29345091	0.00	0.00	0.00	
