Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-29.9273	-45.7107	-65.6094	85.3798
1	0.1164	0.0061	0.0192	0.1182
2	0.0409	0.0108	0.0256	0.0494
3	0.0293	0.0029	0.0125	0.0320
4	0.0082	0.0074	0.0064	0.0128
5	0.0154	0.0087	0.0109	0.0208
6	0.0227	0.0056	0.0058	0.0241
7	0.0124	0.0040	0.0014	0.0131
8	0.0134	0.0091	0.0150	0.0221
9	0.0119	0.0034	0.0070	0.0142
10	0.0093	0.0007	0.0061	0.0111
11	0.0067	0.0034	0.0048	0.0089
12	0.0073	0.0069	0.0018	0.0102
13	0.0038	0.0030	0.0028	0.0056
14	0.0048	0.0032	0.0034	0.0067
15	0.0058	0.0091	0.0016	0.0109
16	0.0184	0.0118	0.0078	0.0232
17	0.0174	0.0367	0.0245	0.0474
18	0.0098	0.0102	0.0064	0.0155
19	0.0035	0.0063	0.0029	0.0078
20	0.0009	0.0048	0.0038	0.0062
21	0.0039	0.0065	0.0042	0.0087
22	0.0065	0.0009	0.0043	0.0079
23	0.0034	0.0024	0.0028	0.0050
24	0.0047	0.0043	0.0013	0.0065
25	0.0042	0.0050	0.0053	0.0084
26	0.0027	0.0018	0.0030	0.0044
27	0.0013	0.0016	0.0026	0.0033
28	0.0048	0.0015	0.0050	0.0071
29	0.0013	0.0022	0.0059	0.0064
30	0.0007	0.0047	0.0032	0.0057
31	0.0044	0.0025	0.0016	0.0053
32	0.0026	0.0009	0.0042	0.0050
33	0.0012	0.0026	0.0072	0.0078
34	0.0010	0.0045	0.0015	0.0049
35	0.0030	0.0016	0.0032	0.0047
36	0.0054	0.0035	0.0027	0.0070
37	0.0036	0.0028	0.0050	0.0068
38	0.0035	0.0028	0.0029	0.0054
39	0.0058	0.0027	0.0023	0.0068
40	0.0047	0.0032	0.0028	0.0063
41	0.0016	0.0005	0.0020	0.0026
42	0.0016	0.0019	0.0022	0.0033
43	0.0017	0.0019	0.0022	0.0034
44	0.0027	0.0008	0.0022	0.0035
45	0.0001	0.0012	0.0024	0.0027
46	0.0014	0.0032	0.0070	0.0078
47	0.0038	0.0004	0.0035	0.0052
48	0.0036	0.0013	0.0054	0.0066
49	0.0015	0.0035	0.0047	0.0061
50	0.1510	0.1735	0.0236	0.2312
51	0.0019	0.0026	0.0059	0.0067
52	0.0021	0.0025	0.0007	0.0033
53	0.0027	0.0017	0.0024	0.0040
54	0.0039	0.0010	0.0023	0.0047
55	0.0010	0.0020	0.0016	0.0027
56	0.0027	0.0037	0.0049	0.0067
57	0.0026	0.0022	0.0020	0.0039
58	0.0019	0.0026	0.0016	0.0036
59	0.0051	0.0027	0.0019	0.0061
60	0.0026	0.0007	0.0005	0.0027
61	0.0013	0.0013	0.0034	0.0038
62	0.0009	0.0037	0.0041	0.0056
63	0.0025	0.0037	0.0015	0.0047
64	0.0020	0.0020	0.0023	0.0036
65	0.0027	0.0035	0.0009	0.0045
66	0.0016	0.0018	0.0024	0.0034
67	0.0006	0.0014	0.0019	0.0024
68	0.0015	0.0008	0.0041	0.0044
69	0.0031	0.0010	0.0029	0.0043
70	0.0024	0.0002	0.0030	0.0038
71	0.0015	0.0027	0.0004	0.0031
72	0.0016	0.0014	0.0050	0.0055
73	0.0039	0.0018	0.0006	0.0043
74	0.0045	0.0008	0.0016	0.0049
75	0.0020	0.0013	0.0029	0.0037
76	0.0008	0.0022	0.0006	0.0024
77	0.0036	0.0006	0.0032	0.0049
78	0.0029	0.0021	0.0029	0.0046
79	0.0019	0.0014	0.0016	0.0029
80	0.0029	0.0008	0.0029	0.0042
81	0.0025	0.0014	0.0003	0.0028
82	0.0017	0.0008	0.0005	0.0020
83	0.0016	0.0014	0.0028	0.0035
84	0.0017	0.0023	0.0023	0.0036
85	0.0007	0.0031	0.0015	0.0035
86	0.0020	0.0006	0.0030	0.0036
87	0.0015	0.0012	0.0032	0.0038
88	0.0012	0.0018	0.0006	0.0023
89	0.0028	0.0037	0.0023	0.0052
90	0.0002	0.0016	0.0011	0.0020
91	0.0007	0.0006	0.0032	0.0034
92	0.0016	0.0001	0.0011	0.0020
93	0.0018	0.0003	0.0011	0.0021
94	0.0010	0.0001	0.0008	0.0013
95	0.0032	0.0010	0.0006	0.0034
96	0.0012	0.0014	0.0040	0.0044
97	0.0041	0.0013	0.0022	0.0048
98	0.0005	0.0016	0.0024	0.0029
99	0.0011	0.0013	0.0011	0.0020
100	0.0026	0.0025	0.0058	0.0068
101	0.0005	0.0018	0.0022	0.0029
102	0.0020	0.0026	0.0025	0.0042
103	0.0013	0.0010	0.0002	0.0016
104	0.0021	0.0025	0.0015	0.0036
105	0.0001	0.0008	0.0054	0.0054
106	0.0008	0.0010	0.0021	0.0025
107	0.0028	0.0024	0.0026	0.0045
108	0.0018	0.0003	0.0014	0.0023
109	0.0013	0.0007	0.0017	0.0023
110	0.0017	0.0003	0.0030	0.0034
111	0.0034	0.0016	0.0015	0.0041
112	0.0028	0.0017	0.0007	0.0033
113	0.0015	0.0009	0.0016	0.0024
114	0.0014	0.0012	0.0011	0.0022
