Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-29.59736457	-45.52106004	-65.64655935	85.19179333	4.33	0.00	0.00	
0.00024414	-29.59736457	-45.45704775	-65.64655935	85.15760644	4.33	0.00	0.00	
0.00048828	-29.67057101	-45.45704775	-65.57580046	85.12855914	4.33	0.00	0.00	
0.00073242	-29.67057101	-45.52106004	-65.57580046	85.16275769	4.33	0.00	0.00	
0.00097656	-29.59736457	-45.58507233	-65.57580046	85.17152350	0.00	0.00	0.00	
0.00122070	-29.67057101	-45.52106004	-65.57580046	85.16275769	0.00	0.00	0.00	
0.00146484	-29.74377745	-45.58507233	-65.64655935	85.27697152	0.00	0.00	0.00	
0.00170898	-29.67057101	-45.58507233	-65.57580046	85.19699061	0.00	0.00	0.00	
0.00195313	-29.67057101	-45.58507233	-65.64655935	85.25146543	0.00	0.00	0.00	
0.00219727	-29.74377745	-45.64908462	-65.64655935	85.31120664	0.00	0.00	0.00	
0.00244141	-29.59736457	-45.64908462	-65.64655935	85.26027018	0.00	0.00	0.00	
0.00268555	-29.59736457	-45.64908462	-65.71731824	85.31476328	0.00	0.00	0.00	
0.00292969	-29.67057101	-45.71309691	-65.64655935	85.31999044	0.00	0.00	0.00	
0.00317383	-29.74377745	-45.77710920	-65.71731824	85.43419655	0.00	0.00	0.00	
0.00341797	-29.81698389	-45.77710920	-65.57580046	85.35093357	0.00	0.00	0.00	
0.00366211	-29.81698389	-45.77710920	-65.64655935	85.40531020	0.00	0.00	0.00	
0.00390625	-29.89019034	-45.84112150	-65.57580046	85.41087463	0.00	0.00	0.00	
0.00415039	-29.81698389	-45.84112150	-65.64655935	85.43963777	0.00	0.00	0.00	
0.00439453	-29.74377745	-45.84112150	-65.57580046	85.35974650	0.00	0.00	0.00	
0.00463867	-29.89019034	-45.77710920	-65.71731824	85.48528015	0.00	0.00	0.00	
0.00488281	-29.96339678	-45.90513379	-65.57580046	85.47088428	0.00	0.00	0.00	
0.00512695	-29.96339678	-45.90513379	-65.64655935	85.52518465	0.00	0.00	0.00	
0.00537109	-29.96339678	-45.90513379	-65.57580046	85.47088428	0.00	0.00	0.00	
0.00561523	-29.89019034	-45.84112150	-65.57580046	85.41087463	0.00	0.00	0.00	
0.00585938	-29.89019034	-45.84112150	-65.64655935	85.46521311	0.00	0.00	0.00	
0.00610352	-29.89019034	-45.96914608	-65.64655935	85.53395012	0.00	0.00	0.00	
0.00634766	-29.96339678	-45.90513379	-65.50504157	85.41660802	0.00	0.00	0.00	
0.00659180	-30.03660322	-45.90513379	-65.57580046	85.49657564	0.00	0.00	0.00	
0.00683594	-29.96339678	-45.90513379	-65.57580046	85.47088428	0.00	0.00	0.00	
0.00708008	-29.96339678	-45.90513379	-65.64655935	85.52518465	0.00	0.00	0.00	
0.00732422	-29.96339678	-45.90513379	-65.64655935	85.52518465	0.00	0.00	0.00	
0.00756836	-29.96339678	-45.90513379	-65.57580046	85.47088428	0.00	0.00	0.00	
0.00781250	-29.96339678	-45.96914608	-65.57580046	85.50528138	0.00	0.00	0.00	
0.00805664	-29.96339678	-45.90513379	-65.57580046	85.47088428	0.00	0.00	0.00	
0.00830078	-30.03660322	-45.77710920	-65.57580046	85.42790449	0.00	0.00	0.00	
0.00854492	-30.03660322	-45.84112150	-65.57580046	85.46222299	0.00	0.00	0.00	
0.00878906	-29.96339678	-45.77710920	-65.64655935	85.45653649	0.00	0.00	0.00	
0.00903320	-29.96339678	-45.84112150	-65.64655935	85.49084349	0.00	0.00	0.00	
0.00927734	-29.89019034	-45.90513379	-65.71731824	85.55390524	0.00	0.00	0.00	
0.00952148	-29.96339678	-45.90513379	-65.64655935	85.52518465	0.00	0.00	0.00	
0.00976563	-29.96339678	-45.90513379	-65.57580046	85.47088428	0.00	0.00	0.00	
0.01000977	-29.96339678	-45.84112150	-65.64655935	85.49084349	0.00	0.00	0.00	
0.01025391	-29.96339678	-45.84112150	-65.71731824	85.54518971	0.00	0.00	0.00	
0.01049805	-29.89019034	-45.84112150	-65.64655935	85.46521311	0.00	0.00	0.00	
0.01074219	-29.89019034	-45.77710920	-65.64655935	85.43089582	0.00	0.00	0.00	
0.01098633	-29.89019034	-45.77710920	-65.64655935	85.43089582	0.00	0.00	0.00	
0.01123047	-29.89019034	-45.77710920	-65.57580046	85.37653549	0.00	0.00	0.00	
0.01147461	-29.81698389	-45.84112150	-65.64655935	85.43963777	0.00	0.00	0.00	
