Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-72.9441	-93.6405	-97.8971	153.8611
1	0.3890	0.0384	0.1807	0.4306
2	0.0959	0.0139	0.0475	0.1080
3	0.0721	0.0187	0.0499	0.0897
4	0.0592	0.0062	0.0274	0.0655
5	0.0567	0.0144	0.0283	0.0650
6	0.0279	0.0073	0.0181	0.0341
7	0.0409	0.0020	0.0193	0.0453
8	0.0397	0.0044	0.0199	0.0446
9	0.0397	0.0073	0.0172	0.0439
10	0.0326	0.0022	0.0140	0.0355
11	0.0290	0.0067	0.0105	0.0315
12	0.0200	0.0016	0.0141	0.0245
13	0.0125	0.0080	0.0049	0.0156
14	0.0146	0.0061	0.0092	0.0183
15	0.0095	0.0103	0.0038	0.0145
16	0.0059	0.0232	0.0136	0.0275
17	0.0538	0.0460	0.0432	0.0830
18	0.0195	0.0104	0.0113	0.0248
19	0.0200	0.0104	0.0133	0.0262
20	0.0149	0.0105	0.0070	0.0195
21	0.0148	0.0042	0.0056	0.0164
22	0.0052	0.0019	0.0067	0.0087
23	0.0161	0.0035	0.0089	0.0188
24	0.0078	0.0052	0.0020	0.0096
25	0.0038	0.0049	0.0134	0.0148
26	0.0098	0.0043	0.0088	0.0138
27	0.0093	0.0035	0.0112	0.0150
28	0.0071	0.0057	0.0095	0.0131
29	0.0074	0.0006	0.0061	0.0096
30	0.0099	0.0018	0.0054	0.0114
31	0.0121	0.0046	0.0048	0.0138
32	0.0073	0.0024	0.0051	0.0093
33	0.0078	0.0005	0.0040	0.0088
34	0.0065	0.0029	0.0050	0.0087
35	0.0035	0.0055	0.0024	0.0070
36	0.0102	0.0029	0.0076	0.0131
37	0.0059	0.0015	0.0096	0.0114
38	0.0071	0.0019	0.0062	0.0096
39	0.0088	0.0016	0.0002	0.0089
40	0.0086	0.0026	0.0045	0.0100
41	0.0074	0.0016	0.0031	0.0082
42	0.0077	0.0056	0.0027	0.0099
43	0.0048	0.0004	0.0042	0.0064
44	0.0032	0.0033	0.0058	0.0074
45	0.0050	0.0021	0.0028	0.0061
46	0.0043	0.0036	0.0010	0.0057
47	0.0055	0.0011	0.0066	0.0087
48	0.0061	0.0037	0.0040	0.0082
49	0.0069	0.0023	0.0069	0.0101
50	0.3677	0.1534	0.1695	0.4330
51	0.0046	0.0018	0.0007	0.0050
52	0.0075	0.0020	0.0040	0.0087
53	0.0043	0.0004	0.0045	0.0062
54	0.0057	0.0030	0.0048	0.0080
55	0.0062	0.0003	0.0042	0.0075
56	0.0060	0.0019	0.0010	0.0064
57	0.0035	0.0022	0.0043	0.0059
58	0.0044	0.0023	0.0041	0.0065
59	0.0073	0.0018	0.0011	0.0076
60	0.0069	0.0019	0.0043	0.0083
61	0.0052	0.0045	0.0026	0.0074
62	0.0036	0.0027	0.0019	0.0049
63	0.0071	0.0011	0.0044	0.0085
64	0.0075	0.0015	0.0011	0.0077
65	0.0072	0.0012	0.0020	0.0076
66	0.0022	0.0010	0.0032	0.0040
67	0.0035	0.0020	0.0049	0.0063
68	0.0054	0.0013	0.0046	0.0072
69	0.0061	0.0020	0.0056	0.0085
70	0.0049	0.0021	0.0036	0.0064
71	0.0040	0.0019	0.0008	0.0045
72	0.0040	0.0026	0.0034	0.0058
73	0.0056	0.0011	0.0027	0.0063
74	0.0052	0.0008	0.0030	0.0060
75	0.0036	0.0026	0.0031	0.0054
76	0.0039	0.0018	0.0024	0.0049
77	0.0049	0.0018	0.0009	0.0053
78	0.0015	0.0011	0.0031	0.0037
79	0.0017	0.0016	0.0035	0.0042
80	0.0018	0.0009	0.0024	0.0031
81	0.0004	0.0003	0.0021	0.0021
82	0.0055	0.0018	0.0022	0.0062
83	0.0055	0.0017	0.0035	0.0067
84	0.0057	0.0017	0.0014	0.0061
85	0.0033	0.0007	0.0024	0.0042
86	0.0039	0.0019	0.0038	0.0058
87	0.0051	0.0020	0.0010	0.0055
88	0.0043	0.0023	0.0017	0.0051
89	0.0031	0.0009	0.0011	0.0034
90	0.0019	0.0007	0.0047	0.0051
91	0.0020	0.0025	0.0019	0.0037
92	0.0025	0.0008	0.0024	0.0035
93	0.0030	0.0008	0.0017	0.0035
94	0.0051	0.0015	0.0018	0.0056
95	0.0029	0.0012	0.0022	0.0038
96	0.0020	0.0022	0.0027	0.0040
97	0.0015	0.0014	0.0013	0.0024
98	0.0075	0.0007	0.0011	0.0076
99	0.0058	0.0007	0.0008	0.0059
100	0.0038	0.0043	0.0023	0.0062
101	0.0020	0.0006	0.0015	0.0025
102	0.0039	0.0027	0.0025	0.0053
103	0.0043	0.0027	0.0005	0.0051
104	0.0018	0.0008	0.0017	0.0026
105	0.0054	0.0019	0.0036	0.0068
106	0.0046	0.0008	0.0020	0.0051
107	0.0030	0.0024	0.0035	0.0052
108	0.0033	0.0025	0.0035	0.0054
109	0.0044	0.0026	0.0017	0.0054
110	0.0042	0.0018	0.0012	0.0047
111	0.0037	0.0009	0.0009	0.0040
112	0.0007	0.0022	0.0016	0.0029
113	0.0043	0.0033	0.0022	0.0058
114	0.0042	0.0010	0.0017	0.0047
115	0.0043	0.0004	0.0005	0.0043
116	0.0026	0.0016	0.0016	0.0034
117	0.0014	0.0020	0.0012	0.0028
118	0.0018	0.0024	0.0016	0.0034
119	0.0015	0.0010	0.0043	0.0047
120	0.0023	0.0007	0.0017	0.0029
121	0.0047	0.0006	0.0020	0.0051
122	0.0035	0.0009	0.0015	0.0039
123	0.0016	0.0009	0.0016	0.0024
124	0.0031	0.0024	0.0006	0.0040
125	0.0028	0.0002	0.0035	0.0044
126	0.0043	0.0017	0.0022	0.0051
127	0.0014	0.0017	0.0020	0.0029
128	0.0023	0.0012	0.0018	0.0032
129	0.0028	0.0017	0.0017	0.0037
130	0.0032	0.0005	0.0018	0.0037
131	0.0038	0.0010	0.0010	0.0040
132	0.0015	0.0013	0.0022	0.0029
133	0.0038	0.0010	0.0024	0.0046
134	0.0014	0.0011	0.0008	0.0020
135	0.0034	0.0003	0.0022	0.0041
136	0.0026	0.0008	0.0021	0.0034
137	0.0020	0.0007	0.0018	0.0028
138	0.0030	0.0011	0.0030	0.0044
139	0.0021	0.0037	0.0015	0.0045
140	0.0009	0.0011	0.0008	0.0016
141	0.0021	0.0015	0.0011	0.0028
142	0.0024	0.0021	0.0021	0.0038
143	0.0018	0.0004	0.0034	0.0039
144	0.0042	0.0013	0.0012	0.0046
145	0.0013	0.0019	0.0029	0.0037
146	0.0034	0.0016	0.0023	0.0044
147	0.0015	0.0011	0.0010	0.0021
148	0.0015	0.0015	0.0010	0.0023
149	0.0023	0.0010	0.0017	0.0030
150	0.0042	0.0123	0.0060	0.0143
151	0.0026	0.0007	0.0015	0.0031
152	0.0038	0.0011	0.0013	0.0042
153	0.0023	0.0018	0.0011	0.0031
154	0.0027	0.0022	0.0006	0.0036
155	0.0018	0.0013	0.0023	0.0032
