Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-72.20351391	-93.40225323	-98.26640722	153.60213253	-18.68	0.00	0.00	
0.00024414	-72.13030747	-93.46626552	-98.26640722	153.60667575	-18.68	0.00	0.00	
0.00048828	-72.05710102	-93.46626552	-98.33716611	153.61759937	-18.68	0.00	0.00	
0.00073242	-72.05710102	-93.53027781	-98.40792500	153.70184897	-18.68	0.00	0.00	
0.00097656	-72.13030747	-93.53027781	-98.33716611	153.69089876	0.00	0.00	0.00	
0.00122070	-71.98389458	-93.53027781	-98.33716611	153.62223858	0.00	0.00	0.00	
0.00146484	-72.05710102	-93.53027781	-98.33716611	153.65655506	0.00	0.00	0.00	
0.00170898	-72.05710102	-93.59429010	-98.40792500	153.74080997	0.00	0.00	0.00	
0.00195313	-71.91068814	-93.59429010	-98.40792500	153.67224184	0.00	0.00	0.00	
0.00219727	-71.91068814	-93.65830239	-98.54944277	153.80187693	0.00	0.00	0.00	
0.00244141	-71.83748170	-93.59429010	-98.47868388	153.68333057	0.00	0.00	0.00	
0.00268555	-71.83748170	-93.65830239	-98.33716611	153.63170123	0.00	0.00	0.00	
0.00292969	-71.83748170	-93.72231468	-98.47868388	153.76133203	0.00	0.00	0.00	
0.00317383	-71.76427526	-93.72231468	-98.54944277	153.77248175	0.00	0.00	0.00	
0.00341797	-71.76427526	-93.72231468	-98.54944277	153.77248175	0.00	0.00	0.00	
0.00366211	-71.83748170	-93.65830239	-98.62020166	153.81302143	0.00	0.00	0.00	
0.00390625	-71.83748170	-93.72231468	-98.54944277	153.80666019	0.00	0.00	0.00	
0.00415039	-71.83748170	-93.72231468	-98.47868388	153.76133203	0.00	0.00	0.00	
0.00439453	-71.91068814	-93.72231468	-98.54944277	153.84086586	0.00	0.00	0.00	
0.00463867	-71.91068814	-93.65830239	-98.54944277	153.80187693	0.00	0.00	0.00	
0.00488281	-71.91068814	-93.72231468	-98.47868388	153.79554778	0.00	0.00	0.00	
0.00512695	-71.83748170	-93.72231468	-98.54944277	153.80666019	0.00	0.00	0.00	
0.00537109	-71.83748170	-93.72231468	-98.54944277	153.80666019	0.00	0.00	0.00	
0.00561523	-71.98389458	-93.65830239	-98.47868388	153.79079903	0.00	0.00	0.00	
0.00585938	-71.91068814	-93.72231468	-98.47868388	153.79554778	0.00	0.00	0.00	
0.00610352	-71.98389458	-93.72231468	-98.54944277	153.87509877	0.00	0.00	0.00	
0.00634766	-72.05710102	-93.72231468	-98.47868388	153.86406097	0.00	0.00	0.00	
0.00659180	-72.05710102	-93.59429010	-98.54944277	153.83143248	0.00	0.00	0.00	
0.00683594	-72.05710102	-93.65830239	-98.47868388	153.82507791	0.00	0.00	0.00	
0.00708008	-72.20351391	-93.65830239	-98.40792500	153.84844728	0.00	0.00	0.00	
0.00732422	-72.27672035	-93.72231468	-98.40792500	153.92178623	0.00	0.00	0.00	
0.00756836	-72.20351391	-93.72231468	-98.47868388	153.93268292	0.00	0.00	0.00	
0.00781250	-72.20351391	-93.65830239	-98.47868388	153.89371725	0.00	0.00	0.00	
0.00805664	-72.13030747	-93.72231468	-98.47868388	153.89835836	0.00	0.00	0.00	
0.00830078	-72.20351391	-93.72231468	-98.40792500	153.88742441	0.00	0.00	0.00	
0.00854492	-72.20351391	-93.65830239	-98.40792500	153.84844728	0.00	0.00	0.00	
0.00878906	-72.34992679	-93.72231468	-98.33716611	153.91095612	0.00	0.00	0.00	
0.00903320	-72.34992679	-93.65830239	-98.40792500	153.91721546	0.00	0.00	0.00	
0.00927734	-72.42313324	-93.72231468	-98.40792500	153.99059127	0.00	0.00	0.00	
0.00952148	-72.42313324	-93.59429010	-98.33716611	153.86747416	0.00	0.00	0.00	
0.00976563	-72.49633968	-93.65830239	-98.33716611	153.94088187	0.00	0.00	0.00	
0.01000977	-72.56954612	-93.59429010	-98.26640722	153.89125041	0.00	0.00	0.00	
0.01025391	-72.56954612	-93.59429010	-98.26640722	153.89125041	0.00	0.00	0.00	
0.01049805	-72.71595900	-93.53027781	-98.19564833	153.87627794	0.00	0.00	0.00	
0.01074219	-72.78916545	-93.59429010	-98.19564833	153.94979408	0.00	0.00	0.00	
0.01098633	-72.64275256	-93.53027781	-98.19564833	153.84169694	0.00	0.00	0.00	
0.01123047	-72.71595900	-93.46626552	-98.19564833	153.83737789	0.00	0.00	0.00	
0.01147461	-72.64275256	-93.46626552	-98.19564833	153.80278815	0.00	0.00	0.00	
0.01171875	-72.71595900	-93.40225323	-98.19564833	153.79849464	0.00	0.00	0.00	
0.01196289	-72.78916545	-93.40225323	-98.12488944	153.78796261	0.00	0.00	0.00	
0.01220703	-72.86237189	-93.46626552	-98.05413055	153.81638582	0.00	0.00	0.00	
0.01245117	-72.86237189	-93.40225323	-98.12488944	153.82262536	0.00	0.00	0.00	
