Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-29.67057101	-42.70451927	-103.78560057	116.08389051	5.74	0.00	0.00	
0.00024414	-29.67057101	-42.70451927	-103.78560057	116.08389051	5.74	0.00	0.00	
0.00048828	-29.67057101	-42.64050698	-103.71484168	115.99708619	5.74	0.00	0.00	
0.00073242	-29.67057101	-42.70451927	-103.71484168	116.02063236	5.74	0.00	0.00	
0.00097656	-29.67057101	-42.76853156	-103.57332390	115.91774454	0.00	0.00	0.00	
0.00122070	-29.59736457	-42.70451927	-103.36104723	115.68572099	0.00	0.00	0.00	
0.00146484	-29.74377745	-42.70451927	-103.36104723	115.72326623	0.00	0.00	0.00	
0.00170898	-29.74377745	-42.76853156	-103.50256501	115.87329525	0.00	0.00	0.00	
0.00195313	-29.67057101	-42.76853156	-103.57332390	115.91774454	0.00	0.00	0.00	
0.00219727	-29.67057101	-42.70451927	-103.64408279	115.95738289	0.00	0.00	0.00	
0.00244141	-29.67057101	-42.70451927	-103.71484168	116.02063236	0.00	0.00	0.00	
0.00268555	-29.74377745	-42.76853156	-103.71484168	116.06294832	0.00	0.00	0.00	
0.00292969	-29.67057101	-42.83254385	-103.71484168	116.06781630	0.00	0.00	0.00	
0.00317383	-29.74377745	-42.89655614	-103.64408279	116.04698498	0.00	0.00	0.00	
0.00341797	-29.81698389	-42.89655614	-103.78560057	116.19215955	0.00	0.00	0.00	
0.00366211	-29.89019034	-42.96056843	-103.78560057	116.23461104	0.00	0.00	0.00	
0.00390625	-29.74377745	-42.96056843	-103.78560057	116.19704653	0.00	0.00	0.00	
0.00415039	-29.81698389	-43.02458072	-103.85635946	116.30266753	0.00	0.00	0.00	
0.00439453	-29.89019034	-43.08859301	-103.85635946	116.34514913	0.00	0.00	0.00	
0.00463867	-29.89019034	-43.15260530	-103.92711834	116.43202631	0.00	0.00	0.00	
0.00488281	-29.89019034	-43.08859301	-103.92711834	116.40831694	0.00	0.00	0.00	
0.00512695	-29.89019034	-43.21661759	-103.99787723	116.51891685	0.00	0.00	0.00	
0.00537109	-29.96339678	-43.28062988	-103.99787723	116.56147107	0.00	0.00	0.00	
0.00561523	-30.03660322	-43.34464217	-104.13939501	116.73032653	0.00	0.00	0.00	
0.00585938	-30.03660322	-43.34464217	-104.21015390	116.79345750	0.00	0.00	0.00	
0.00610352	-30.03660322	-43.47266675	-104.28091279	116.90414475	0.00	0.00	0.00	
0.00634766	-30.10980966	-43.53667904	-104.35167168	117.00989036	0.00	0.00	0.00	
0.00659180	-30.10980966	-43.60069133	-104.35167168	117.03372294	0.00	0.00	0.00	
0.00683594	-30.18301611	-43.66470362	-104.42243057	117.13951003	0.00	0.00	0.00	
0.00708008	-30.10980966	-43.66470362	-104.49318946	117.18376007	0.00	0.00	0.00	
0.00732422	-30.10980966	-43.79272820	-104.35167168	117.10540151	0.00	0.00	0.00	
0.00756836	-30.18301611	-43.79272820	-104.56394835	117.31341270	0.00	0.00	0.00	
0.00781250	-30.18301611	-43.85674049	-104.63470724	117.40038376	0.00	0.00	0.00	
0.00805664	-30.10980966	-43.98476507	-104.63470724	117.42947737	0.00	0.00	0.00	
0.00830078	-30.25622255	-43.98476507	-104.70546612	117.53013740	0.00	0.00	0.00	
0.00854492	-30.32942899	-43.98476507	-104.77622501	117.61203658	0.00	0.00	0.00	
0.00878906	-30.25622255	-44.04877737	-104.77622501	117.61713786	0.00	0.00	0.00	
0.00903320	-30.32942899	-44.04877737	-104.77622501	117.63599100	0.00	0.00	0.00	
0.00927734	-30.32942899	-44.11278966	-104.84698390	117.72299056	0.00	0.00	0.00	
0.00952148	-30.32942899	-44.17680195	-104.84698390	117.74699201	0.00	0.00	0.00	
0.00976563	-30.40263543	-44.24081424	-104.91774279	117.85288557	0.00	0.00	0.00	
0.01000977	-30.40263543	-44.24081424	-104.84698390	117.78989736	0.00	0.00	0.00	
0.01025391	-30.32942899	-44.24081424	-104.91774279	117.83402166	0.00	0.00	0.00	
0.01049805	-30.47584187	-44.30482653	-104.91774279	117.89583260	0.00	0.00	0.00	
