Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	63.7738	23.1392	-19.4287	70.5690
1	0.2590	0.2442	0.1640	0.3920
2	0.1313	0.1832	0.0699	0.2360
3	0.1102	0.0571	0.1027	0.1611
4	0.0657	0.0189	0.0958	0.1177
5	0.0414	0.2721	0.4174	0.5000
6	0.0585	0.2068	0.1559	0.2655
7	0.0157	0.1082	0.0788	0.1348
8	0.0488	0.1093	0.0416	0.1267
9	0.0485	0.1197	0.0388	0.1349
10	0.0161	0.2127	0.0373	0.2166
11	0.0434	0.2358	0.0394	0.2430
12	0.0311	0.0327	0.0047	0.0454
13	0.0132	0.0196	0.0110	0.0260
14	0.0130	0.0054	0.0009	0.0141
15	0.0204	0.0114	0.0113	0.0259
16	0.0157	0.0432	0.0145	0.0482
17	0.0023	0.0005	0.0082	0.0085
18	0.0155	0.0080	0.0035	0.0178
19	0.0308	0.0177	0.0204	0.0410
20	0.0163	0.0092	0.0095	0.0210
21	0.0263	0.0117	0.0154	0.0326
22	0.0206	0.0027	0.0079	0.0222
23	0.0186	0.0109	0.0041	0.0219
24	0.0147	0.0085	0.0050	0.0177
25	0.0537	0.0227	0.0163	0.0606
26	0.0116	0.0101	0.0025	0.0155
27	0.0174	0.0021	0.0026	0.0177
28	0.0242	0.0128	0.0105	0.0293
29	0.0091	0.0016	0.0055	0.0108
30	0.0069	0.0039	0.0076	0.0110
31	0.0150	0.0037	0.0032	0.0158
32	0.0102	0.0027	0.0159	0.0191
33	0.0509	0.0283	0.0245	0.0632
34	0.0603	0.0396	0.0177	0.0743
35	0.0247	0.0142	0.0082	0.0297
36	0.0245	0.0182	0.0089	0.0318
37	0.0304	0.0189	0.0103	0.0373
38	0.0082	0.0085	0.0097	0.0153
39	0.0076	0.0086	0.0010	0.0116
40	0.0119	0.0075	0.0036	0.0145
41	0.0123	0.0060	0.0031	0.0141
42	0.0096	0.0076	0.0033	0.0127
43	0.0065	0.0044	0.0078	0.0111
44	0.0094	0.0034	0.0041	0.0108
45	0.0123	0.0066	0.0015	0.0141
46	0.0101	0.0015	0.0031	0.0107
47	0.0042	0.0061	0.0025	0.0078
48	0.0287	0.0092	0.0106	0.0319
49	0.0078	0.0062	0.0022	0.0102
50	0.0312	0.0131	0.0113	0.0357
51	0.0116	0.0046	0.0042	0.0131
52	0.0078	0.0065	0.0057	0.0116
53	0.0069	0.0067	0.0040	0.0104
54	0.0100	0.0033	0.0017	0.0106
55	0.0084	0.0034	0.0010	0.0091
56	0.0115	0.0056	0.0047	0.0136
57	0.0230	0.0101	0.0118	0.0277
58	0.0093	0.0039	0.0056	0.0115
59	0.0054	0.0046	0.0018	0.0074
60	0.0121	0.0042	0.0031	0.0132
61	0.0086	0.0047	0.0037	0.0105
62	0.0206	0.0079	0.0087	0.0238
63	0.0067	0.0040	0.0072	0.0106
64	0.0066	0.0028	0.0040	0.0082
65	0.0025	0.0011	0.0016	0.0031
66	0.0064	0.0030	0.0047	0.0085
67	0.0288	0.0231	0.0104	0.0384
68	0.0031	0.0009	0.0031	0.0045
69	0.0076	0.0038	0.0031	0.0091
70	0.0042	0.0045	0.0009	0.0062
71	0.0047	0.0047	0.0052	0.0084
72	0.0062	0.0053	0.0019	0.0084
73	0.0037	0.0013	0.0037	0.0054
74	0.0040	0.0070	0.0051	0.0096
75	0.0121	0.0067	0.0081	0.0160
76	0.0144	0.0062	0.0101	0.0186
77	0.0074	0.0057	0.0012	0.0094
78	0.0058	0.0058	0.0036	0.0089
79	0.0042	0.0047	0.0017	0.0065
80	0.0058	0.0020	0.0013	0.0063
81	0.0059	0.0044	0.0024	0.0078
82	0.0080	0.0060	0.0035	0.0106
83	0.0068	0.0065	0.0054	0.0108
84	0.0018	0.0038	0.0024	0.0048
85	0.0045	0.0035	0.0034	0.0067
86	0.0052	0.0024	0.0010	0.0059
87	0.0086	0.0066	0.0048	0.0118
88	0.0059	0.0046	0.0029	0.0080
89	0.0021	0.0008	0.0022	0.0032
90	0.0074	0.0021	0.0010	0.0077
91	0.0030	0.0019	0.0012	0.0037
92	0.0055	0.0091	0.0035	0.0112
93	0.0071	0.0068	0.0031	0.0103
94	0.0083	0.0075	0.0039	0.0119
95	0.0083	0.0054	0.0011	0.0099
96	0.0035	0.0045	0.0059	0.0082
97	0.0079	0.0029	0.0014	0.0085
98	0.0054	0.0043	0.0020	0.0072
99	0.0039	0.0059	0.0015	0.0072
