Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	62.56954612	22.33196774	-18.94569255	69.08403688	37.29	0.00	0.00	
0.00024414	62.56954612	22.39598003	-18.80417477	69.06609162	37.29	0.00	0.00	
0.00048828	62.56954612	22.33196774	-18.66265700	69.00695364	37.29	0.00	0.00	
0.00073242	62.56954612	22.26795545	-18.66265700	68.98626463	37.29	0.00	0.00	
0.00097656	62.64275256	22.26795545	-18.52113922	69.01455561	0.00	0.00	0.00	
0.00122070	62.71595900	22.26795545	-18.52113922	69.08101006	0.00	0.00	0.00	
0.00146484	62.71595900	22.33196774	-18.59189811	69.12066964	0.00	0.00	0.00	
0.00170898	62.71595900	22.39598003	-18.66265700	69.16043812	0.00	0.00	0.00	
0.00195313	62.86237189	22.39598003	-18.66265700	69.29323551	0.00	0.00	0.00	
0.00219727	62.78916545	22.52400461	-18.73341589	69.28745162	0.00	0.00	0.00	
0.00244141	62.93557833	22.71604148	-18.80417477	69.50181688	0.00	0.00	0.00	
0.00268555	63.08199122	22.90807835	-19.08721033	69.77420202	0.00	0.00	0.00	
0.00292969	63.08199122	22.90807835	-19.08721033	69.77420202	0.00	0.00	0.00	
0.00317383	63.22840410	23.03610293	-19.29948700	70.00688053	0.00	0.00	0.00	
0.00341797	63.37481698	22.97209064	-19.29948700	70.11814726	0.00	0.00	0.00	
0.00366211	63.30161054	23.10011522	-19.44100478	70.13317252	0.00	0.00	0.00	
0.00390625	63.30161054	23.16412751	-19.51176367	70.17392409	0.00	0.00	0.00	
0.00415039	63.30161054	23.10011522	-19.51176367	70.15281991	0.00	0.00	0.00	
0.00439453	63.22840410	23.10011522	-19.51176367	70.08677000	0.00	0.00	0.00	
0.00463867	63.15519766	23.16412751	-19.65328144	70.08143311	0.00	0.00	0.00	
0.00488281	63.15519766	23.10011522	-19.65328144	70.06030107	0.00	0.00	0.00	
0.00512695	63.08199122	22.97209064	-19.58252255	69.93232267	0.00	0.00	0.00	
0.00537109	62.93557833	22.90807835	-19.51176367	69.75941510	0.00	0.00	0.00	
0.00561523	62.86237189	22.78005377	-19.44100478	69.63161147	0.00	0.00	0.00	
0.00585938	62.71595900	22.58801690	-19.29948700	69.39726378	0.00	0.00	0.00	
0.00610352	62.64275256	22.45999232	-19.29948700	69.28950788	0.00	0.00	0.00	
0.00634766	62.49633968	22.33196774	-19.22872811	69.09597123	0.00	0.00	0.00	
0.00659180	62.42313324	22.20394316	-19.15796922	68.96876423	0.00	0.00	0.00	
