Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	67.1911	18.6512	-17.1437	71.8082
1	0.6005	0.8405	0.7935	1.3026
2	0.6989	0.6690	0.6172	1.1475
3	0.3758	0.4205	0.4542	0.7241
4	0.2946	0.1653	0.2610	0.4269
5	0.2299	0.6791	0.2716	0.7667
6	0.1421	0.1889	0.0112	0.2367
7	0.0294	0.1526	0.0893	0.1792
8	0.1023	0.0493	0.0621	0.1295
9	0.0567	0.0405	0.0077	0.0701
10	0.0674	0.0054	0.0793	0.1042
11	0.0916	0.1054	0.1374	0.1959
12	0.0344	0.0664	0.0619	0.0971
13	0.0338	0.0625	0.0631	0.0950
14	0.0226	0.0346	0.0265	0.0490
15	0.0096	0.0409	0.0284	0.0507
16	0.0225	0.0576	0.0328	0.0699
17	0.0324	0.0197	0.0202	0.0430
18	0.0109	0.0226	0.0131	0.0283
19	0.0355	0.0333	0.0381	0.0617
20	0.0118	0.0246	0.0250	0.0370
21	0.0130	0.0140	0.0094	0.0213
22	0.0129	0.0262	0.0178	0.0342
23	0.0142	0.0156	0.0173	0.0273
24	0.0209	0.0181	0.0159	0.0319
25	0.0457	0.0302	0.0185	0.0578
26	0.0149	0.0224	0.0162	0.0314
27	0.0289	0.0160	0.0092	0.0343
28	0.0164	0.0104	0.0136	0.0237
29	0.0095	0.0157	0.0133	0.0227
30	0.0158	0.0112	0.0173	0.0259
31	0.0179	0.0112	0.0125	0.0245
32	0.0250	0.0146	0.0111	0.0311
33	0.0542	0.0260	0.0281	0.0664
34	0.0443	0.0424	0.0109	0.0623
35	0.0117	0.0197	0.0007	0.0229
36	0.0133	0.0171	0.0085	0.0233
37	0.0206	0.0094	0.0075	0.0239
38	0.0259	0.0237	0.0180	0.0395
39	0.0113	0.0160	0.0043	0.0200
40	0.0103	0.0190	0.0040	0.0220
41	0.0069	0.0153	0.0021	0.0169
42	0.0068	0.0152	0.0104	0.0196
43	0.0053	0.0108	0.0121	0.0171
44	0.0038	0.0100	0.0108	0.0152
45	0.0065	0.0106	0.0038	0.0130
46	0.0027	0.0098	0.0064	0.0120
47	0.0072	0.0077	0.0009	0.0106
48	0.0152	0.0148	0.0144	0.0257
49	0.0087	0.0076	0.0098	0.0152
50	0.0199	0.0071	0.0203	0.0293
51	0.0024	0.0131	0.0091	0.0161
52	0.0119	0.0095	0.0043	0.0158
53	0.0088	0.0100	0.0065	0.0148
54	0.0061	0.0070	0.0061	0.0111
55	0.0106	0.0091	0.0048	0.0147
56	0.0055	0.0082	0.0036	0.0105
57	0.0175	0.0197	0.0173	0.0315
58	0.0045	0.0063	0.0061	0.0099
59	0.0029	0.0080	0.0097	0.0129
60	0.0044	0.0099	0.0075	0.0132
61	0.0014	0.0073	0.0084	0.0112
62	0.0150	0.0140	0.0138	0.0247
63	0.0138	0.0062	0.0097	0.0180
64	0.0082	0.0032	0.0021	0.0091
65	0.0050	0.0093	0.0063	0.0123
66	0.0032	0.0073	0.0036	0.0088
67	0.0502	0.0336	0.0198	0.0636
68	0.0013	0.0091	0.0047	0.0103
