Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	156.6956	-94.8853	77.1435	198.7659
1	25.8513	27.6237	7.1679	38.5063
2	12.8650	13.8196	3.6323	19.2272
3	8.5161	9.0813	2.4925	12.6967
4	6.5918	6.9078	1.9911	9.7537
5	5.2326	5.3871	1.6354	7.6861
6	4.1644	4.7259	0.8482	6.3557
7	3.9517	3.8840	1.4628	5.7307
8	2.8579	3.0203	0.8541	4.2449
9	2.7735	2.6923	0.8541	3.9586
10	2.3502	2.7665	0.5134	3.6662
11	2.3173	2.6457	0.6308	3.5732
12	2.2930	2.4765	0.7192	3.4508
13	1.9385	2.1820	0.4395	2.9517
14	1.7656	1.9408	0.3776	2.6508
15	1.6506	1.8554	0.4343	2.5210
16	1.5744	1.7666	0.4313	2.4053
17	1.4647	1.6297	0.3383	2.2171
18	1.4183	1.5728	0.3067	2.1399
19	1.3701	1.4721	0.3777	2.0463
20	1.2333	1.3535	0.2147	1.8436
21	1.1623	1.3056	0.2192	1.7617
22	1.1890	1.2413	0.3180	1.7481
23	0.9862	1.1138	0.1351	1.4938
24	1.0536	1.1372	0.2353	1.5681
25	0.9922	1.1257	0.2852	1.5274
26	0.9213	0.9935	0.1346	1.3615
27	1.0206	1.0479	0.2705	1.4876
28	0.8954	0.9661	0.2649	1.3436
29	0.8815	0.9527	0.1957	1.3126
30	0.8454	0.9162	0.1836	1.2601
31	0.8442	0.8904	0.2417	1.2505
32	0.8780	0.8981	0.2562	1.2819
33	0.8211	0.8591	0.1714	1.2007
34	0.7584	0.8451	0.2419	1.1610
35	0.6740	0.7714	0.1622	1.0372
36	0.7289	0.8116	0.2231	1.1134
37	0.7363	0.7265	0.2556	1.0655
38	0.6018	0.6759	0.0394	0.9058
39	0.7024	0.7581	0.2331	1.0594
40	0.6200	0.7089	0.1832	0.9594
41	0.5481	0.6251	0.0875	0.8360
42	0.6093	0.6604	0.1879	0.9179
43	0.6548	0.5475	0.1023	0.8596
44	0.6492	0.5957	0.1745	0.8982
45	0.5918	0.5901	0.1218	0.8445
46	0.5849	0.5405	0.1171	0.8049
47	0.6148	0.5895	0.1528	0.8653
48	0.5661	0.5413	0.1156	0.7917
49	0.5801	0.5250	0.0984	0.7886
50	0.5285	0.5354	0.1009	0.7591
51	0.5988	0.5797	0.1835	0.8534
52	0.5734	0.5549	0.1460	0.8112
53	0.5426	0.6069	0.1890	0.8357
54	0.4661	0.5422	0.1090	0.7233
55	0.5112	0.5012	0.1789	0.7379
56	0.5190	0.4673	0.0971	0.7051
57	0.5364	0.4619	0.1181	0.7177
58	0.4908	0.4974	0.1005	0.7059
59	0.4410	0.4101	0.0512	0.6044
60	0.4923	0.4134	0.0617	0.6458
61	0.4496	0.4425	0.0664	0.6344
62	0.4630	0.3937	0.0915	0.6146
63	0.4823	0.4371	0.0476	0.6527
64	0.4562	0.4392	0.0780	0.6380
65	0.4902	0.4075	0.0529	0.6396
66	0.4984	0.4421	0.1118	0.6756
67	0.4571	0.3569	0.0195	0.5802
68	0.4916	0.4359	0.1040	0.6652
69	0.5172	0.3684	0.0541	0.6373
70	0.4733	0.4244	0.0830	0.6411
71	0.5057	0.4248	0.0888	0.6664
72	0.4384	0.3813	0.0167	0.5812
73	0.5072	0.3949	0.0830	0.6481
74	0.4932	0.4221	0.0997	0.6568
75	0.5132	0.3919	0.0712	0.6497
76	0.5140	0.3870	0.1238	0.6552
77	0.5258	0.4282	0.1127	0.6874
78	0.5589	0.3517	0.0881	0.6662
79	0.5923	0.3934	0.0938	0.7172
80	0.6097	0.3955	0.0894	0.7322
81	0.6351	0.4536	0.1080	0.7879
82	0.7086	0.4758	0.1249	0.8626
83	0.8279	0.5806	0.1973	1.0302
84	0.8957	0.6271	0.2279	1.1169
85	1.0806	0.7895	0.3156	1.3751
86	1.1941	0.9312	0.3934	1.5645
87	1.3105	0.9934	0.4245	1.6984
88	1.3819	1.1752	0.5439	1.8938
89	1.4020	1.2106	0.5485	1.9318
90	1.4620	1.3059	0.6220	2.0566
91	1.5750	1.3931	0.6795	2.2098
92	1.7189	1.4657	0.7768	2.3888
93	1.7633	1.4179	0.7910	2.3970
94	1.7587	1.2434	0.7515	2.2812
95	1.6685	0.9842	0.6448	2.0416
96	1.5741	0.6808	0.4808	1.7811
97	1.5241	0.7309	0.4190	1.7414
98	1.5629	1.0845	0.5181	1.9716
99	1.6566	1.3880	0.6481	2.2563
100	1.7529	1.4290	0.7869	2.3946
101	1.7622	1.1437	0.7195	2.2206
102	1.7234	0.8131	0.5391	1.9803
103	1.5393	0.9798	0.4842	1.8879
104	1.3620	1.2481	0.6119	1.9461
105	1.3587	1.0741	0.6537	1.8512
106	1.4972	0.6775	0.4770	1.7112
107	1.4804	0.9907	0.4833	1.8457
108	1.2868	1.1773	0.6130	1.8487
109	1.2880	0.7842	0.5356	1.6002
110	1.3392	0.6961	0.3675	1.5534
111	1.0783	1.0222	0.4929	1.5654
112	1.1617	0.7020	0.4485	1.4295
113	1.3796	0.7895	0.4220	1.6446
114	1.2589	1.1821	0.6042	1.8295
115	1.3888	0.7699	0.5396	1.6771
116	1.3955	1.0010	0.4795	1.7831
117	1.1247	0.9888	0.5632	1.6000
118	1.2950	0.6296	0.3710	1.4870
119	1.1224	1.0634	0.5430	1.6387
120	1.2628	0.6267	0.4436	1.4779
121	1.2419	1.0700	0.5092	1.7166
122	1.2460	0.7284	0.5078	1.5300
123	1.2392	1.0089	0.4531	1.6610
124	1.1681	0.7354	0.5047	1.4697
125	1.1592	0.9522	0.4535	1.5672
126	1.1723	0.6727	0.4770	1.4333
127	1.1301	1.0397	0.5137	1.6192
128	1.2369	0.6145	0.4127	1.4415
129	1.0584	1.0406	0.5457	1.5814
130	1.1929	0.6017	0.3170	1.3731
131	0.9804	0.8702	0.5235	1.4115
132	1.0988	0.8516	0.3826	1.4419
133	1.0470	0.5297	0.3844	1.2348
134	0.8598	0.8586	0.3869	1.2752
135	1.0682	0.6704	0.3530	1.3096
136	0.9560	0.6308	0.4110	1.2169
137	0.9397	0.8831	0.4267	1.3583
138	1.0401	0.6680	0.3386	1.2817
139	0.9561	0.5271	0.3471	1.1456
140	0.7916	0.8452	0.4554	1.2443
141	0.9553	0.7122	0.3078	1.2307
142	0.9463	0.4843	0.3631	1.1234
143	0.9048	0.7222	0.4083	1.2276
144	0.9097	0.9147	0.4552	1.3680
145	1.0393	0.7099	0.3213	1.2990
146	1.0266	0.5534	0.4038	1.2342
147	1.0065	0.6896	0.4156	1.2890
148	0.9147	0.9202	0.5104	1.3942
149	0.9782	0.9035	0.4176	1.3956
150	0.9919	0.7557	0.3904	1.3067
151	1.0565	0.5727	0.3334	1.2471
152	1.0301	0.5768	0.3918	1.2439
153	0.9941	0.6453	0.4137	1.2554
154	0.9131	0.7442	0.4227	1.2515
155	0.8363	0.7637	0.4371	1.2139
156	0.7293	0.7513	0.3689	1.1102
157	0.6805	0.7553	0.3914	1.0894
158	0.6923	0.7204	0.3236	1.0503
159	0.6249	0.6777	0.3119	0.9731
160	0.5622	0.5571	0.2535	0.8310
161	0.4279	0.4493	0.1664	0.6424
162	0.4006	0.4138	0.1833	0.6044
163	0.3592	0.3711	0.1097	0.5280
164	0.3386	0.3637	0.1635	0.5231
165	0.3291	0.3170	0.0949	0.4667
166	0.3031	0.2980	0.1163	0.4407
167	0.2734	0.2363	0.0762	0.3693
168	0.2401	0.2599	0.0720	0.3611
169	0.2664	0.2410	0.0884	0.3700
170	0.2193	0.2223	0.0836	0.3232
171	0.2356	0.2375	0.0914	0.3468
172	0.2099	0.2064	0.0588	0.3002
173	0.2255	0.1996	0.0725	0.3098
174	0.2129	0.1936	0.0614	0.2943
175	0.2019	0.1847	0.0753	0.2838
176	0.1902	0.1825	0.0424	0.2670
177	0.1743	0.1618	0.0328	0.2400
178	0.1790	0.1682	0.0465	0.2500
179	0.1448	0.1464	0.0446	0.2107
180	0.1681	0.1681	0.0395	0.2410
181	0.1363	0.1488	0.0169	0.2025
182	0.1406	0.1570	0.0105	0.2110
183	0.1232	0.1598	0.0124	0.2021
184	0.1397	0.1562	0.0177	0.2103
185	0.1517	0.1700	0.0483	0.2329
186	0.1257	0.1594	0.0338	0.2058
187	0.1396	0.1552	0.0318	0.2111
188	0.1527	0.1680	0.0658	0.2364
189	0.1439	0.1500	0.0540	0.2148
190	0.1404	0.1504	0.0692	0.2171
191	0.1227	0.1507	0.0291	0.1965
192	0.1021	0.1424	0.0227	0.1767
193	0.1246	0.1488	0.0065	0.1942
194	0.1373	0.1637	0.0580	0.2214
195	0.1343	0.1605	0.0608	0.2179
196	0.1359	0.1377	0.0502	0.1999
197	0.1418	0.1408	0.0706	0.2119
198	0.1119	0.1431	0.0182	0.1825
199	0.0976	0.1396	0.0236	0.1720
200	0.0896	0.1420	0.0361	0.1717
201	0.2135	0.1563	0.1589	0.3086
202	0.1425	0.1483	0.0663	0.2161
203	0.0885	0.1275	0.0390	0.1600
204	0.0957	0.1223	0.0454	0.1618
205	0.1149	0.1399	0.0151	0.1817
206	0.1344	0.1471	0.0747	0.2128
207	0.1201	0.1384	0.0589	0.1925
208	0.0908	0.1221	0.0312	0.1553
209	0.0964	0.1345	0.0171	0.1663
210	0.1254	0.1334	0.0537	0.1908
211	0.1318	0.1383	0.0801	0.2072
212	0.1170	0.1359	0.0318	0.1821
213	0.1246	0.1515	0.0655	0.2068
214	0.1108	0.1486	0.0534	0.1929
215	0.0894	0.1265	0.0099	0.1553
216	0.0777	0.1266	0.0338	0.1524
217	0.0974	0.1259	0.0167	0.1601
218	0.0951	0.1200	0.0304	0.1561
219	0.0814	0.1190	0.0432	0.1505
220	0.1076	0.1257	0.0280	0.1678
221	0.1143	0.1241	0.0731	0.1839
222	0.0987	0.1213	0.0483	0.1636
223	0.1211	0.1313	0.0444	0.1841
224	0.1171	0.1140	0.0691	0.1775
225	0.0926	0.1266	0.0237	0.1586
226	0.1050	0.1301	0.0298	0.1699
227	0.0994	0.1355	0.0667	0.1808
228	0.0988	0.1233	0.0124	0.1585
229	0.1069	0.1368	0.0443	0.1792
230	0.1003	0.1189	0.0628	0.1677
231	0.0991	0.1245	0.0167	0.1600
232	0.1043	0.1267	0.0547	0.1730
233	0.0936	0.1209	0.0340	0.1566
234	0.1092	0.1373	0.0570	0.1844
235	0.0881	0.1082	0.0521	0.1490
236	0.0942	0.1254	0.0143	0.1575
237	0.1148	0.1219	0.0974	0.1937
238	0.0938	0.1209	0.0186	0.1541
239	0.1171	0.1297	0.0785	0.1916
240	0.0946	0.1097	0.0574	0.1558
241	0.1056	0.1265	0.0458	0.1710
242	0.1007	0.1147	0.0821	0.1733
243	0.1084	0.1293	0.0473	0.1753
244	0.0941	0.1099	0.0513	0.1535
245	0.0985	0.1229	0.0262	0.1597
246	0.0861	0.1103	0.0329	0.1438
247	0.0875	0.1183	0.0267	0.1495
248	0.0918	0.1097	0.0519	0.1521
249	0.0957	0.1196	0.0293	0.1559
250	0.0892	0.1130	0.0650	0.1580
251	0.0991	0.1246	0.0388	0.1639
252	0.0836	0.1071	0.0677	0.1518
253	0.0988	0.1165	0.0326	0.1562
254	0.0837	0.1053	0.0572	0.1462
255	0.0995	0.1239	0.0467	0.1656
256	0.0676	0.1030	0.0330	0.1275
257	0.0876	0.1195	0.0434	0.1544
258	0.0685	0.1087	0.0175	0.1297
259	0.0904	0.1112	0.0673	0.1583
260	0.0936	0.1246	0.0477	0.1630
261	0.0807	0.1112	0.0546	0.1478
262	0.0972	0.1211	0.0566	0.1653
263	0.0616	0.0990	0.0362	0.1221
264	0.0798	0.1126	0.0560	0.1490
265	0.0831	0.1211	0.0310	0.1501
266	0.0687	0.1053	0.0199	0.1274
267	0.1019	0.1207	0.0680	0.1720
268	0.0832	0.1013	0.0095	0.1314
269	0.0828	0.0937	0.0679	0.1423
270	0.0959	0.1071	0.0459	0.1509
271	0.0726	0.0941	0.0413	0.1258
272	0.0943	0.0980	0.0674	0.1518
273	0.1103	0.1077	0.0569	0.1644
274	0.0760	0.0902	0.0367	0.1236
275	0.0826	0.0923	0.0604	0.1378
276	0.0938	0.1069	0.0412	0.1481
277	0.0730	0.1081	0.0046	0.1305
278	0.0727	0.0968	0.0720	0.1409
279	0.0865	0.1113	0.0465	0.1484
280	0.0734	0.1060	0.0329	0.1331
281	0.0599	0.0937	0.0293	0.1150
282	0.0901	0.1029	0.0610	0.1498
283	0.0838	0.0992	0.0199	0.1314
284	0.0713	0.0890	0.0253	0.1168
285	0.0759	0.0925	0.0328	0.1240
286	0.0986	0.1122	0.0711	0.1655
287	0.0858	0.1046	0.0332	0.1393
288	0.0529	0.0948	0.0245	0.1113
289	0.0669	0.1007	0.0396	0.1272
290	0.0887	0.1029	0.0608	0.1489
291	0.0876	0.0962	0.0201	0.1316
292	0.0716	0.0841	0.0268	0.1137
293	0.0751	0.0929	0.0481	0.1288
294	0.0877	0.1034	0.0866	0.1609
295	0.0819	0.1112	0.0542	0.1483
296	0.0775	0.1052	0.0451	0.1382
297	0.0759	0.0895	0.0109	0.1179
298	0.0627	0.0738	0.0560	0.1119
299	0.0732	0.0884	0.0462	0.1237
300	0.0751	0.1014	0.0563	0.1382
301	0.0864	0.1037	0.0423	0.1414
302	0.0745	0.0932	0.0258	0.1221
303	0.0772	0.0934	0.0124	0.1218
304	0.0715	0.0815	0.0418	0.1162
305	0.0590	0.0893	0.0445	0.1159
306	0.0643	0.0938	0.0510	0.1246
307	0.0738	0.0898	0.0558	0.1289
308	0.0847	0.0901	0.0392	0.1298
309	0.0945	0.0972	0.0600	0.1483
310	0.0802	0.1049	0.0370	0.1371
311	0.0781	0.1017	0.0361	0.1333
312	0.0847	0.0823	0.0158	0.1192
313	0.0690	0.0834	0.0235	0.1108
314	0.0615	0.0922	0.0083	0.1112
315	0.0618	0.0887	0.0125	0.1088
316	0.0596	0.0751	0.0361	0.1025
317	0.0629	0.0854	0.0179	0.1076
318	0.0584	0.0857	0.0422	0.1119
