Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	77.86969253	37.05479452	-13.56801698	87.29741060	42.72	0.00	0.00	
0.00024414	78.01610542	37.11880681	-13.56801698	87.45518629	42.72	0.00	0.00	
0.00048828	78.08931186	37.18281910	-13.63877587	87.55865960	42.72	0.00	0.00	
0.00073242	78.23572474	37.24683139	-13.63877587	87.71642538	42.72	0.00	0.00	
0.00097656	78.38213763	37.31084368	-13.78029365	87.89627437	0.00	0.00	0.00	
0.00122070	78.52855051	37.43886826	-13.78029365	88.08120455	0.00	0.00	0.00	
0.00146484	78.52855051	37.50288055	-13.85105254	88.11952651	0.00	0.00	0.00	
0.00170898	78.67496340	37.50288055	-14.06332921	88.28359499	0.00	0.00	0.00	
0.00195313	78.67496340	37.50288055	-14.13408809	88.29489431	0.00	0.00	0.00	
0.00219727	78.67496340	37.43886826	-14.27560587	88.29049578	0.00	0.00	0.00	
0.00244141	78.67496340	37.43886826	-14.34636476	88.30196433	0.00	0.00	0.00	
0.00268555	78.52855051	37.31084368	-14.34636476	88.11725418	0.00	0.00	0.00	
0.00292969	78.30893119	37.24683139	-14.41712365	87.90602145	0.00	0.00	0.00	
0.00317383	78.16251830	37.24683139	-14.34636476	87.76402394	0.00	0.00	0.00	
0.00341797	78.08931186	37.18281910	-14.27560587	87.66011400	0.00	0.00	0.00	
0.00366211	77.94289898	37.11880681	-14.20484698	87.49102238	0.00	0.00	0.00	
0.00390625	78.01610542	37.05479452	-14.06332921	87.50627252	0.00	0.00	0.00	
0.00415039	77.86969253	37.05479452	-13.99257032	87.36440257	0.00	0.00	0.00	
0.00439453	77.79648609	36.99078223	-13.92181143	87.26069018	0.00	0.00	0.00	
0.00463867	77.72327965	36.99078223	-13.70953476	87.16178929	0.00	0.00	0.00	
0.00488281	77.65007321	37.18281910	-13.70953476	87.17824986	0.00	0.00	0.00	
0.00512695	77.86969253	37.24683139	-13.63877587	87.39011198	0.00	0.00	0.00	
0.00537109	77.86969253	37.31084368	-13.49725809	87.39544638	0.00	0.00	0.00	
0.00561523	78.01610542	37.31084368	-13.49725809	87.52592608	0.00	0.00	0.00	
0.00585938	78.08931186	37.43886826	-13.63877587	87.66770038	0.00	0.00	0.00	
0.00610352	78.23572474	37.50288055	-13.63877587	87.82545692	0.00	0.00	0.00	
0.00634766	78.30893119	37.56689284	-13.63877587	87.91800924	0.00	0.00	0.00	
0.00659180	78.38213763	37.56689284	-13.78029365	88.00526933	0.00	0.00	0.00	
0.00683594	78.45534407	37.63090513	-13.92181143	88.12004805	0.00	0.00	0.00	
0.00708008	78.60175695	37.69491742	-13.99257032	88.28892920	0.00	0.00	0.00	
0.00732422	78.60175695	37.63090513	-14.13408809	88.28416429	0.00	0.00	0.00	
0.00756836	78.60175695	37.56689284	-14.20484698	88.26825767	0.00	0.00	0.00	
0.00781250	78.45534407	37.50288055	-14.34636476	88.13356480	0.00	0.00	0.00	
0.00805664	78.45534407	37.50288055	-14.34636476	88.13356480	0.00	0.00	0.00	
0.00830078	78.38213763	37.43886826	-14.41712365	88.05272177	0.00	0.00	0.00	
0.00854492	78.23572474	37.37485597	-14.41712365	87.89517586	0.00	0.00	0.00	
0.00878906	78.08931186	37.31084368	-14.34636476	87.72603869	0.00	0.00	0.00	
0.00903320	78.08931186	37.31084368	-14.27560587	87.71449485	0.00	0.00	0.00	
0.00927734	77.94289898	37.24683139	-14.20484698	87.54541466	0.00	0.00	0.00	
0.00952148	77.79648609	37.18281910	-14.20484698	87.38783074	0.00	0.00	0.00	
0.00976563	77.72327965	37.18281910	-14.06332921	87.29975638	0.00	0.00	0.00	
0.01000977	77.72327965	37.18281910	-13.85105254	87.26581170	0.00	0.00	0.00	
0.01025391	77.72327965	37.24683139	-13.85105254	87.29310571	0.00	0.00	0.00	
0.01049805	77.94289898	37.24683139	-13.70953476	87.46641237	0.00	0.00	0.00	
0.01074219	77.86969253	37.37485597	-13.63877587	87.44475445	0.00	0.00	0.00	
0.01098633	78.01610542	37.43886826	-13.56801698	87.59151013	0.00	0.00	0.00	
0.01123047	78.16251830	37.50288055	-13.63877587	87.76025025	0.00	0.00	0.00	
0.01147461	78.30893119	37.63090513	-13.56801698	87.93443472	0.00	0.00	0.00	
0.01171875	78.45534407	37.69491742	-13.56801698	88.09221814	0.00	0.00	0.00	
0.01196289	78.60175695	37.75892971	-13.63877587	88.26091534	0.00	0.00	0.00	
0.01220703	78.74816984	37.75892971	-13.92181143	88.43544459	0.00	0.00	0.00	
0.01245117	78.74816984	37.82294200	-13.85105254	88.45168654	0.00	0.00	0.00	
0.01269531	78.82137628	37.75892971	-13.99257032	88.51179671	0.00	0.00	0.00	
0.01293945	78.89458272	37.75892971	-14.20484698	88.61077606	0.00	0.00	0.00	
0.01318359	78.82137628	37.63090513	-14.34636476	88.51391169	0.00	0.00	0.00	
0.01342773	78.74816984	37.63090513	-14.34636476	88.44872784	0.00	0.00	0.00	
0.01367188	78.74816984	37.69491742	-14.41712365	88.48748220	0.00	0.00	0.00	
0.01391602	78.60175695	37.56689284	-14.48788254	88.31424786	0.00	0.00	0.00	
0.01416016	78.67496340	37.56689284	-14.41712365	88.36783780	0.00	0.00	0.00	
0.01440430	78.45534407	37.50288055	-14.41712365	88.14511057	0.00	0.00	0.00	
0.01464844	78.45534407	37.56689284	-14.41712365	88.17236475	0.00	0.00	0.00	
0.01489258	78.30893119	37.50288055	-14.27560587	87.99174777	0.00	0.00	0.00	
0.01513672	78.23572474	37.43886826	-14.13408809	87.87644695	0.00	0.00	0.00	
0.01538086	78.16251830	37.63090513	-13.99257032	87.87067948	0.00	0.00	0.00	
0.01562500	78.16251830	37.56689284	-13.85105254	87.82085380	0.00	0.00	0.00	
0.01586914	78.16251830	37.56689284	-13.85105254	87.82085380	0.00	0.00	0.00	
0.01611328	78.23572474	37.69491742	-13.63877587	87.90763126	0.00	0.00	0.00	
0.01635742	78.23572474	37.63090513	-13.63877587	87.88020172	0.00	0.00	0.00	
0.01660156	78.30893119	37.69491742	-13.56801698	87.96184734	0.00	0.00	0.00	
0.01684570	78.45534407	37.75892971	-13.63877587	88.13055085	0.00	0.00	0.00	
0.01708984	78.52855051	37.75892971	-13.56801698	88.18481220	0.00	0.00	0.00	
0.01733398	78.67496340	37.69491742	-13.56801698	88.28786865	0.00	0.00	0.00	
0.01757813	78.67496340	37.69491742	-13.70953476	88.30972771	0.00	0.00	0.00	
0.01782227	78.74816984	37.69491742	-13.85105254	88.39701753	0.00	0.00	0.00	
0.01806641	78.74816984	37.69491742	-13.99257032	88.41930262	0.00	0.00	0.00	
0.01831055	78.67496340	37.69491742	-14.06332921	88.36534328	0.00	0.00	0.00	
0.01855469	78.67496340	37.63090513	-14.13408809	88.34934823	0.00	0.00	0.00	
0.01879883	78.60175695	37.56689284	-14.34636476	88.29114234	0.00	0.00	0.00	
0.01904297	78.67496340	37.63090513	-14.41712365	88.39506966	0.00	0.00	0.00	
0.01928711	78.52855051	37.56689284	-14.48788254	88.24909871	0.00	0.00	0.00	
0.01953125	78.45534407	37.43886826	-14.48788254	88.12949909	0.00	0.00	0.00	
0.01977539	78.23572474	37.37485597	-14.41712365	87.89517586	0.00	0.00	0.00	
0.02001953	78.16251830	37.37485597	-14.48788254	87.84166362	0.00	0.00	0.00	
0.02026367	78.08931186	37.43886826	-14.41712365	87.79215761	0.00	0.00	0.00	
