Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	123.8508	-1.4968	70.3967	142.4674
1	87.0274	44.8572	21.7937	100.3041
2	27.1698	14.1987	7.9768	31.6769
3	13.2065	7.0503	3.0791	15.2840
4	13.9896	6.9234	3.3757	15.9699
5	9.6615	5.1816	2.6881	11.2881
6	8.0028	4.1221	1.7864	9.1775
7	7.2931	3.7764	1.9031	8.4304
8	5.9902	3.1240	1.4506	6.9099
9	5.6507	2.9704	1.4499	6.5465
10	4.7756	2.5078	1.1598	5.5173
11	4.6827	2.4985	1.4332	5.4977
12	4.3426	2.0910	1.2406	4.9769
13	3.7816	1.7948	1.0498	4.3155
14	3.7122	1.8627	1.0615	4.2868
15	3.1987	1.6752	0.8306	3.7051
16	3.1783	1.5946	0.8087	3.6467
17	2.8872	1.4863	0.7327	3.3290
18	2.7673	1.4482	0.6649	3.1933
19	2.6866	1.3403	0.7729	3.1002
20	2.4232	1.2666	0.5413	2.7873
21	2.3749	1.2562	0.5747	2.7474
22	2.2265	1.1467	0.5637	2.5671
23	2.1984	1.0984	0.6633	2.5454
24	2.0428	1.0252	0.4507	2.3296
25	1.9522	1.0414	0.5285	2.2748
26	2.0435	0.9773	0.6425	2.3545
27	1.8012	0.9306	0.5049	2.0893
28	1.7347	0.9009	0.4114	1.9975
29	1.7147	0.8689	0.4278	1.9693
30	1.6868	0.8738	0.4270	1.9470
31	1.6735	0.8498	0.5085	1.9445
32	1.4754	0.7749	0.2882	1.6912
33	1.4937	0.7897	0.3262	1.7208
34	1.4343	0.7469	0.3781	1.6607
35	1.4877	0.7469	0.4490	1.7242
36	1.3483	0.7081	0.3753	1.5685
37	1.3587	0.6842	0.3105	1.5526
38	1.3189	0.6514	0.4085	1.5266
39	1.2806	0.6054	0.2342	1.4357
40	1.2832	0.6607	0.4724	1.5186
41	1.1265	0.5879	0.2358	1.2923
42	1.2431	0.6148	0.3388	1.4276
43	1.1389	0.6336	0.3249	1.3432
44	1.1364	0.5628	0.2603	1.2946
45	1.0642	0.5729	0.2972	1.2446
46	1.1039	0.5506	0.2502	1.2587
47	1.0649	0.5587	0.3294	1.2469
48	0.9734	0.5102	0.1758	1.1130
49	1.0457	0.5402	0.2681	1.2071
50	0.9435	0.4770	0.2524	1.0869
51	0.9379	0.5300	0.1857	1.0931
52	1.0014	0.4742	0.3241	1.1544
53	0.9663	0.4822	0.2734	1.1140
54	0.9183	0.4904	0.2930	1.0815
55	0.8807	0.4434	0.1634	0.9995
56	0.9355	0.4563	0.3097	1.0860
57	0.8235	0.4829	0.2532	0.9876
58	0.8693	0.4731	0.2063	1.0110
59	0.8504	0.4721	0.2390	1.0016
60	0.8345	0.3942	0.2216	0.9491
61	0.8041	0.4215	0.2158	0.9332
62	0.8069	0.3584	0.2052	0.9064
63	0.8085	0.4350	0.2510	0.9518
64	0.7550	0.3706	0.1530	0.8549
65	0.7944	0.4108	0.2537	0.9296
66	0.7101	0.3868	0.1782	0.8280
67	0.7726	0.4128	0.1844	0.8951
68	0.7147	0.3891	0.2461	0.8502
69	0.7189	0.3558	0.1215	0.8113
70	0.7194	0.3826	0.2055	0.8403
71	0.6971	0.3637	0.1677	0.8040
72	0.6820	0.3510	0.1876	0.7897
73	0.6881	0.3493	0.1632	0.7887
74	0.6717	0.3699	0.1810	0.7879
75	0.6657	0.3156	0.1540	0.7527
76	0.6280	0.3311	0.1778	0.7319
77	0.6535	0.3262	0.1771	0.7515
78	0.6333	0.3385	0.1597	0.7357
79	0.6342	0.3153	0.1481	0.7236
80	0.6140	0.3195	0.2032	0.7213
81	0.6094	0.3169	0.1194	0.6972
82	0.6271	0.3176	0.1873	0.7274
83	0.5922	0.3075	0.1635	0.6870
84	0.5878	0.3034	0.1320	0.6745
85	0.5928	0.3255	0.1752	0.6986
86	0.5762	0.2730	0.1342	0.6516
87	0.5688	0.2478	0.1612	0.6411
88	0.5695	0.2806	0.1283	0.6477
89	0.5674	0.2906	0.1709	0.6600
90	0.5346	0.2777	0.1324	0.6168
91	0.5593	0.2852	0.1243	0.6400
92	0.5412	0.2749	0.1687	0.6301
93	0.5340	0.2848	0.1098	0.6151
94	0.5365	0.2977	0.1317	0.6276
95	0.5135	0.2464	0.1344	0.5852
96	0.5130	0.2560	0.1321	0.5883
97	0.5106	0.2392	0.1210	0.5767
98	0.5079	0.2750	0.1324	0.5925
99	0.5011	0.2402	0.1256	0.5697
100	0.4776	0.2568	0.1704	0.5684
101	0.4878	0.2355	0.1511	0.5623
102	0.5019	0.2483	0.1739	0.5864
103	0.4744	0.2486	0.1266	0.5503
104	0.4729	0.2210	0.1342	0.5390
105	0.4783	0.2505	0.1291	0.5551
106	0.4758	0.2496	0.1340	0.5537
107	0.4572	0.2491	0.1269	0.5359
108	0.4619	0.2270	0.1133	0.5270
109	0.4675	0.2386	0.1341	0.5418
110	0.4447	0.2212	0.1047	0.5076
111	0.4428	0.2414	0.1208	0.5186
112	0.4584	0.2157	0.1250	0.5218
