Frequency [Hz]	 X-Axis [%]	Y-Axis [%]	Z-Axis [%]	Total [%]
0	0.3917	0.2372	0.1929	0.4969
1	0.0646	0.0691	0.0179	0.0963
2	0.1286	0.1382	0.0363	0.1923
3	0.1916	0.2043	0.0561	0.2857
4	0.2637	0.2763	0.0796	0.3901
5	0.3270	0.3367	0.1022	0.4804
6	0.3748	0.4253	0.0763	0.5720
7	0.4841	0.4758	0.1792	0.7020
8	0.4573	0.4833	0.1367	0.6792
9	0.4992	0.4846	0.1537	0.7125
10	0.4700	0.5533	0.1027	0.7332
11	0.5098	0.5821	0.1388	0.7861
12	0.5503	0.5944	0.1726	0.8282
13	0.5040	0.5673	0.1143	0.7674
14	0.4944	0.5434	0.1057	0.7422
15	0.4952	0.5566	0.1303	0.7563
16	0.5038	0.5653	0.1380	0.7697
17	0.4980	0.5541	0.1150	0.7538
18	0.5106	0.5662	0.1104	0.7704
19	0.5206	0.5594	0.1435	0.7776
20	0.4933	0.5414	0.0859	0.7375
21	0.4882	0.5483	0.0921	0.7399
22	0.5232	0.5462	0.1399	0.7691
23	0.4536	0.5123	0.0622	0.6871
24	0.5057	0.5459	0.1130	0.7527
25	0.4961	0.5628	0.1426	0.7637
26	0.4791	0.5166	0.0700	0.7080
27	0.5511	0.5658	0.1461	0.8033
28	0.5014	0.5410	0.1483	0.7524
29	0.5113	0.5526	0.1135	0.7613
30	0.5072	0.5497	0.1102	0.7561
31	0.5234	0.5520	0.1499	0.7753
32	0.5619	0.5748	0.1639	0.8204
33	0.5419	0.5670	0.1132	0.7924
34	0.5157	0.5747	0.1645	0.7895
35	0.4718	0.5400	0.1135	0.7260
36	0.5248	0.5843	0.1606	0.8017
37	0.5448	0.5376	0.1891	0.7885
38	0.4573	0.5137	0.0299	0.6884
39	0.5479	0.5913	0.1818	0.8264
40	0.4960	0.5671	0.1466	0.7675
41	0.4495	0.5126	0.0717	0.6855
42	0.5118	0.5547	0.1579	0.7711
43	0.5631	0.4708	0.0880	0.7393
44	0.5713	0.5242	0.1535	0.7904
45	0.5326	0.5311	0.1096	0.7601
46	0.5381	0.4972	0.1077	0.7405
47	0.5779	0.5541	0.1436	0.8134
48	0.5435	0.5196	0.1110	0.7601
49	0.5685	0.5145	0.0965	0.7728
50	0.5285	0.5354	0.1009	0.7591
51	0.6108	0.5913	0.1872	0.8705
52	0.5964	0.5771	0.1519	0.8437
53	0.5752	0.6433	0.2003	0.8859
54	0.5034	0.5856	0.1177	0.7811
55	0.5623	0.5514	0.1967	0.8117
56	0.5813	0.5234	0.1088	0.7897
57	0.6115	0.5266	0.1347	0.8181
58	0.5693	0.5770	0.1166	0.8189
59	0.5204	0.4839	0.0604	0.7132
60	0.5907	0.4961	0.0740	0.7750
61	0.5486	0.5399	0.0810	0.7739
62	0.5741	0.4882	0.1134	0.7621
63	0.6077	0.5508	0.0600	0.8224
64	0.5839	0.5622	0.0998	0.8167
65	0.6373	0.5297	0.0688	0.8315
66	0.6579	0.5836	0.1475	0.8917
67	0.6125	0.4782	0.0261	0.7775
68	0.6686	0.5928	0.1414	0.9047
69	0.7137	0.5084	0.0746	0.8795
70	0.6626	0.5942	0.1161	0.8975
71	0.7181	0.6032	0.1262	0.9463
72	0.6313	0.5491	0.0240	0.8370
73	0.7405	0.5766	0.1212	0.9463
74	0.7300	0.6246	0.1475	0.9720
75	0.7699	0.5878	0.1068	0.9745
76	0.7813	0.5882	0.1882	0.9959
77	0.8098	0.6595	0.1735	1.0587
78	0.8719	0.5486	0.1375	1.0393
79	0.9358	0.6215	0.1483	1.1332
80	0.9755	0.6328	0.1430	1.1715
81	1.0288	0.7349	0.1750	1.2764
82	1.1620	0.7803	0.2049	1.4146
83	1.3743	0.9637	0.3275	1.7102
84	1.5047	1.0535	0.3829	1.8764
85	1.8371	1.3422	0.5366	2.3376
86	2.0539	1.6016	0.6767	2.6910
87	2.2803	1.7286	0.7387	2.9552
88	2.4322	2.0683	0.9573	3.3332
89	2.4955	2.1549	0.9763	3.4386
90	2.6316	2.3505	1.1196	3.7019
91	2.8666	2.5355	1.2367	4.0219
92	3.1629	2.6969	1.4293	4.3954
93	3.2798	2.6374	1.4713	4.4584
94	3.3064	2.3375	1.4127	4.2886
95	3.1702	1.8699	1.2250	3.8791
96	3.0222	1.3072	0.9231	3.4197
97	2.9567	1.4180	0.8129	3.3784
98	3.0633	2.1256	1.0155	3.8644
99	3.2801	2.7483	1.2832	4.4675
100	3.5059	2.8580	1.5739	4.7892
101	3.5596	2.3103	1.4535	4.4856
102	3.5156	1.6586	1.0998	4.0399
103	3.1711	2.0184	0.9974	3.8890
104	2.8330	2.5960	1.2728	4.0479
105	2.8532	2.2556	1.3727	3.8875
106	3.1740	1.4363	1.0112	3.6277
107	3.1680	2.1202	1.0342	3.9498
108	2.7796	2.5429	1.3241	3.9932
109	2.8078	1.7095	1.1676	3.4884
110	2.9463	1.5314	0.8085	3.4176
111	2.3938	2.2692	1.0942	3.4752
112	2.6021	1.5724	1.0047	3.2020
113	3.1178	1.7843	0.9537	3.7168
114	2.8703	2.6951	1.3775	4.1713
115	3.1944	1.7707	1.2411	3.8574
116	3.2376	2.3223	1.1124	4.1367
117	2.6318	2.3138	1.3178	3.7439
118	3.0562	1.4859	0.8756	3.5093
119	2.6712	2.5309	1.2923	3.9001
120	3.0306	1.5040	1.0646	3.5469
121	3.0054	2.5895	1.2323	4.1541
122	3.0401	1.7772	1.2391	3.7331
123	3.0485	2.4820	1.1145	4.0861
124	2.8968	1.8238	1.2518	3.6448
125	2.8980	2.3805	1.1337	3.9179
126	2.9543	1.6952	1.2019	3.6119
127	2.8704	2.6407	1.3048	4.1128
128	3.1664	1.5730	1.0566	3.6901
129	2.7307	2.6848	1.4078	4.0800
130	3.1014	1.5643	0.8241	3.5700
131	2.5686	2.2799	1.3717	3.6982
132	2.9009	2.2483	1.0101	3.8066
133	2.7851	1.4090	1.0226	3.2845
134	2.3044	2.3010	1.0368	3.4176
135	2.8842	1.8100	0.9530	3.5360
136	2.6004	1.7158	1.1180	3.3100
137	2.5747	2.4197	1.1692	3.7217
138	2.8707	1.8437	0.9345	3.5375
139	2.6581	1.4653	0.9650	3.1849
140	2.2164	2.3665	1.2750	3.4840
141	2.6940	2.0083	0.8679	3.4705
142	2.6876	1.3754	1.0312	3.1904
143	2.5878	2.0655	1.1677	3.5109
144	2.6200	2.6342	1.3109	3.9397
145	3.0139	2.0586	0.9318	3.7670
146	2.9977	1.6158	1.1792	3.6038
147	2.9593	2.0275	1.2219	3.7896
148	2.7075	2.7236	1.5109	4.1270
149	2.9151	2.6925	1.2446	4.1589
150	2.9757	2.2671	1.1711	3.9200
151	3.1906	1.7297	1.0068	3.7663
152	3.1314	1.7535	1.1910	3.7814
153	3.0421	1.9747	1.2661	3.8414
154	2.8123	2.2921	1.3018	3.8545
155	2.5924	2.3675	1.3550	3.7632
156	2.2754	2.3441	1.1511	3.4637
157	2.1369	2.3715	1.2289	3.4206
158	2.1878	2.2766	1.0227	3.3189
159	1.9871	2.1550	0.9917	3.0945
160	1.7989	1.7826	0.8113	2.6593
161	1.3778	1.4469	0.5358	2.0685
162	1.2979	1.3408	0.5939	1.9583
163	1.1711	1.2097	0.3578	1.7213
164	1.1105	1.1928	0.5364	1.7157
165	1.0859	1.0461	0.3133	1.5400
166	1.0064	0.9893	0.3860	1.4631
167	0.9132	0.7893	0.2545	1.2335
168	0.8069	0.8731	0.2420	1.2132
169	0.9004	0.8147	0.2989	1.2505
170	0.7455	0.7558	0.2843	1.0990
171	0.8057	0.8123	0.3127	1.1861
172	0.7222	0.7102	0.2023	1.0329
173	0.7804	0.6907	0.2510	1.0720
174	0.7409	0.6739	0.2136	1.0240
175	0.7066	0.6465	0.2637	0.9934
176	0.6694	0.6425	0.1493	0.9398
177	0.6169	0.5727	0.1162	0.8498
178	0.6373	0.5990	0.1655	0.8901
179	0.5184	0.5242	0.1598	0.7544
180	0.6050	0.6052	0.1420	0.8674
181	0.4933	0.5388	0.0612	0.7331
182	0.5117	0.5715	0.0381	0.7681
183	0.4507	0.5849	0.0454	0.7398
184	0.5140	0.5747	0.0652	0.7737
185	0.5612	0.6289	0.1786	0.8616
186	0.4678	0.5930	0.1257	0.7656
187	0.5221	0.5803	0.1191	0.7896
188	0.5743	0.6316	0.2475	0.8888
189	0.5441	0.5672	0.2041	0.8120
190	0.5336	0.5714	0.2628	0.8248
191	0.4688	0.5756	0.1111	0.7506
192	0.3922	0.5466	0.0870	0.6784
193	0.4809	0.5745	0.0249	0.7496
194	0.5327	0.6352	0.2250	0.8590
195	0.5236	0.6260	0.2370	0.8498
196	0.5328	0.5397	0.1969	0.7835
