Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	125.81991215	-34.70298297	58.67680877	143.10106642	-49.41	0.00	0.00	
0.00024414	126.11273792	-32.65458968	58.46453211	142.78951785	-49.41	0.00	0.00	
0.00048828	126.03953148	-30.86224555	58.39377322	142.29643160	-49.41	0.00	0.00	
0.00073242	125.45387994	-29.19792600	57.61542544	141.10539367	-49.41	0.00	0.00	
0.00097656	124.50219619	-27.72564332	56.12948877	139.35575935	0.00	0.00	0.00	
0.00122070	122.96486091	-26.25336065	55.13886432	137.29490275	0.00	0.00	0.00	
0.00146484	121.13469985	-25.10113942	55.13886432	135.43993897	0.00	0.00	0.00	
0.00170898	119.15812592	-24.14095506	56.20024766	133.93995864	0.00	0.00	0.00	
0.00195313	116.81551977	-23.56484445	57.12011321	132.15095492	0.00	0.00	0.00	
0.00219727	114.18008785	-22.98873384	57.47390766	129.88003852	0.00	0.00	0.00	
0.00244141	111.25183016	-22.73268468	56.76631877	126.94943723	0.00	0.00	0.00	
0.00268555	108.17715959	-22.41262322	56.41252432	124.04433255	0.00	0.00	0.00	
0.00292969	105.32210835	-22.34861093	57.12011321	121.88073782	0.00	0.00	0.00	
0.00317383	102.54026354	-22.66867239	58.60604989	120.26239412	0.00	0.00	0.00	
0.00341797	99.97803807	-23.37280758	60.37502211	119.10935952	0.00	0.00	0.00	
0.00366211	97.26939971	-24.33299193	61.50716434	117.62891601	0.00	0.00	0.00	
0.00390625	94.41434846	-25.42120087	61.71944100	115.62696938	0.00	0.00	0.00	
0.00415039	91.70571010	-26.57342210	62.14399434	113.92084998	0.00	0.00	0.00	
0.00439453	89.07027818	-27.85366790	63.34689545	112.79259920	0.00	0.00	0.00	
0.00463867	87.02049780	-29.38996287	65.25738546	112.67148403	0.00	0.00	0.00	
0.00488281	85.26354319	-31.11829471	66.88483991	112.74662688	0.00	0.00	0.00	
0.00512695	83.79941435	-32.97465113	67.59242880	112.59842758	0.00	0.00	0.00	
0.00537109	82.48169839	-34.76699526	67.52166991	112.12114179	0.00	0.00	0.00	
0.00561523	81.53001464	-36.68736397	67.80470547	112.20777177	0.00	0.00	0.00	
0.00585938	80.94436310	-38.60773268	69.07836547	113.20056324	0.00	0.00	0.00	
0.00610352	80.94436310	-40.72013827	70.70581992	114.93229550	0.00	0.00	0.00	
0.00634766	81.38360176	-42.83254385	71.97947992	116.78597081	0.00	0.00	0.00	
0.00659180	81.96925329	-44.68890027	72.19175659	118.01570240	0.00	0.00	0.00	
0.00683594	82.77452416	-46.35321982	71.55492659	118.82908043	0.00	0.00	0.00	
0.00708008	84.01903367	-47.63346563	71.13037325	119.94863512	0.00	0.00	0.00	
0.00732422	85.77598829	-48.78568685	71.69644437	121.97517593	0.00	0.00	0.00	
0.00756836	88.04538799	-49.93790808	72.47479215	124.49249177	0.00	0.00	0.00	
0.00781250	90.60761347	-50.83408014	72.54555103	126.71503580	0.00	0.00	0.00	
0.00805664	93.16983895	-51.41019076	71.48416770	128.19365364	0.00	0.00	0.00	
0.00830078	96.09809663	-51.79426450	70.28126658	129.83430380	0.00	0.00	0.00	
0.00854492	99.17276720	-51.66623992	69.71519547	131.77574353	0.00	0.00	0.00	
0.00878906	102.10102489	-51.47420305	69.85671325	133.99318359	0.00	0.00	0.00	
0.00903320	105.24890190	-51.09012930	69.99823103	136.33519359	0.00	0.00	0.00	
0.00927734	108.17715959	-50.57803098	69.36140103	138.09938098	0.00	0.00	0.00	
0.00952148	110.81259151	-49.68185892	67.59242880	138.98364642	0.00	0.00	0.00	
0.00976563	113.52122987	-48.52963769	65.82345657	139.91040991	0.00	0.00	0.00	
0.01000977	116.15666179	-47.12136730	64.76207324	141.09188305	0.00	0.00	0.00	
0.01025391	118.71888726	-45.64908462	64.47903768	142.60280299	0.00	0.00	0.00	
0.01049805	121.06149341	-44.17680195	64.26676101	144.00587345	0.00	0.00	0.00	
0.01074219	122.96486091	-42.64050698	63.41765434	144.77696203	0.00	0.00	0.00	
0.01098633	124.50219619	-41.10421201	61.71944100	144.91253396	0.00	0.00	0.00	
0.01123047	125.52708638	-39.24785559	60.02122767	144.56829305	0.00	0.00	0.00	
0.01147461	126.18594436	-37.13545001	59.17212100	144.23340149	0.00	0.00	0.00	
0.01171875	126.69838946	-35.21508130	59.17212100	144.20098386	0.00	0.00	0.00	
0.01196289	126.99121523	-33.23070029	59.10136211	143.95839395	0.00	0.00	0.00	
0.01220703	126.69838946	-31.63039304	58.11073766	142.93292653	0.00	0.00	0.00	
0.01245117	125.74670571	-29.83804891	56.34176543	140.98559392	0.00	0.00	0.00	
0.01269531	124.50219619	-28.30175394	55.20962321	139.10387711	0.00	0.00	0.00	
0.01293945	122.89165447	-26.89348355	55.13886432	137.35324005	0.00	0.00	0.00	
0.01318359	121.06149341	-25.93329919	56.05872988	135.90806595	0.00	0.00	0.00	
0.01342773	119.01171303	-25.16515171	57.26163099	134.44689317	0.00	0.00	0.00	
0.01367188	116.52269400	-24.58904110	57.54466655	132.26317631	0.00	0.00	0.00	
0.01391602	113.66764275	-24.07694277	56.97859544	129.40862614	0.00	0.00	0.00	
0.01416016	110.73938507	-23.69286903	56.97859544	126.77193611	0.00	0.00	0.00	
0.01440430	107.81112738	-23.69286903	58.11073766	124.74553724	0.00	0.00	0.00	
0.01464844	105.10248902	-23.88490590	59.87970989	123.29883043	0.00	0.00	0.00	
0.01489258	102.46705710	-24.71706568	61.64868212	122.11056929	0.00	0.00	0.00	
0.01513672	99.53879941	-25.74126232	62.42702990	120.28183253	0.00	0.00	0.00	
0.01538086	96.68374817	-26.89348355	62.71006545	118.33663392	0.00	0.00	0.00	
0.01562500	94.04831625	-28.10971707	63.84220768	117.09427597	0.00	0.00	0.00	
0.01586914	91.63250366	-29.58199974	65.75269768	116.59771734	0.00	0.00	0.00	
0.01611328	89.50951684	-31.37434387	67.52166991	116.42799906	0.00	0.00	0.00	
0.01635742	87.60614934	-33.16668800	68.51229436	116.05516392	0.00	0.00	0.00	
0.01660156	85.99560761	-34.95903213	68.22925880	115.20681496	0.00	0.00	0.00	
0.01684570	84.53147877	-36.75137626	68.30001769	114.72195508	0.00	0.00	0.00	
0.01708984	83.36017570	-38.54372039	69.00760658	114.87639897	0.00	0.00	0.00	
0.01733398	82.77452416	-40.59211369	70.35202547	115.96874161	0.00	0.00	0.00	
0.01757813	82.70131772	-42.70451927	71.97947992	117.66150368	0.00	0.00	0.00	
0.01782227	82.99414348	-44.88093714	72.61630992	119.06071912	0.00	0.00	0.00	
0.01806641	83.36017570	-46.92933043	72.33327437	119.93074471	0.00	0.00	0.00	
0.01831055	84.31185944	-48.52963769	72.12099770	121.09935461	0.00	0.00	0.00	
