Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-35.6201	-39.5831	75.0029	91.9840
1	0.0054	0.0572	0.0213	0.0613
2	0.0359	0.0436	0.0574	0.0805
3	0.0372	0.0107	0.0379	0.0542
4	0.0156	0.0193	0.0200	0.0319
5	0.0226	0.0062	0.0091	0.0251
6	0.0203	0.0148	0.0095	0.0268
7	0.0042	0.0070	0.0090	0.0122
8	0.0121	0.0233	0.0160	0.0308
9	0.0118	0.0181	0.0161	0.0270
10	0.0078	0.0062	0.0145	0.0176
11	0.0056	0.0020	0.0108	0.0123
12	0.0129	0.0051	0.0143	0.0199
13	0.0013	0.0065	0.0166	0.0179
14	0.0044	0.0067	0.0136	0.0158
15	0.0024	0.0047	0.0228	0.0234
16	0.0059	0.0068	0.0128	0.0156
17	0.0095	0.0125	0.0150	0.0218
18	0.0033	0.0065	0.0172	0.0187
19	0.0044	0.0054	0.0187	0.0199
20	0.0048	0.0066	0.0178	0.0195
21	0.0069	0.0054	0.0160	0.0182
22	0.0055	0.0028	0.0188	0.0198
23	0.0025	0.0005	0.0187	0.0189
24	0.0055	0.0031	0.0128	0.0143
25	0.0068	0.0055	0.0173	0.0193
26	0.0020	0.0018	0.0146	0.0149
27	0.0030	0.0047	0.0210	0.0217
28	0.0033	0.0075	0.0207	0.0223
29	0.0010	0.0084	0.0221	0.0237
30	0.0057	0.0041	0.0147	0.0163
31	0.0026	0.0055	0.0253	0.0260
32	0.0021	0.0051	0.0246	0.0252
33	0.0064	0.0080	0.0277	0.0295
34	0.0090	0.0057	0.0237	0.0260
35	0.0042	0.0087	0.0274	0.0291
36	0.0034	0.0100	0.0301	0.0319
37	0.0074	0.0081	0.0302	0.0321
38	0.0067	0.0125	0.0348	0.0376
39	0.0060	0.0096	0.0358	0.0376
40	0.0092	0.0093	0.0409	0.0429
41	0.0091	0.0118	0.0406	0.0433
42	0.0097	0.0119	0.0489	0.0512
43	0.0109	0.0132	0.0543	0.0569
44	0.0155	0.0160	0.0647	0.0685
45	0.0155	0.0166	0.0724	0.0758
46	0.0195	0.0234	0.0955	0.1002
47	0.0225	0.0293	0.1257	0.1310
48	0.0398	0.0466	0.1876	0.1973
49	0.0775	0.0958	0.3734	0.3932
50	2.9814	3.7134	15.4229	16.1414
51	0.0809	0.1024	0.3910	0.4122
52	0.0366	0.0508	0.1938	0.2036
53	0.0247	0.0314	0.1288	0.1349
54	0.0211	0.0253	0.0906	0.0964
55	0.0116	0.0198	0.0736	0.0771
56	0.0142	0.0189	0.0619	0.0663
57	0.0142	0.0140	0.0539	0.0575
58	0.0097	0.0145	0.0457	0.0489
59	0.0105	0.0118	0.0425	0.0454
60	0.0063	0.0105	0.0348	0.0369
61	0.0062	0.0102	0.0335	0.0356
62	0.0084	0.0086	0.0284	0.0309
63	0.0062	0.0085	0.0300	0.0318
64	0.0073	0.0088	0.0260	0.0284
65	0.0049	0.0080	0.0231	0.0249
66	0.0071	0.0070	0.0231	0.0251
67	0.0049	0.0061	0.0205	0.0219
68	0.0068	0.0067	0.0212	0.0232
69	0.0010	0.0055	0.0148	0.0158
70	0.0035	0.0074	0.0151	0.0172
71	0.0057	0.0044	0.0198	0.0211
72	0.0042	0.0041	0.0182	0.0191
73	0.0041	0.0061	0.0170	0.0185
74	0.0034	0.0049	0.0175	0.0185
75	0.0026	0.0059	0.0158	0.0170
76	0.0010	0.0044	0.0135	0.0143
77	0.0029	0.0057	0.0166	0.0178
78	0.0023	0.0030	0.0111	0.0117
79	0.0063	0.0051	0.0142	0.0163
80	0.0038	0.0059	0.0098	0.0121
81	0.0013	0.0037	0.0133	0.0139
82	0.0031	0.0034	0.0089	0.0100
83	0.0048	0.0017	0.0119	0.0129
84	0.0042	0.0023	0.0094	0.0105
85	0.0019	0.0037	0.0089	0.0098
86	0.0012	0.0040	0.0086	0.0095
87	0.0002	0.0019	0.0121	0.0123
88	0.0005	0.0038	0.0088	0.0096
89	0.0021	0.0015	0.0109	0.0112
90	0.0029	0.0034	0.0075	0.0087
91	0.0021	0.0035	0.0103	0.0111
92	0.0035	0.0041	0.0088	0.0103
93	0.0026	0.0018	0.0066	0.0073
94	0.0026	0.0042	0.0078	0.0093
95	0.0020	0.0019	0.0059	0.0065
96	0.0011	0.0003	0.0047	0.0048
97	0.0024	0.0014	0.0047	0.0055
98	0.0020	0.0023	0.0052	0.0061
99	0.0058	0.0056	0.0062	0.0101
100	0.0352	0.0443	0.0278	0.0631
101	0.0022	0.0015	0.0084	0.0088
102	0.0029	0.0026	0.0072	0.0082
103	0.0046	0.0035	0.0069	0.0089
104	0.0021	0.0019	0.0067	0.0072
105	0.0025	0.0026	0.0065	0.0074
106	0.0009	0.0010	0.0066	0.0068
107	0.0020	0.0043	0.0068	0.0083
108	0.0027	0.0035	0.0055	0.0071
109	0.0026	0.0006	0.0070	0.0075
110	0.0017	0.0029	0.0052	0.0061
111	0.0005	0.0020	0.0040	0.0045
112	0.0007	0.0019	0.0069	0.0072
113	0.0024	0.0014	0.0055	0.0062
114	0.0019	0.0015	0.0080	0.0083
115	0.0037	0.0025	0.0064	0.0078
116	0.0034	0.0013	0.0063	0.0073
117	0.0028	0.0026	0.0046	0.0060
118	0.0012	0.0010	0.0049	0.0052
119	0.0023	0.0024	0.0057	0.0066
120	0.0022	0.0020	0.0040	0.0050
121	0.0022	0.0007	0.0051	0.0056
122	0.0012	0.0004	0.0060	0.0061
123	0.0003	0.0022	0.0033	0.0040
124	0.0025	0.0025	0.0072	0.0080
125	0.0009	0.0019	0.0053	0.0057
126	0.0020	0.0019	0.0051	0.0058
127	0.0003	0.0011	0.0039	0.0040
128	0.0006	0.0010	0.0033	0.0036
129	0.0024	0.0004	0.0054	0.0059
130	0.0047	0.0056	0.0061	0.0095
131	0.0016	0.0013	0.0038	0.0043
132	0.0030	0.0007	0.0046	0.0056
133	0.0024	0.0037	0.0061	0.0075
134	0.0038	0.0015	0.0039	0.0056
135	0.0010	0.0017	0.0046	0.0050
136	0.0029	0.0015	0.0064	0.0072
137	0.0013	0.0011	0.0059	0.0062
138	0.0018	0.0003	0.0045	0.0049
139	0.0012	0.0023	0.0042	0.0049
140	0.0017	0.0031	0.0064	0.0073
141	0.0023	0.0030	0.0036	0.0052
142	0.0040	0.0037	0.0049	0.0073
143	0.0038	0.0038	0.0047	0.0071
144	0.0046	0.0053	0.0049	0.0086
145	0.0078	0.0058	0.0057	0.0112
146	0.0046	0.0052	0.0050	0.0086
147	0.0081	0.0108	0.0044	0.0142
148	0.0127	0.0140	0.0061	0.0199
149	0.0241	0.0321	0.0083	0.0410
150	0.3711	0.4731	0.0868	0.6075
151	0.0311	0.0394	0.0026	0.0502
152	0.0181	0.0185	0.0032	0.0261
153	0.0096	0.0135	0.0007	0.0166
154	0.0051	0.0098	0.0017	0.0111
155	0.0073	0.0086	0.0037	0.0119
156	0.0080	0.0086	0.0032	0.0122
157	0.0068	0.0068	0.0043	0.0106
158	0.0057	0.0080	0.0053	0.0112
159	0.0057	0.0057	0.0041	0.0090
160	0.0051	0.0069	0.0008	0.0086
161	0.0009	0.0044	0.0018	0.0049
162	0.0036	0.0048	0.0031	0.0067
163	0.0035	0.0026	0.0026	0.0051
164	0.0033	0.0038	0.0026	0.0057
165	0.0027	0.0052	0.0034	0.0068
166	0.0024	0.0024	0.0024	0.0042
167	0.0026	0.0013	0.0031	0.0042
168	0.0027	0.0031	0.0014	0.0044
169	0.0024	0.0045	0.0019	0.0054
170	0.0048	0.0075	0.0036	0.0095
171	0.0006	0.0029	0.0021	0.0036
172	0.0029	0.0020	0.0068	0.0076
173	0.0041	0.0028	0.0025	0.0056
174	0.0008	0.0017	0.0026	0.0033
175	0.0038	0.0019	0.0025	0.0049
176	0.0043	0.0038	0.0034	0.0066
177	0.0019	0.0025	0.0044	0.0054
178	0.0022	0.0018	0.0020	0.0035
179	0.0024	0.0034	0.0029	0.0051
180	0.0036	0.0036	0.0046	0.0069
181	0.0043	0.0030	0.0026	0.0059
182	0.0020	0.0024	0.0023	0.0039
183	0.0024	0.0037	0.0053	0.0069
184	0.0037	0.0044	0.0035	0.0068
185	0.0024	0.0020	0.0029	0.0043
186	0.0037	0.0036	0.0040	0.0065
187	0.0024	0.0027	0.0017	0.0040
188	0.0035	0.0042	0.0014	0.0056
189	0.0045	0.0034	0.0036	0.0067
190	0.0019	0.0036	0.0039	0.0056
191	0.0024	0.0037	0.0020	0.0049
192	0.0037	0.0024	0.0020	0.0048
193	0.0011	0.0031	0.0016	0.0036
194	0.0032	0.0045	0.0019	0.0058
195	0.0018	0.0036	0.0055	0.0068
196	0.0049	0.0031	0.0032	0.0066
197	0.0025	0.0024	0.0030	0.0045
198	0.0008	0.0030	0.0034	0.0047
199	0.0063	0.0061	0.0030	0.0093
200	0.0082	0.0132	0.0037	0.0160
201	0.0040	0.0011	0.0051	0.0066
202	0.0018	0.0018	0.0034	0.0042
203	0.0024	0.0012	0.0023	0.0035
204	0.0024	0.0014	0.0049	0.0057
205	0.0032	0.0012	0.0042	0.0054
206	0.0026	0.0030	0.0039	0.0056
207	0.0012	0.0014	0.0038	0.0043
208	0.0017	0.0029	0.0027	0.0043
209	0.0027	0.0030	0.0027	0.0048
210	0.0040	0.0037	0.0043	0.0069
211	0.0027	0.0020	0.0029	0.0045
212	0.0022	0.0034	0.0014	0.0043
213	0.0019	0.0033	0.0029	0.0048
214	0.0017	0.0028	0.0031	0.0045
215	0.0026	0.0022	0.0025	0.0042
216	0.0021	0.0021	0.0035	0.0045
217	0.0014	0.0028	0.0026	0.0041
218	0.0012	0.0023	0.0010	0.0028
219	0.0010	0.0017	0.0048	0.0052
220	0.0012	0.0033	0.0018	0.0040
221	0.0010	0.0035	0.0045	0.0058
222	0.0013	0.0028	0.0031	0.0044
223	0.0030	0.0029	0.0047	0.0062
224	0.0030	0.0042	0.0032	0.0061
225	0.0005	0.0061	0.0023	0.0065
226	0.0019	0.0014	0.0054	0.0059
227	0.0027	0.0006	0.0050	0.0057
228	0.0006	0.0032	0.0058	0.0066
229	0.0018	0.0026	0.0038	0.0049
230	0.0025	0.0023	0.0059	0.0068
231	0.0021	0.0043	0.0034	0.0059
232	0.0033	0.0029	0.0023	0.0049
233	0.0018	0.0018	0.0072	0.0076
234	0.0019	0.0013	0.0036	0.0042
235	0.0025	0.0034	0.0046	0.0062
236	0.0026	0.0021	0.0043	0.0055
237	0.0013	0.0020	0.0054	0.0059
238	0.0036	0.0028	0.0057	0.0073
239	0.0037	0.0036	0.0053	0.0074
240	0.0011	0.0044	0.0071	0.0085
241	0.0043	0.0026	0.0053	0.0073
242	0.0024	0.0037	0.0080	0.0091
243	0.0028	0.0024	0.0086	0.0094
244	0.0027	0.0033	0.0079	0.0090
245	0.0022	0.0032	0.0104	0.0111
246	0.0033	0.0032	0.0160	0.0166
247	0.0030	0.0042	0.0215	0.0222
248	0.0079	0.0050	0.0274	0.0290
249	0.0093	0.0097	0.0498	0.0516
250	0.0674	0.0877	0.4788	0.4914
251	0.0091	0.0090	0.0678	0.0690
252	0.0024	0.0021	0.0308	0.0309
253	0.0009	0.0022	0.0169	0.0171
254	0.0012	0.0020	0.0168	0.0169
255	0.0010	0.0004	0.0117	0.0117
256	0.0014	0.0002	0.0108	0.0109
257	0.0003	0.0023	0.0081	0.0085
258	0.0014	0.0030	0.0074	0.0081
259	0.0021	0.0014	0.0069	0.0074
260	0.0015	0.0016	0.0065	0.0069
261	0.0015	0.0014	0.0082	0.0085
262	0.0006	0.0011	0.0054	0.0055
263	0.0033	0.0026	0.0040	0.0057
264	0.0004	0.0011	0.0056	0.0057
265	0.0012	0.0014	0.0041	0.0045
266	0.0007	0.0022	0.0043	0.0048
267	0.0026	0.0013	0.0045	0.0053
268	0.0004	0.0011	0.0023	0.0025
269	0.0014	0.0032	0.0019	0.0040
270	0.0011	0.0005	0.0006	0.0014
271	0.0010	0.0018	0.0021	0.0029
272	0.0035	0.0027	0.0079	0.0091
273	0.0013	0.0019	0.0055	0.0059
274	0.0013	0.0015	0.0033	0.0039
275	0.0019	0.0011	0.0028	0.0035
276	0.0007	0.0014	0.0037	0.0040
277	0.0019	0.0017	0.0033	0.0042
278	0.0012	0.0017	0.0026	0.0033
279	0.0011	0.0002	0.0029	0.0031
280	0.0009	0.0023	0.0028	0.0037
281	0.0003	0.0026	0.0029	0.0039
282	0.0020	0.0008	0.0011	0.0024
283	0.0014	0.0006	0.0018	0.0024
284	0.0004	0.0016	0.0035	0.0039
285	0.0009	0.0016	0.0022	0.0029
286	0.0020	0.0017	0.0035	0.0044
287	0.0004	0.0017	0.0025	0.0030
288	0.0015	0.0024	0.0031	0.0042
289	0.0009	0.0025	0.0020	0.0033
290	0.0031	0.0025	0.0012	0.0041
291	0.0025	0.0022	0.0028	0.0043
292	0.0009	0.0022	0.0039	0.0046
293	0.0029	0.0027	0.0029	0.0049
294	0.0012	0.0027	0.0007	0.0031
295	0.0018	0.0020	0.0034	0.0043
296	0.0021	0.0028	0.0031	0.0047
297	0.0018	0.0008	0.0026	0.0033
298	0.0014	0.0039	0.0028	0.0050
299	0.0013	0.0043	0.0023	0.0050
300	0.0043	0.0053	0.0063	0.0093
301	0.0015	0.0014	0.0045	0.0049
302	0.0017	0.0021	0.0019	0.0033
303	0.0011	0.0026	0.0008	0.0030
304	0.0016	0.0023	0.0024	0.0037
305	0.0029	0.0041	0.0026	0.0057
306	0.0039	0.0032	0.0034	0.0061
307	0.0013	0.0016	0.0033	0.0039
308	0.0022	0.0014	0.0024	0.0035
309	0.0008	0.0017	0.0030	0.0035
310	0.0028	0.0037	0.0037	0.0060
311	0.0023	0.0017	0.0026	0.0039
312	0.0016	0.0015	0.0024	0.0032
313	0.0018	0.0022	0.0048	0.0056
314	0.0037	0.0016	0.0033	0.0052
315	0.0018	0.0019	0.0021	0.0033
316	0.0018	0.0005	0.0029	0.0034
317	0.0011	0.0023	0.0033	0.0042
318	0.0028	0.0034	0.0038	0.0058
319	0.0015	0.0018	0.0022	0.0032
320	0.0019	0.0030	0.0017	0.0039
321	0.0030	0.0051	0.0028	0.0065
322	0.0012	0.0021	0.0034	0.0041
323	0.0012	0.0020	0.0004	0.0023
324	0.0017	0.0037	0.0038	0.0055
325	0.0033	0.0018	0.0033	0.0050
326	0.0011	0.0023	0.0035	0.0044
327	0.0021	0.0014	0.0063	0.0067
328	0.0014	0.0021	0.0039	0.0047
329	0.0026	0.0034	0.0015	0.0046
330	0.0021	0.0023	0.0073	0.0079
331	0.0029	0.0029	0.0025	0.0048
332	0.0021	0.0023	0.0038	0.0049
333	0.0043	0.0041	0.0066	0.0089
334	0.0026	0.0045	0.0030	0.0060
335	0.0031	0.0024	0.0035	0.0053
336	0.0032	0.0019	0.0048	0.0061
337	0.0027	0.0046	0.0053	0.0076
338	0.0043	0.0028	0.0078	0.0093
