Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-33.77013177	-37.13545001	57.82770211	76.57353706	8.30	0.00	0.00	
0.00024414	-33.62371889	-36.75137626	56.34176543	75.20380749	8.30	0.00	0.00	
0.00048828	-33.69692533	-37.00742543	55.35114099	74.62426631	8.30	0.00	0.00	
0.00073242	-34.42898975	-37.90359749	55.06810543	75.19663738	8.30	0.00	0.00	
0.00097656	-35.45387994	-38.99180643	55.35114099	76.42700688	0.00	0.00	0.00	
0.00122070	-36.33235725	-40.20803994	54.71431099	77.00897666	0.00	0.00	0.00	
0.00146484	-36.84480234	-40.97618743	53.65292765	76.91049370	0.00	0.00	0.00	
0.00170898	-37.13762811	-41.16822430	53.44065098	77.00603412	0.00	0.00	0.00	
0.00195313	-37.79648609	-41.93637178	53.93596321	78.07894573	0.00	0.00	0.00	
0.00219727	-37.57686676	-41.74433491	54.07748098	77.96784185	0.00	0.00	0.00	
0.00244141	-36.40556369	-40.59211369	53.79444543	76.59586882	0.00	0.00	0.00	
0.00268555	-35.96632504	-39.95199078	53.72368654	75.99981973	0.00	0.00	0.00	
0.00292969	-36.33235725	-40.33606452	53.79444543	76.42565435	0.00	0.00	0.00	
0.00317383	-37.35724744	-41.55229804	54.07748098	77.75944546	0.00	0.00	0.00	
0.00341797	-38.52855051	-42.89655614	54.43127543	79.29266976	0.00	0.00	0.00	
0.00366211	-38.96778917	-43.53667904	54.71431099	80.04740371	0.00	0.00	0.00	
0.00390625	-38.96778917	-43.60069133	55.28038210	80.47005357	0.00	0.00	0.00	
0.00415039	-38.52855051	-43.08859301	55.98797099	80.47191403	0.00	0.00	0.00	
0.00439453	-38.08931186	-42.64050698	56.83707766	80.61924032	0.00	0.00	0.00	
0.00463867	-38.30893119	-42.83254385	58.53529100	82.02793008	0.00	0.00	0.00	
0.00488281	-38.52855051	-43.08859301	60.16274544	83.43040208	0.00	0.00	0.00	
0.00512695	-38.52855051	-43.15260530	62.00247656	84.79919604	0.00	0.00	0.00	
0.00537109	-38.60175695	-43.28062988	64.83283212	86.98623273	0.00	0.00	0.00	
0.00561523	-39.62664714	-44.49686340	66.53104546	89.31193664	0.00	0.00	0.00	
0.00585938	-40.57833089	-45.77710920	67.38015213	91.00675561	0.00	0.00	0.00	
0.00610352	-40.87115666	-46.09717066	68.22925880	91.92732100	0.00	0.00	0.00	
0.00634766	-40.72474378	-45.90513379	69.36140103	92.61096056	0.00	0.00	0.00	
0.00659180	-40.13909224	-45.32902317	70.91809659	93.24828948	0.00	0.00	0.00	
0.00683594	-39.62664714	-44.75291256	72.47479215	93.94514273	0.00	0.00	0.00	
0.00708008	-39.55344070	-44.56087569	73.96072882	94.97544799	0.00	0.00	0.00	
0.00732422	-39.62664714	-44.68890027	75.30514771	96.11573359	0.00	0.00	0.00	
0.00756836	-40.13909224	-45.26501088	76.36653105	97.42645944	0.00	0.00	0.00	
0.00781250	-40.50512445	-45.71309691	78.20626216	99.22989357	0.00	0.00	0.00	
0.00805664	-40.57833089	-45.96914608	80.82434106	101.45115789	0.00	0.00	0.00	
0.00830078	-40.28550512	-45.45704775	82.66407217	102.57979305	0.00	0.00	0.00	
0.00854492	-39.62664714	-44.88093714	84.50380329	103.56380861	0.00	0.00	0.00	
0.00878906	-39.04099561	-44.17680195	86.69732885	104.84376948	0.00	0.00	0.00	
0.00903320	-38.08931186	-43.02458072	87.75871219	104.89757761	0.00	0.00	0.00	
0.00927734	-37.28404100	-42.00038407	88.32478330	104.66804345	0.00	0.00	0.00	
0.00952148	-36.99121523	-41.48828575	89.10313108	105.01902602	0.00	0.00	0.00	
0.00976563	-37.13762811	-41.68032262	90.51830886	106.34856348	0.00	0.00	0.00	
0.01000977	-37.50366032	-42.19242094	92.21652220	108.12313300	0.00	0.00	0.00	
0.01025391	-37.72327965	-42.44847011	93.56094109	109.44664517	0.00	0.00	0.00	
0.01049805	-37.28404100	-42.06439636	94.48080665	109.93696367	0.00	0.00	0.00	
0.01074219	-36.55197657	-41.23223659	94.62232443	109.49670591	0.00	0.00	0.00	
0.01098633	-35.67349927	-40.14402765	94.55156554	108.73886174	0.00	0.00	0.00	
0.01123047	-34.94143485	-39.18384330	95.40067221	108.89245016	0.00	0.00	0.00	
0.01147461	-34.35578331	-38.47970810	96.39129666	109.32652859	0.00	0.00	0.00	
0.01171875	-34.06295754	-38.09563436	96.60357332	109.28775235	0.00	0.00	0.00	
0.01196289	-33.47730600	-37.39149917	95.82522554	108.17267713	0.00	0.00	0.00	
0.01220703	-33.77013177	-37.71156062	95.68370777	108.24950594	0.00	0.00	0.00	
0.01245117	-34.79502196	-38.86378185	95.96674332	109.22775708	0.00	0.00	0.00	
0.01269531	-35.23426061	-39.50390475	96.03750221	109.65953421	0.00	0.00	0.00	
0.01293945	-34.72181552	-39.05581872	96.10826110	109.39725454	0.00	0.00	0.00	
0.01318359	-33.77013177	-37.64754833	95.89598443	108.41494143	0.00	0.00	0.00	
0.01342773	-32.81844802	-36.43131481	95.54218999	107.38994970	0.00	0.00	0.00	
0.01367188	-32.37920937	-35.85520420	95.04687776	106.62043819	0.00	0.00	0.00	
0.01391602	-32.37920937	-35.91921649	94.48080665	106.13776961	0.00	0.00	0.00	
0.01416016	-32.89165447	-36.36730252	93.84397665	105.88264060	0.00	0.00	0.00	
0.01440430	-33.18448023	-36.87940084	92.99486998	105.40088130	0.00	0.00	0.00	
0.01464844	-32.96486091	-36.62335168	91.36741553	103.80730497	0.00	0.00	0.00	
0.01489258	-32.81844802	-36.36730252	89.66920219	102.17728243	0.00	0.00	0.00	
0.01513672	-32.89165447	-36.30329023	87.61719441	100.38208292	0.00	0.00	0.00	
0.01538086	-32.67203514	-36.04724107	84.99911551	97.93730192	0.00	0.00	0.00	
0.01562500	-31.72035139	-34.83100755	83.44241995	95.82284293	0.00	0.00	0.00	
0.01586914	-30.62225476	-33.67878633	82.52255440	94.24412512	0.00	0.00	0.00	
0.01611328	-30.62225476	-33.48674946	81.46117106	93.24702283	0.00	0.00	0.00	
0.01635742	-30.76866764	-33.67878633	80.32902883	92.37815992	0.00	0.00	0.00	
0.01660156	-31.20790630	-34.25489694	78.91385105	91.51353598	0.00	0.00	0.00	
0.01684570	-31.64714495	-34.89501984	77.56943216	90.75362802	0.00	0.00	0.00	
0.01708984	-31.79355783	-35.02304442	76.08349549	89.58873951	0.00	0.00	0.00	
0.01733398	-31.57393851	-34.76699526	74.45604104	88.03044700	0.00	0.00	0.00	
0.01757813	-31.28111274	-34.25489694	73.39465770	86.82558239	0.00	0.00	0.00	
0.01782227	-30.98828697	-33.80681091	71.55492659	84.98989300	0.00	0.00	0.00	
0.01806641	-30.84187408	-33.67878633	69.07836547	82.80883058	0.00	0.00	0.00	
0.01831055	-31.20790630	-34.06286007	67.02635769	81.40481851	0.00	0.00	0.00	
0.01855469	-31.64714495	-34.70298297	65.04510879	80.22907820	0.00	0.00	0.00	
0.01879883	-32.30600293	-35.40711817	62.92234212	79.09843854	0.00	0.00	0.00	
0.01904297	-33.25768668	-36.49532710	62.14399434	79.37164894	0.00	0.00	0.00	
0.01928711	-33.98975110	-37.45551146	61.64868212	79.74194959	0.00	0.00	0.00	
0.01953125	-34.20937042	-37.77557291	60.65805767	79.22546872	0.00	0.00	0.00	
0.01977539	-33.98975110	-37.58353604	59.31363878	78.01239072	0.00	0.00	0.00	
0.02001953	-33.55051245	-37.07143772	57.61542544	76.28542212	0.00	0.00	0.00	
0.02026367	-33.33089312	-36.81538855	56.20024766	74.99859403	0.00	0.00	0.00	
0.02050781	-33.77013177	-37.13545001	55.35114099	74.72089571	0.00	0.00	0.00	
0.02075195	-34.50219619	-38.09563436	55.20962321	75.43063963	0.00	0.00	0.00	
0.02099609	-35.38067350	-39.24785559	55.20962321	76.42178171	0.00	0.00	0.00	
0.02124023	-36.25915081	-40.27205223	54.36051654	76.75695387	0.00	0.00	0.00	
0.02148438	-36.62518302	-40.78415056	53.44065098	76.55490935	0.00	0.00	0.00	
0.02172852	-37.06442167	-41.36026117	53.58216876	77.17183014	0.00	0.00	0.00	
0.02197266	-37.65007321	-42.12840865	54.14823987	78.25830761	0.00	0.00	0.00	
0.02221680	-37.21083455	-41.61631033	54.07748098	77.72346778	0.00	0.00	0.00	
0.02246094	-36.18594436	-40.33606452	53.72368654	76.30632455	0.00	0.00	0.00	
0.02270508	-35.81991215	-39.88797849	53.79444543	75.94708219	0.00	0.00	0.00	
0.02294922	-36.33235725	-40.40007681	53.86520432	76.50925843	0.00	0.00	0.00	
0.02319336	-37.50366032	-41.80834720	54.14823987	78.01598756	0.00	0.00	0.00	
0.02343750	-38.52855051	-42.96056843	54.43127543	79.32731805	0.00	0.00	0.00	
0.02368164	-38.74816984	-43.53667904	54.78506987	79.98916782	0.00	0.00	0.00	
0.02392578	-38.82137628	-43.53667904	55.49265877	80.51072509	0.00	0.00	0.00	
0.02416992	-38.30893119	-43.02458072	56.05872988	80.38202504	0.00	0.00	0.00	
0.02441406	-38.08931186	-42.70451927	57.04935433	80.80284941	0.00	0.00	0.00	
0.02465820	-38.30893119	-42.96056843	58.60604989	82.14532081	0.00	0.00	0.00	
0.02490234	-38.38213763	-43.15260530	60.30426322	83.49814367	0.00	0.00	0.00	
0.02514648	-38.45534407	-43.21661759	62.42702990	85.10948000	0.00	0.00	0.00	
0.02539063	-38.60175695	-43.53667904	65.11586768	87.32476330	0.00	0.00	0.00	
0.02563477	-39.84626647	-44.88093714	66.67256324	89.70648895	0.00	0.00	0.00	
0.02587891	-40.65153734	-45.84112150	67.38015213	91.07162461	0.00	0.00	0.00	
0.02612305	-40.72474378	-46.22519524	68.30001769	91.97915985	0.00	0.00	0.00	
0.02636719	-40.57833089	-45.90513379	69.64443658	92.75898767	0.00	0.00	0.00	
0.02661133	-40.06588580	-45.20099859	71.05961436	93.26239474	0.00	0.00	0.00	
0.02685547	-39.62664714	-44.68890027	72.47479215	93.91466588	0.00	0.00	0.00	
0.02709961	-39.69985359	-44.62488798	73.88996993	95.01150803	0.00	0.00	0.00	
0.02734375	-39.84626647	-44.88093714	75.51742438	96.46193474	0.00	0.00	0.00	
0.02758789	-40.13909224	-45.39303546	76.72032549	97.76340183	0.00	0.00	0.00	
