Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	41.92532943	-24.58904110	-17.17672033	51.54991669	13.64	0.00	0.00	
0.00024414	40.97364568	-25.86928690	-15.97381921	51.02178501	13.64	0.00	0.00	
0.00048828	40.75402635	-26.18934835	-15.83230143	50.96503115	13.64	0.00	0.00	
0.00073242	41.41288433	-25.29317629	-17.17672033	51.47631957	13.64	0.00	0.00	
0.00097656	42.51098097	-23.43681987	-19.65328144	52.37097956	0.00	0.00	0.00	
0.00122070	43.46266471	-22.09256177	-21.42225367	53.25408399	0.00	0.00	0.00	
0.00146484	43.68228404	-21.58046345	-22.34211923	53.60064023	0.00	0.00	0.00	
0.00170898	43.31625183	-21.83651261	-22.83743145	53.61603520	0.00	0.00	0.00	
0.00195313	42.51098097	-22.73268468	-22.69591367	53.28285796	0.00	0.00	0.00	
0.00219727	41.85212299	-23.30879529	-23.40350257	53.31626458	0.00	0.00	0.00	
0.00244141	41.55929722	-23.30879529	-25.45551035	54.02275567	0.00	0.00	0.00	
0.00268555	41.19326501	-23.56484445	-26.72917035	54.46682957	0.00	0.00	0.00	
0.00292969	40.31478770	-24.33299193	-28.07358924	54.82246818	0.00	0.00	0.00	
0.00317383	39.58272328	-24.84509026	-30.26711481	55.67915886	0.00	0.00	0.00	
0.00341797	40.46120059	-23.56484445	-32.95595259	57.25823485	0.00	0.00	0.00	
0.00366211	41.04685212	-22.54064780	-34.65416593	58.25663987	0.00	0.00	0.00	
0.00390625	40.82723280	-22.66867239	-35.50327260	58.66186164	0.00	0.00	0.00	
0.00415039	40.09516837	-23.43681987	-35.99858482	58.76057489	0.00	0.00	0.00	
0.00439453	38.85065886	-24.84509026	-36.14010260	58.58975354	0.00	0.00	0.00	
0.00463867	37.75256223	-25.93329919	-36.63541482	58.65104927	0.00	0.00	0.00	
0.00488281	37.16691069	-26.63743439	-37.41376260	59.08233063	0.00	0.00	0.00	
0.00512695	36.94729136	-26.70144668	-38.47514594	59.65238008	0.00	0.00	0.00	
0.00537109	37.16691069	-26.44539752	-39.60728817	60.41088955	0.00	0.00	0.00	
0.00561523	36.50805271	-26.82947126	-41.16398373	61.21382194	0.00	0.00	0.00	
0.00585938	35.48316252	-27.98169248	-42.29612595	61.89500955	0.00	0.00	0.00	
0.00610352	34.31185944	-29.38996287	-42.29612595	61.88728372	0.00	0.00	0.00	
0.00634766	32.92093704	-31.11829471	-42.36688484	62.02490865	0.00	0.00	0.00	
0.00659180	31.53001464	-33.10267571	-42.08384928	62.13677923	0.00	0.00	0.00	
0.00683594	30.21229868	-34.89501984	-40.95170706	61.70484351	0.00	0.00	0.00	
0.00708008	29.18740849	-36.17526565	-40.24411817	61.48287328	0.00	0.00	0.00	
0.00732422	28.67496340	-36.81538855	-40.31487706	61.66778472	0.00	0.00	0.00	
0.00756836	28.30893119	-37.13545001	-41.09322484	62.20201250	0.00	0.00	0.00	
0.00781250	28.08931186	-37.19946230	-42.36688484	62.99017675	0.00	0.00	0.00	
0.00805664	27.57686676	-37.71156062	-42.93295595	63.44985494	0.00	0.00	0.00	
0.00830078	26.84480234	-38.79976956	-42.22536706	63.31703684	0.00	0.00	0.00	
0.00854492	25.96632504	-40.20803994	-40.88094817	62.94591675	0.00	0.00	0.00	
0.00878906	24.86822840	-41.68032262	-39.18273483	62.37759844	0.00	0.00	0.00	
0.00903320	23.62371889	-43.47266675	-38.12135149	62.45950919	0.00	0.00	0.00	
0.00927734	22.81844802	-44.62488798	-37.48452149	62.58715163	0.00	0.00	0.00	
0.00952148	22.59882870	-45.20099859	-36.35237927	62.25217113	0.00	0.00	0.00	
0.00976563	22.23279649	-46.09717066	-34.37113037	61.64917668	0.00	0.00	0.00	
0.01000977	22.81844802	-45.39303546	-34.72492482	61.53884661	0.00	0.00	0.00	
0.01025391	23.69692533	-44.17680195	-36.06934371	61.75865653	0.00	0.00	0.00	
0.01049805	23.91654466	-44.04877737	-36.06934371	61.75187002	0.00	0.00	0.00	
0.01074219	23.18448023	-45.07297401	-34.65416593	61.40036096	0.00	0.00	0.00	
0.01098633	22.08638360	-46.73729356	-32.46064037	61.03995514	0.00	0.00	0.00	
0.01123047	21.28111274	-48.08155166	-30.62090925	60.84703323	0.00	0.00	0.00	
0.01147461	21.06149341	-48.59364998	-29.63028480	60.68676215	0.00	0.00	0.00	
0.01171875	21.50073206	-48.14556395	-29.34724925	60.34515594	0.00	0.00	0.00	
0.01196289	22.30600293	-47.24939188	-29.48876703	59.99708477	0.00	0.00	0.00	
0.01220703	22.89165447	-46.67328127	-28.71041925	59.38611961	0.00	0.00	0.00	
0.01245117	23.18448023	-46.67328127	-26.72917035	58.56930814	0.00	0.00	0.00	
0.01269531	23.69692533	-46.41723211	-25.31399257	57.93877740	0.00	0.00	0.00	
0.01293945	24.64860908	-45.52106004	-23.96957368	57.04613308	0.00	0.00	0.00	
0.01318359	25.01464129	-45.20099859	-21.70528923	56.03554348	0.00	0.00	0.00	
0.01342773	24.13616398	-46.60926898	-19.22872811	55.89921602	0.00	0.00	0.00	
0.01367188	23.69692533	-47.44142875	-17.53051477	55.85295319	0.00	0.00	0.00	
0.01391602	24.13616398	-47.18537959	-16.68140810	55.56333175	0.00	0.00	0.00	
0.01416016	24.79502196	-46.35321982	-16.32761366	55.04548182	0.00	0.00	0.00	
0.01440430	26.03953148	-44.88093714	-16.04457810	54.31191586	0.00	0.00	0.00	
0.01464844	26.99121523	-43.79272820	-15.69078365	53.78224089	0.00	0.00	0.00	
0.01489258	27.57686676	-43.21661759	-14.70015921	53.33155067	0.00	0.00	0.00	
0.01513672	27.79648609	-43.02458072	-13.56801698	52.98915238	0.00	0.00	0.00	
0.01538086	27.72327965	-43.40865446	-12.43587476	52.98624819	0.00	0.00	0.00	
0.01562500	28.30893119	-42.96056843	-10.94993809	52.60139892	0.00	0.00	0.00	
0.01586914	29.33382138	-41.87235949	-9.95931364	52.08603934	0.00	0.00	0.00	
0.01611328	30.43191801	-40.52810140	-9.95931364	51.65091059	0.00	0.00	0.00	
0.01635742	31.82284041	-38.86378185	-9.81779586	51.18081503	0.00	0.00	0.00	
0.01660156	33.28696925	-36.94341314	-10.10083142	50.74312654	0.00	0.00	0.00	
0.01684570	34.53147877	-35.08705671	-11.23297364	50.49459646	0.00	0.00	0.00	
0.01708984	35.48316252	-33.87082320	-11.94056253	50.48628051	0.00	0.00	0.00	
