Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	116.6967	-31.6277	45.1505	129.0620
1	0.0273	0.0335	0.0151	0.0458
2	0.0190	0.0222	0.0223	0.0367
3	0.0136	0.0033	0.0210	0.0252
4	0.0100	0.0060	0.0135	0.0178
5	0.0108	0.0113	0.0095	0.0183
6	0.0063	0.0036	0.0058	0.0093
7	0.0096	0.0046	0.0078	0.0132
8	0.0058	0.0037	0.0143	0.0159
9	0.0057	0.0038	0.0054	0.0088
10	0.0070	0.0042	0.0096	0.0126
11	0.0070	0.0071	0.0104	0.0144
12	0.0046	0.0029	0.0091	0.0106
13	0.0068	0.0138	0.0080	0.0174
14	0.0102	0.0042	0.0155	0.0190
15	0.0128	0.0112	0.0059	0.0180
16	0.0281	0.0317	0.0208	0.0472
17	0.0624	0.0695	0.0459	0.1041
18	0.0195	0.0180	0.0124	0.0293
19	0.0091	0.0074	0.0065	0.0134
20	0.0113	0.0059	0.0083	0.0152
21	0.0091	0.0046	0.0031	0.0107
22	0.0037	0.0059	0.0039	0.0080
23	0.0030	0.0048	0.0066	0.0087
24	0.0054	0.0041	0.0042	0.0080
25	0.0050	0.0009	0.0029	0.0058
26	0.0068	0.0017	0.0058	0.0091
27	0.0033	0.0057	0.0012	0.0067
28	0.0022	0.0042	0.0037	0.0060
29	0.0028	0.0036	0.0021	0.0051
30	0.0008	0.0071	0.0038	0.0081
31	0.0035	0.0023	0.0033	0.0054
32	0.0023	0.0027	0.0027	0.0045
33	0.0011	0.0017	0.0045	0.0050
34	0.0017	0.0020	0.0034	0.0043
35	0.0047	0.0017	0.0043	0.0066
36	0.0030	0.0016	0.0024	0.0042
37	0.0025	0.0035	0.0046	0.0063
38	0.0058	0.0012	0.0032	0.0067
39	0.0008	0.0021	0.0031	0.0038
40	0.0027	0.0041	0.0042	0.0064
41	0.0040	0.0036	0.0042	0.0068
42	0.0006	0.0036	0.0022	0.0042
43	0.0011	0.0044	0.0008	0.0046
