Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-29.9087	-43.3269	-104.2349	116.7762
1	0.0281	0.0227	0.0244	0.0436
2	0.0114	0.0065	0.0380	0.0402
3	0.0282	0.0084	0.0215	0.0364
4	0.0101	0.0040	0.0065	0.0127
5	0.0048	0.0073	0.0094	0.0128
6	0.0059	0.0101	0.0047	0.0126
7	0.0157	0.0077	0.0042	0.0180
8	0.0062	0.0022	0.0247	0.0256
9	0.0073	0.0051	0.0155	0.0179
10	0.0056	0.0029	0.0043	0.0076
11	0.0160	0.0014	0.0073	0.0176
12	0.0121	0.0034	0.0066	0.0142
13	0.0043	0.0039	0.0050	0.0076
14	0.0028	0.0087	0.0042	0.0101
15	0.0086	0.0147	0.0133	0.0216
16	0.0333	0.0365	0.0143	0.0514
17	0.0385	0.0717	0.0218	0.0843
18	0.0175	0.0172	0.0127	0.0276
19	0.0034	0.0074	0.0072	0.0108
20	0.0111	0.0082	0.0029	0.0141
21	0.0058	0.0067	0.0083	0.0122
22	0.0037	0.0059	0.0074	0.0102
23	0.0087	0.0070	0.0100	0.0150
24	0.0178	0.0042	0.0110	0.0213
25	0.0346	0.0071	0.0278	0.0450
26	0.0086	0.0007	0.0040	0.0096
27	0.0044	0.0033	0.0080	0.0097
28	0.0063	0.0042	0.0050	0.0091
29	0.0069	0.0038	0.0031	0.0084
30	0.0023	0.0033	0.0107	0.0115
31	0.0113	0.0043	0.0108	0.0162
32	0.0063	0.0029	0.0229	0.0240
33	0.0169	0.0064	0.0598	0.0625
34	0.0150	0.0102	0.0599	0.0626
35	0.0051	0.0034	0.0235	0.0243
36	0.0071	0.0043	0.0137	0.0160
37	0.0185	0.0027	0.0168	0.0252
38	0.0105	0.0079	0.0131	0.0186
39	0.0157	0.0038	0.0106	0.0194
40	0.0037	0.0039	0.0048	0.0071
41	0.0052	0.0063	0.0038	0.0090
42	0.0018	0.0045	0.0268	0.0272
43	0.0055	0.0059	0.0037	0.0089
44	0.0040	0.0018	0.0073	0.0085
45	0.0054	0.0004	0.0032	0.0062
46	0.0071	0.0055	0.0059	0.0107
47	0.0062	0.0023	0.0012	0.0067
48	0.0026	0.0019	0.0036	0.0048
49	0.0037	0.0054	0.0057	0.0087
50	0.2449	0.6065	0.3062	0.7222
51	0.0017	0.0064	0.0084	0.0107
52	0.0017	0.0022	0.0021	0.0035
53	0.0053	0.0031	0.0026	0.0067
54	0.0047	0.0027	0.0095	0.0110
55	0.0104	0.0043	0.0037	0.0118
56	0.0054	0.0010	0.0018	0.0057
57	0.0027	0.0012	0.0060	0.0067
58	0.0045	0.0024	0.0069	0.0085
59	0.0035	0.0036	0.0117	0.0127
60	0.0034	0.0009	0.0045	0.0057
61	0.0018	0.0017	0.0040	0.0047
62	0.0112	0.0038	0.0119	0.0168
63	0.0019	0.0012	0.0026	0.0034
64	0.0015	0.0014	0.0012	0.0024
65	0.0017	0.0025	0.0022	0.0037
66	0.0028	0.0018	0.0038	0.0050
67	0.0107	0.0089	0.0403	0.0426
68	0.0052	0.0013	0.0047	0.0071
69	0.0028	0.0008	0.0027	0.0039
70	0.0010	0.0040	0.0059	0.0072
71	0.0051	0.0009	0.0025	0.0057
72	0.0023	0.0021	0.0025	0.0040
73	0.0011	0.0019	0.0031	0.0039
74	0.0053	0.0022	0.0025	0.0062
75	0.0046	0.0017	0.0113	0.0123
76	0.0042	0.0028	0.0027	0.0057
