Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	11.83748170	202.33452823	-63.94834601	212.52947618	122.22	0.00	0.00	
0.00024414	12.64275256	202.14249136	-61.11799045	211.55811202	122.22	0.00	0.00	
0.00048828	14.03367496	201.88644220	-56.66018044	210.15578893	122.22	0.00	0.00	
0.00073242	15.05856515	201.69440533	-54.32513710	209.42448292	122.22	0.00	0.00	
0.00097656	15.13177160	201.50236845	-54.82044932	209.37396368	0.00	0.00	0.00	
0.00122070	14.76573939	201.24631929	-58.14611711	209.99780719	0.00	0.00	0.00	
0.00146484	13.96046852	200.99027013	-62.88696267	211.06101829	0.00	0.00	0.00	
0.00170898	13.52122987	200.47817181	-67.69856713	212.03164156	0.00	0.00	0.00	
0.00195313	13.52122987	199.83804891	-71.94410048	212.82392497	0.00	0.00	0.00	
0.00219727	13.66764275	199.26193829	-75.41128604	213.49235718	0.00	0.00	0.00	
0.00244141	13.59443631	198.49379081	-81.49655050	215.00298005	0.00	0.00	0.00	
0.00268555	14.18008785	197.72564332	-84.32690607	215.42407481	0.00	0.00	0.00	
0.00292969	16.08345534	197.40558187	-79.44454272	213.39886752	0.00	0.00	0.00	
0.00317383	17.10834553	197.21354500	-77.46329383	212.57102274	0.00	0.00	0.00	
0.00341797	17.10834553	196.89348355	-79.86909606	213.16381460	0.00	0.00	0.00	
0.00366211	16.52269400	196.57342210	-85.45904829	214.98222863	0.00	0.00	0.00	
0.00390625	15.42459736	195.93329919	-92.81797276	217.35443866	0.00	0.00	0.00	
0.00415039	14.83894583	195.48521316	-98.69096055	219.48705787	0.00	0.00	0.00	
0.00439453	14.91215227	194.97311484	-101.23828056	220.19554320	0.00	0.00	0.00	
0.00463867	15.64421669	194.71706568	-101.16752167	219.98714649	0.00	0.00	0.00	
0.00488281	16.52269400	194.39700422	-100.31841500	219.37862033	0.00	0.00	0.00	
0.00512695	17.03513909	193.82089361	-103.50256501	220.38492627	0.00	0.00	0.00	
0.00537109	17.03513909	193.18077071	-108.66796391	222.30099531	0.00	0.00	0.00	
