Frequency [Hz]	 X-Axis [%]	Y-Axis [%]	Z-Axis [%]	Total [%]
0	0.0346	0.4918	0.2549	0.5550
1	0.0002	0.0001	0.0000	0.0002
2	0.0010	0.0001	0.0002	0.0010
3	0.0005	0.0000	0.0004	0.0006
4	0.0028	0.0003	0.0004	0.0029
5	0.0007	0.0003	0.0013	0.0015
6	0.0016	0.0001	0.0018	0.0024
7	0.0021	0.0006	0.0033	0.0039
8	0.0022	0.0005	0.0041	0.0047
9	0.0042	0.0014	0.0049	0.0066
10	0.0019	0.0013	0.0044	0.0049
11	0.0028	0.0023	0.0050	0.0062
12	0.0033	0.0011	0.0058	0.0067
13	0.0019	0.0003	0.0058	0.0061
14	0.0026	0.0022	0.0080	0.0087
15	0.0013	0.0027	0.0081	0.0086
16	0.0087	0.0066	0.0125	0.0166
17	0.0236	0.0208	0.0292	0.0429
18	0.0065	0.0051	0.0150	0.0171
19	0.0021	0.0052	0.0107	0.0121
20	0.0045	0.0043	0.0160	0.0172
21	0.0027	0.0017	0.0123	0.0127
22	0.0044	0.0027	0.0156	0.0165
23	0.0022	0.0034	0.0144	0.0150
24	0.0028	0.0017	0.0163	0.0167
25	0.0032	0.0027	0.0170	0.0175
26	0.0028	0.0050	0.0175	0.0184
27	0.0036	0.0037	0.0185	0.0192
28	0.0019	0.0035	0.0182	0.0186
29	0.0038	0.0022	0.0224	0.0228
30	0.0016	0.0025	0.0204	0.0206
31	0.0052	0.0040	0.0244	0.0252
32	0.0033	0.0035	0.0280	0.0284
33	0.0016	0.0047	0.0273	0.0277
34	0.0022	0.0028	0.0328	0.0330
35	0.0018	0.0063	0.0382	0.0388
36	0.0005	0.0047	0.0378	0.0381
37	0.0017	0.0051	0.0465	0.0468
38	0.0019	0.0083	0.0487	0.0494
39	0.0007	0.0077	0.0532	0.0538
40	0.0040	0.0091	0.0679	0.0686
41	0.0045	0.0114	0.0648	0.0659
42	0.0031	0.0103	0.0771	0.0779
43	0.0027	0.0118	0.0874	0.0883
44	0.0043	0.0124	0.1059	0.1067
45	0.0033	0.0174	0.1280	0.1292
46	0.0079	0.0224	0.1649	0.1666
47	0.0088	0.0304	0.2291	0.2312
48	0.0164	0.0446	0.3591	0.3622
49	0.0178	0.0895	0.6845	0.6906
50	1.4272	4.4934	33.7741	34.1016
51	0.0160	0.0970	0.7506	0.7570
52	0.0178	0.0513	0.3553	0.3594
53	0.0160	0.0357	0.2516	0.2547
54	0.0038	0.0252	0.1906	0.1923
55	0.0074	0.0192	0.1550	0.1564
56	0.0104	0.0162	0.1369	0.1382
57	0.0062	0.0155	0.1187	0.1199
58	0.0077	0.0109	0.0954	0.0963
59	0.0096	0.0100	0.0968	0.0978
60	0.0050	0.0084	0.0822	0.0828
61	0.0097	0.0127	0.0796	0.0812
62	0.0086	0.0115	0.0713	0.0727
63	0.0085	0.0133	0.0687	0.0705
64	0.0063	0.0100	0.0678	0.0688
65	0.0054	0.0068	0.0612	0.0618
66	0.0083	0.0081	0.0564	0.0576
67	0.0062	0.0092	0.0575	0.0586
68	0.0043	0.0065	0.0565	0.0571
69	0.0033	0.0070	0.0538	0.0544
70	0.0030	0.0109	0.0539	0.0551
71	0.0071	0.0055	0.0430	0.0439
72	0.0074	0.0079	0.0473	0.0485
73	0.0080	0.0073	0.0463	0.0476
74	0.0063	0.0064	0.0454	0.0462
75	0.0066	0.0049	0.0461	0.0468
76	0.0054	0.0075	0.0433	0.0443
77	0.0055	0.0057	0.0492	0.0498
78	0.0034	0.0055	0.0343	0.0349
79	0.0070	0.0035	0.0388	0.0396
80	0.0066	0.0043	0.0315	0.0325
81	0.0026	0.0090	0.0367	0.0379
82	0.0082	0.0071	0.0338	0.0355
83	0.0050	0.0041	0.0281	0.0288
84	0.0039	0.0043	0.0358	0.0363
85	0.0072	0.0065	0.0371	0.0384
86	0.0053	0.0047	0.0334	0.0341
87	0.0008	0.0077	0.0342	0.0350
88	0.0036	0.0044	0.0315	0.0320
89	0.0061	0.0056	0.0293	0.0305
90	0.0061	0.0040	0.0457	0.0463
91	0.0047	0.0011	0.0336	0.0340
92	0.0063	0.0045	0.0302	0.0312
93	0.0071	0.0011	0.0367	0.0374
94	0.0079	0.0027	0.0315	0.0326
95	0.0052	0.0015	0.0313	0.0317
96	0.0108	0.0045	0.0333	0.0353
97	0.0050	0.0049	0.0385	0.0392
98	0.0061	0.0028	0.0452	0.0457
99	0.0151	0.0064	0.0528	0.0553
100	0.1023	0.0215	0.4922	0.5032
101	0.0077	0.0014	0.0287	0.0298
102	0.0106	0.0092	0.0233	0.0272
103	0.0091	0.0077	0.0229	0.0258
104	0.0067	0.0020	0.0241	0.0251
