Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-79.5478	56.1393	18.6857	99.1395
1	0.5688	0.4126	0.1397	0.7164
2	0.4315	0.1630	0.3112	0.5564
3	0.5151	0.0412	0.2108	0.5581
4	0.4439	0.5277	0.5537	0.8844
5	0.3077	0.1791	0.0873	0.3666
6	0.1383	0.1566	0.0294	0.2110
7	0.1337	0.1569	0.0301	0.2083
8	0.0455	0.1606	0.1938	0.2558
9	0.1055	0.1004	0.0491	0.1537
10	0.0592	0.0243	0.0376	0.0743
11	0.0622	0.0498	0.0444	0.0912
12	0.0378	0.0116	0.0499	0.0637
13	0.0276	0.0153	0.0128	0.0341
14	0.0241	0.0173	0.0181	0.0347
15	0.0263	0.0167	0.0134	0.0339
16	0.0287	0.0079	0.0066	0.0305
17	0.0243	0.0067	0.0160	0.0298
18	0.0087	0.0143	0.0191	0.0254
19	0.0383	0.0210	0.0401	0.0593
20	0.0482	0.0112	0.0379	0.0623
21	0.0365	0.0257	0.0379	0.0585
22	0.0262	0.0446	0.0294	0.0594
23	0.0306	0.0172	0.0363	0.0505
24	0.0273	0.0174	0.0250	0.0409
25	0.0300	0.0129	0.0369	0.0493
26	0.0111	0.0185	0.0137	0.0256
27	0.0155	0.0362	0.0373	0.0542
28	0.0125	0.0375	0.0419	0.0576
29	0.0228	0.0634	0.0682	0.0959
30	0.0150	0.0082	0.0062	0.0182
31	0.0089	0.0104	0.0063	0.0151
32	0.0112	0.0118	0.0128	0.0207
33	0.0500	0.0191	0.0377	0.0655
34	0.0742	0.0145	0.0346	0.0832
35	0.0285	0.0112	0.0166	0.0348
36	0.0211	0.0158	0.0005	0.0263
37	0.0087	0.0399	0.0252	0.0480
38	0.0144	0.0023	0.0130	0.0195
39	0.0227	0.0109	0.0157	0.0297
40	0.0216	0.0013	0.0080	0.0231
41	0.0141	0.0025	0.0034	0.0147
42	0.0258	0.0101	0.0154	0.0317
43	0.0226	0.0239	0.0171	0.0371
44	0.0134	0.0073	0.0073	0.0169
45	0.0134	0.0029	0.0050	0.0146
46	0.0092	0.0064	0.0042	0.0119
47	0.0061	0.0085	0.0035	0.0111
48	0.0127	0.0106	0.0072	0.0181
49	0.0143	0.0049	0.0095	0.0179
50	0.0200	0.0082	0.0077	0.0229
51	0.0141	0.0133	0.0076	0.0208
52	0.0212	0.0086	0.0116	0.0256
53	0.0238	0.0155	0.0097	0.0300
54	0.1016	0.0687	0.0538	0.1339
55	0.0028	0.0169	0.0128	0.0213
56	0.0075	0.0631	0.0380	0.0740
57	0.0037	0.0749	0.0433	0.0866
58	0.0113	0.0270	0.0216	0.0363
