Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-79.8363	56.6220	18.4479	99.6002
1	0.2073	0.0603	0.0514	0.2219
2	0.0612	0.0459	0.0148	0.0779
3	0.0865	0.0124	0.0139	0.0885
4	0.4190	0.3579	0.5679	0.7913
5	0.0258	0.0271	0.0456	0.0590
6	0.0050	0.0096	0.0302	0.0321
7	0.0129	0.0221	0.0304	0.0398
8	0.0409	0.0697	0.1580	0.1774
9	0.0048	0.0214	0.0238	0.0324
10	0.0100	0.0098	0.0047	0.0148
11	0.0161	0.0126	0.0233	0.0310
12	0.0352	0.0301	0.0534	0.0707
13	0.0063	0.0070	0.0138	0.0167
14	0.0116	0.0110	0.0131	0.0206
15	0.0069	0.0056	0.0050	0.0102
16	0.0327	0.0125	0.0252	0.0431
17	0.0150	0.0256	0.0223	0.0371
18	0.0286	0.0366	0.0538	0.0711
19	0.0087	0.0257	0.0228	0.0355
20	0.0145	0.0045	0.0152	0.0215
21	0.0122	0.0237	0.0125	0.0294
22	0.0105	0.0256	0.0169	0.0324
23	0.0106	0.0146	0.0085	0.0200
24	0.0037	0.0088	0.0051	0.0109
25	0.0099	0.0052	0.0065	0.0129
26	0.0045	0.0099	0.0109	0.0154
27	0.0252	0.0369	0.0259	0.0517
28	0.0104	0.0298	0.0316	0.0446
29	0.0255	0.0617	0.0748	0.1003
30	0.0129	0.0169	0.0252	0.0330
31	0.0131	0.0068	0.0137	0.0202
32	0.0213	0.0027	0.0184	0.0282
33	0.0696	0.0088	0.0385	0.0801
34	0.0630	0.0223	0.0241	0.0711
35	0.0155	0.0154	0.0072	0.0230
36	0.0097	0.0227	0.0176	0.0304
37	0.0213	0.0269	0.0286	0.0446
38	0.0084	0.0041	0.0030	0.0098
39	0.0102	0.0200	0.0129	0.0259
40	0.0055	0.0042	0.0030	0.0076
41	0.0075	0.0061	0.0072	0.0121
42	0.0042	0.0077	0.0048	0.0100
43	0.0048	0.0193	0.0138	0.0242
44	0.0025	0.0003	0.0027	0.0037
45	0.0044	0.0053	0.0050	0.0085
46	0.0065	0.0098	0.0050	0.0128
47	0.0047	0.0052	0.0018	0.0073
48	0.0012	0.0093	0.0033	0.0100
49	0.0023	0.0027	0.0076	0.0084
50	0.0049	0.0162	0.0109	0.0201
51	0.0061	0.0141	0.0076	0.0171
52	0.0023	0.0147	0.0047	0.0156
53	0.0024	0.0073	0.0078	0.0110
54	0.0907	0.0698	0.0545	0.1268
55	0.0020	0.0364	0.0222	0.0427
56	0.0047	0.0183	0.0119	0.0223
57	0.0071	0.0625	0.0346	0.0718
58	0.0018	0.0351	0.0220	0.0414
59	0.0068	0.0054	0.0042	0.0096
60	0.0022	0.0070	0.0051	0.0089
61	0.0016	0.0104	0.0058	0.0120
62	0.0046	0.0059	0.0082	0.0110
63	0.0026	0.0105	0.0063	0.0125
64	0.0031	0.0277	0.0060	0.0285
65	0.0007	0.0100	0.0026	0.0104
66	0.0017	0.0079	0.0037	0.0089
67	0.0522	0.0142	0.0502	0.0738
68	0.0045	0.0038	0.0057	0.0082
69	0.0024	0.0030	0.0022	0.0044
70	0.0035	0.0052	0.0012	0.0064
71	0.0045	0.0099	0.0059	0.0123
72	0.0012	0.0093	0.0046	0.0105
73	0.0016	0.0455	0.0154	0.0480
74	0.0033	0.0139	0.0011	0.0144
75	0.0020	0.0077	0.0041	0.0090
76	0.0018	0.0142	0.0024	0.0145
77	0.0033	0.0103	0.0078	0.0134
78	0.0014	0.0040	0.0028	0.0051
79	0.0014	0.0086	0.0038	0.0095
80	0.0034	0.0078	0.0033	0.0091
81	0.0036	0.0055	0.0033	0.0073
82	0.0023	0.0051	0.0020	0.0059
