Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-80.32942899	56.32249392	17.77817088	99.70508434	52.64	0.00	0.00	
0.00024414	-80.25622255	56.25848163	17.91968866	99.63530125	52.64	0.00	0.00	
0.00048828	-80.25622255	56.32249392	17.84892977	99.65876215	52.64	0.00	0.00	
0.00073242	-80.25622255	56.32249392	17.84892977	99.65876215	52.64	0.00	0.00	
0.00097656	-80.25622255	56.32249392	17.91968866	99.67145941	0.00	0.00	0.00	
0.00122070	-80.18301611	56.32249392	17.84892977	99.59981771	0.00	0.00	0.00	
0.00146484	-80.18301611	56.38650621	17.84892977	99.63602987	0.00	0.00	0.00	
0.00170898	-80.18301611	56.25848163	17.99044755	99.58910096	0.00	0.00	0.00	
0.00195313	-80.18301611	56.25848163	17.91968866	99.57634292	0.00	0.00	0.00	
0.00219727	-80.10980966	56.32249392	17.91968866	99.55360449	0.00	0.00	0.00	
0.00244141	-80.10980966	56.25848163	17.99044755	99.53016911	0.00	0.00	0.00	
0.00268555	-80.10980966	56.19446934	17.99044755	99.49400078	0.00	0.00	0.00	
0.00292969	-80.18301611	56.19446934	17.99044755	99.55295404	0.00	0.00	0.00	
0.00317383	-80.18301611	56.25848163	17.84892977	99.56363353	0.00	0.00	0.00	
0.00341797	-80.32942899	56.19446934	17.70741199	99.62021876	0.00	0.00	0.00	
0.00366211	-80.18301611	56.19446934	17.77817088	99.51481204	0.00	0.00	0.00	
0.00390625	-80.03660322	56.19446934	17.77817088	99.39687922	0.00	0.00	0.00	
0.00415039	-80.18301611	56.13045705	17.84892977	99.49134924	0.00	0.00	0.00	
0.00439453	-80.10980966	56.06644476	17.84892977	99.39623799	0.00	0.00	0.00	
0.00463867	-80.10980966	56.13045705	17.84892977	99.43235945	0.00	0.00	0.00	
0.00488281	-80.10980966	56.06644476	17.84892977	99.39623799	0.00	0.00	0.00	
0.00512695	-80.10980966	56.13045705	17.77817088	99.41968202	0.00	0.00	0.00	
0.00537109	-80.03660322	56.13045705	17.84892977	99.37338858	0.00	0.00	0.00	
0.00561523	-80.03660322	56.06644476	17.84892977	99.33724567	0.00	0.00	0.00	
0.00585938	-79.96339678	56.19446934	17.91968866	99.36336574	0.00	0.00	0.00	
0.00610352	-79.96339678	56.19446934	17.84892977	99.35062910	0.00	0.00	0.00	
0.00634766	-79.96339678	56.19446934	17.84892977	99.35062910	0.00	0.00	0.00	
0.00659180	-79.96339678	56.25848163	17.77817088	99.37416636	0.00	0.00	0.00	
0.00683594	-80.10980966	56.25848163	17.84892977	99.50468659	0.00	0.00	0.00	
0.00708008	-80.25622255	56.25848163	17.77817088	99.60994615	0.00	0.00	0.00	
0.00732422	-80.18301611	56.25848163	17.63665310	99.52579746	0.00	0.00	0.00	
0.00756836	-80.32942899	56.19446934	17.49513533	99.58270586	0.00	0.00	0.00	
0.00781250	-80.32942899	56.19446934	17.56589422	99.59516146	0.00	0.00	0.00	
0.00805664	-80.40263543	56.19446934	17.42437644	99.62936848	0.00	0.00	0.00	
0.00830078	-80.32942899	56.13045705	17.42437644	99.53418641	0.00	0.00	0.00	
0.00854492	-80.10980966	56.06644476	17.56589422	99.34580249	0.00	0.00	0.00	
0.00878906	-80.10980966	56.06644476	17.56589422	99.34580249	0.00	0.00	0.00	
0.00903320	-80.03660322	56.19446934	17.56589422	99.35913083	0.00	0.00	0.00	
0.00927734	-79.96339678	56.19446934	17.56589422	99.30017043	0.00	0.00	0.00	
0.00952148	-79.96339678	56.25848163	17.56589422	99.33640933	0.00	0.00	0.00	
0.00976563	-79.96339678	56.19446934	17.63665310	99.31271188	0.00	0.00	0.00	
0.01000977	-79.89019034	56.13045705	17.63665310	99.21755013	0.00	0.00	0.00	
0.01025391	-79.96339678	56.13045705	17.56589422	99.26395958	0.00	0.00	0.00	
0.01049805	-79.89019034	56.13045705	17.56589422	99.20499665	0.00	0.00	0.00	
0.01074219	-79.89019034	56.19446934	17.56589422	99.24122901	0.00	0.00	0.00	
0.01098633	-79.81698389	56.19446934	17.42437644	99.15734061	0.00	0.00	0.00	
0.01123047	-79.89019034	56.13045705	17.56589422	99.20499665	0.00	0.00	0.00	
0.01147461	-79.89019034	56.06644476	17.56589422	99.16879237	0.00	0.00	0.00	
0.01171875	-79.89019034	56.13045705	17.56589422	99.20499665	0.00	0.00	0.00	
0.01196289	-79.89019034	56.13045705	17.63665310	99.21755013	0.00	0.00	0.00	
0.01220703	-79.89019034	56.06644476	17.63665310	99.18135043	0.00	0.00	0.00	
0.01245117	-79.89019034	56.06644476	17.63665310	99.18135043	0.00	0.00	0.00	
0.01269531	-79.89019034	56.06644476	17.49513533	99.15628321	0.00	0.00	0.00	
0.01293945	-79.89019034	56.06644476	17.56589422	99.16879237	0.00	0.00	0.00	
0.01318359	-80.10980966	56.13045705	17.56589422	99.38194228	0.00	0.00	0.00	
0.01342773	-80.18301611	56.06644476	17.49513533	99.39236419	0.00	0.00	0.00	
0.01367188	-79.96339678	56.06644476	17.49513533	99.21527510	0.00	0.00	0.00	
0.01391602	-79.89019034	56.00243247	17.56589422	99.13261620	0.00	0.00	0.00	
0.01416016	-79.89019034	56.06644476	17.56589422	99.16879237	0.00	0.00	0.00	
0.01440430	-79.96339678	56.13045705	17.56589422	99.26395958	0.00	0.00	0.00	
0.01464844	-79.96339678	56.06644476	17.56589422	99.22777682	0.00	0.00	0.00	
0.01489258	-79.89019034	56.13045705	17.56589422	99.20499665	0.00	0.00	0.00	
0.01513672	-79.96339678	56.13045705	17.49513533	99.25146242	0.00	0.00	0.00	
0.01538086	-79.89019034	56.19446934	17.49513533	99.22872899	0.00	0.00	0.00	
0.01562500	-79.96339678	56.19446934	17.49513533	99.28767783	0.00	0.00	0.00	
0.01586914	-79.89019034	56.19446934	17.49513533	99.22872899	0.00	0.00	0.00	
0.01611328	-79.89019034	56.19446934	17.49513533	99.22872899	0.00	0.00	0.00	
0.01635742	-80.03660322	56.19446934	17.63665310	99.37166484	0.00	0.00	0.00	
0.01660156	-80.25622255	56.32249392	17.42437644	99.58360042	0.00	0.00	0.00	
0.01684570	-80.25622255	56.32249392	17.49513533	99.59600564	0.00	0.00	0.00	
0.01708984	-80.40263543	56.25848163	17.42437644	99.66548768	0.00	0.00	0.00	
0.01733398	-80.32942899	56.25848163	17.35361755	99.59408596	0.00	0.00	0.00	
0.01757813	-80.40263543	56.19446934	17.42437644	99.62936848	0.00	0.00	0.00	
0.01782227	-80.40263543	56.13045705	17.42437644	99.59327732	0.00	0.00	0.00	
0.01806641	-80.32942899	56.06644476	17.21209977	99.46114703	0.00	0.00	0.00	
0.01831055	-80.25622255	56.13045705	17.28285866	99.45042317	0.00	0.00	0.00	
0.01855469	-80.18301611	56.13045705	17.35361755	99.40368364	0.00	0.00	0.00	
0.01879883	-80.10980966	56.06644476	17.35361755	99.30848843	0.00	0.00	0.00	
0.01904297	-80.18301611	56.06644476	17.35361755	99.36755175	0.00	0.00	0.00	
0.01928711	-80.10980966	56.06644476	17.42437644	99.32087760	0.00	0.00	0.00	
0.01953125	-80.10980966	56.00243247	17.42437644	99.28475684	0.00	0.00	0.00	
0.01977539	-80.10980966	56.06644476	17.42437644	99.32087760	0.00	0.00	0.00	
0.02001953	-80.10980966	56.06644476	17.35361755	99.30848843	0.00	0.00	0.00	
0.02026367	-80.03660322	56.00243247	17.49513533	99.23814820	0.00	0.00	0.00	
0.02050781	-79.96339678	56.06644476	17.49513533	99.21527510	0.00	0.00	0.00	
0.02075195	-80.03660322	56.06644476	17.49513533	99.27428591	0.00	0.00	0.00	
0.02099609	-80.03660322	56.06644476	17.56589422	99.28678020	0.00	0.00	0.00	
0.02124023	-80.10980966	56.06644476	17.63665310	99.35833817	0.00	0.00	0.00	
0.02148438	-80.03660322	56.06644476	17.49513533	99.27428591	0.00	0.00	0.00	
0.02172852	-80.10980966	56.06644476	17.49513533	99.33331562	0.00	0.00	0.00	
0.02197266	-80.03660322	56.06644476	17.63665310	99.29932334	0.00	0.00	0.00	
0.02221680	-80.03660322	56.13045705	17.56589422	99.32294147	0.00	0.00	0.00	
0.02246094	-80.03660322	56.13045705	17.63665310	99.33548005	0.00	0.00	0.00	
0.02270508	-80.25622255	56.06644476	17.56589422	99.46390363	0.00	0.00	0.00	
0.02294922	-80.25622255	56.06644476	17.49513533	99.45143159	0.00	0.00	0.00	
0.02319336	-80.10980966	56.06644476	17.42437644	99.32087760	0.00	0.00	0.00	
0.02343750	-80.03660322	55.93842018	17.49513533	99.20203862	0.00	0.00	0.00	
0.02368164	-79.96339678	56.06644476	17.56589422	99.22777682	0.00	0.00	0.00	
0.02392578	-80.03660322	56.06644476	17.49513533	99.27428591	0.00	0.00	0.00	
0.02416992	-79.96339678	56.13045705	17.56589422	99.26395958	0.00	0.00	0.00	
0.02441406	-79.96339678	56.13045705	17.63665310	99.27650561	0.00	0.00	0.00	
0.02465820	-79.96339678	56.19446934	17.63665310	99.31271188	0.00	0.00	0.00	
0.02490234	-79.96339678	56.25848163	17.56589422	99.33640933	0.00	0.00	0.00	
0.02514648	-79.96339678	56.19446934	17.56589422	99.30017043	0.00	0.00	0.00	
0.02539063	-79.81698389	56.25848163	17.63665310	99.23114030	0.00	0.00	0.00	
0.02563477	-79.81698389	56.25848163	17.63665310	99.23114030	0.00	0.00	0.00	
0.02587891	-79.74377745	56.25848163	17.77817088	99.19753100	0.00	0.00	0.00	
0.02612305	-79.81698389	56.19446934	17.77817088	99.22012226	0.00	0.00	0.00	
0.02636719	-79.81698389	56.38650621	17.70741199	99.31637045	0.00	0.00	0.00	
0.02661133	-80.03660322	56.38650621	17.56589422	99.46786706	0.00	0.00	0.00	
0.02685547	-80.03660322	56.25848163	17.63665310	99.40787767	0.00	0.00	0.00	
0.02709961	-80.10980966	56.25848163	17.42437644	99.42940839	0.00	0.00	0.00	
0.02734375	-80.03660322	56.19446934	17.42437644	99.33420928	0.00	0.00	0.00	
0.02758789	-80.18301611	56.25848163	17.35361755	99.47603163	0.00	0.00	0.00	
0.02783203	-80.18301611	56.25848163	17.42437644	99.48839993	0.00	0.00	0.00	
0.02807617	-80.18301611	56.19446934	17.42437644	99.45221642	0.00	0.00	0.00	
0.02832031	-79.96339678	56.19446934	17.42437644	99.27523409	0.00	0.00	0.00	
0.02856445	-79.89019034	56.19446934	17.63665310	99.25377791	0.00	0.00	0.00	
0.02880859	-79.89019034	56.13045705	17.70741199	99.23015247	0.00	0.00	0.00	
0.02905273	-79.89019034	56.25848163	17.70741199	99.30262689	0.00	0.00	0.00	
0.02929688	-79.89019034	56.25848163	17.70741199	99.30262689	0.00	0.00	0.00	
0.02954102	-79.89019034	56.19446934	17.84892977	99.29171763	0.00	0.00	0.00	
0.02978516	-79.81698389	56.13045705	17.70741199	99.17122348	0.00	0.00	0.00	
0.03002930	-79.81698389	56.25848163	17.70741199	99.24374092	0.00	0.00	0.00	
0.03027344	-79.89019034	56.25848163	17.70741199	99.30262689	0.00	0.00	0.00	
