Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-46.0864	-46.5162	61.2396	89.6549
1	0.1589	0.1316	0.1003	0.2294
2	0.0615	0.0673	0.1015	0.1365
3	0.0548	0.0310	0.0333	0.0712
4	0.1929	0.0516	0.1102	0.2281
5	0.0256	0.0068	0.0587	0.0644
6	0.0340	0.0029	0.0336	0.0479
7	0.0159	0.0096	0.0246	0.0308
8	0.0471	0.0351	0.0212	0.0624
9	0.0135	0.0152	0.0108	0.0230
10	0.0123	0.0129	0.0144	0.0229
11	0.0011	0.0044	0.0108	0.0117
12	0.0100	0.0067	0.0142	0.0186
13	0.0152	0.0098	0.0008	0.0181
14	0.0108	0.0078	0.0121	0.0180
15	0.0059	0.0041	0.0057	0.0091
16	0.0086	0.0041	0.0068	0.0117
17	0.0013	0.0088	0.0113	0.0144
18	0.0085	0.0186	0.0112	0.0233
19	0.0103	0.0154	0.0089	0.0205
20	0.0044	0.0051	0.0048	0.0083
21	0.0093	0.0134	0.0046	0.0169
22	0.0058	0.0045	0.0079	0.0108
23	0.0037	0.0054	0.0088	0.0110
24	0.0010	0.0044	0.0055	0.0071
25	0.0008	0.0063	0.0072	0.0096
26	0.0033	0.0032	0.0053	0.0070
27	0.0053	0.0009	0.0049	0.0073
28	0.0072	0.0131	0.0088	0.0173
29	0.0135	0.0175	0.0116	0.0250
30	0.0098	0.0062	0.0074	0.0138
31	0.0039	0.0037	0.0059	0.0079
32	0.0028	0.0050	0.0053	0.0078
33	0.0078	0.0047	0.0092	0.0130
34	0.0043	0.0030	0.0050	0.0073
35	0.0015	0.0010	0.0039	0.0043
36	0.0082	0.0091	0.0052	0.0133
37	0.0040	0.0050	0.0013	0.0065
38	0.0033	0.0021	0.0027	0.0048
39	0.0078	0.0066	0.0038	0.0109
40	0.0042	0.0044	0.0066	0.0089
41	0.0056	0.0036	0.0016	0.0069
42	0.0053	0.0042	0.0045	0.0081
43	0.0053	0.0035	0.0051	0.0081
44	0.0029	0.0032	0.0032	0.0054
45	0.0020	0.0036	0.0024	0.0048
46	0.0015	0.0042	0.0023	0.0050
47	0.0043	0.0006	0.0045	0.0063
48	0.0022	0.0055	0.0017	0.0062
49	0.0059	0.0035	0.0015	0.0071
50	0.0011	0.0261	0.0022	0.0262
51	0.0014	0.0077	0.0034	0.0085
52	0.0039	0.0037	0.0034	0.0064
53	0.0030	0.0013	0.0012	0.0034
54	0.0071	0.0072	0.0048	0.0112
55	0.0054	0.0090	0.0030	0.0109
56	0.0018	0.0036	0.0071	0.0082
57	0.0086	0.0122	0.0045	0.0156
58	0.0041	0.0043	0.0028	0.0066
59	0.0042	0.0037	0.0057	0.0080
60	0.0026	0.0009	0.0001	0.0028
61	0.0028	0.0007	0.0014	0.0032
62	0.0020	0.0010	0.0041	0.0047
63	0.0024	0.0020	0.0010	0.0033
64	0.0012	0.0033	0.0024	0.0043
65	0.0043	0.0027	0.0027	0.0058
66	0.0032	0.0014	0.0028	0.0045
67	0.0034	0.0024	0.0036	0.0054
68	0.0015	0.0016	0.0011	0.0024
69	0.0038	0.0006	0.0038	0.0054
70	0.0033	0.0032	0.0016	0.0049
71	0.0016	0.0008	0.0023	0.0029
72	0.0042	0.0029	0.0027	0.0058
73	0.0029	0.0067	0.0008	0.0074
74	0.0033	0.0030	0.0026	0.0052
75	0.0007	0.0018	0.0023	0.0030
76	0.0006	0.0026	0.0022	0.0034
77	0.0024	0.0012	0.0023	0.0036
78	0.0011	0.0021	0.0026	0.0035
79	0.0022	0.0025	0.0033	0.0047
80	0.0013	0.0030	0.0020	0.0038
81	0.0008	0.0014	0.0026	0.0030
82	0.0012	0.0032	0.0010	0.0035
83	0.0026	0.0015	0.0026	0.0039
84	0.0014	0.0004	0.0023	0.0027
85	0.0007	0.0012	0.0024	0.0028
86	0.0031	0.0035	0.0044	0.0064
87	0.0025	0.0033	0.0027	0.0050
88	0.0016	0.0015	0.0005	0.0023
89	0.0024	0.0029	0.0047	0.0060
90	0.0006	0.0008	0.0005	0.0011
91	0.0036	0.0020	0.0028	0.0050
92	0.0007	0.0024	0.0036	0.0044
93	0.0029	0.0016	0.0023	0.0040
94	0.0012	0.0008	0.0045	0.0047
95	0.0016	0.0007	0.0007	0.0019
96	0.0006	0.0028	0.0014	0.0031
97	0.0031	0.0015	0.0023	0.0042
98	0.0021	0.0019	0.0023	0.0036
99	0.0004	0.0013	0.0027	0.0030
100	0.0015	0.0034	0.0023	0.0043
101	0.0021	0.0018	0.0027	0.0039
102	0.0008	0.0020	0.0025	0.0033
103	0.0036	0.0018	0.0023	0.0047
104	0.0003	0.0010	0.0023	0.0025
105	0.0031	0.0016	0.0002	0.0035
106	0.0015	0.0007	0.0022	0.0027
107	0.0026	0.0028	0.0032	0.0049
108	0.0009	0.0009	0.0026	0.0029
109	0.0021	0.0003	0.0027	0.0035
110	0.0017	0.0012	0.0012	0.0024
111	0.0014	0.0022	0.0015	0.0030
112	0.0019	0.0017	0.0004	0.0026
113	0.0016	0.0008	0.0027	0.0033
114	0.0043	0.0013	0.0009	0.0046
115	0.0016	0.0002	0.0022	0.0027
116	0.0030	0.0009	0.0025	0.0040
117	0.0037	0.0012	0.0021	0.0044
118	0.0010	0.0017	0.0010	0.0022
119	0.0021	0.0005	0.0021	0.0030
120	0.0024	0.0015	0.0025	0.0038
121	0.0011	0.0012	0.0020	0.0026
122	0.0009	0.0015	0.0026	0.0031
123	0.0022	0.0013	0.0025	0.0036
124	0.0004	0.0016	0.0018	0.0024
125	0.0003	0.0027	0.0016	0.0031
126	0.0015	0.0009	0.0016	0.0024
127	0.0023	0.0024	0.0031	0.0046
128	0.0030	0.0019	0.0031	0.0046
129	0.0010	0.0002	0.0011	0.0015
130	0.0012	0.0018	0.0008	0.0023
131	0.0015	0.0025	0.0019	0.0034
132	0.0007	0.0009	0.0003	0.0011
133	0.0023	0.0006	0.0019	0.0031
134	0.0020	0.0005	0.0021	0.0029
135	0.0022	0.0016	0.0015	0.0031
