Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-45.99560761	-46.54525669	60.79957545	89.32326245	3.88	0.00	0.00	
0.00024414	-46.06881406	-46.54525669	60.72881656	89.31285299	3.88	0.00	0.00	
0.00048828	-46.06881406	-46.60926898	60.79957545	89.39433963	3.88	0.00	0.00	
0.00073242	-46.06881406	-46.54525669	60.79957545	89.36098099	3.88	0.00	0.00	
0.00097656	-46.06881406	-46.54525669	60.72881656	89.31285299	0.00	0.00	0.00	
0.00122070	-45.99560761	-46.48124440	60.79957545	89.28992314	0.00	0.00	0.00	
0.00146484	-46.06881406	-46.54525669	60.79957545	89.36098099	0.00	0.00	0.00	
0.00170898	-46.06881406	-46.48124440	60.72881656	89.27950980	0.00	0.00	0.00	
0.00195313	-45.99560761	-46.48124440	60.72881656	89.24175682	0.00	0.00	0.00	
0.00219727	-45.92240117	-46.41723211	60.72881656	89.17071003	0.00	0.00	0.00	
0.00244141	-45.99560761	-46.54525669	60.79957545	89.32326245	0.00	0.00	0.00	
0.00268555	-46.14202050	-46.48124440	60.72881656	89.31730682	0.00	0.00	0.00	
0.00292969	-46.06881406	-46.48124440	60.65805767	89.23139397	0.00	0.00	0.00	
0.00317383	-46.06881406	-46.48124440	60.79957545	89.32765576	0.00	0.00	0.00	
0.00341797	-45.99560761	-46.48124440	60.79957545	89.28992314	0.00	0.00	0.00	
0.00366211	-46.06881406	-46.41723211	60.79957545	89.29436399	0.00	0.00	0.00	
0.00390625	-46.06881406	-46.54525669	60.79957545	89.36098099	0.00	0.00	0.00	
0.00415039	-45.99560761	-46.60926898	60.72881656	89.30850483	0.00	0.00	0.00	
0.00439453	-45.99560761	-46.54525669	60.79957545	89.32326245	0.00	0.00	0.00	
0.00463867	-46.14202050	-46.48124440	60.79957545	89.36543242	0.00	0.00	0.00	
0.00488281	-46.06881406	-46.54525669	60.72881656	89.31285299	0.00	0.00	0.00	
0.00512695	-46.14202050	-46.48124440	60.72881656	89.31730682	0.00	0.00	0.00	
0.00537109	-46.06881406	-46.54525669	60.79957545	89.36098099	0.00	0.00	0.00	
0.00561523	-45.99560761	-46.48124440	60.72881656	89.24175682	0.00	0.00	0.00	
0.00585938	-46.06881406	-46.60926898	60.72881656	89.34622960	0.00	0.00	0.00	
0.00610352	-46.14202050	-46.54525669	60.72881656	89.35063590	0.00	0.00	0.00	
0.00634766	-46.14202050	-46.48124440	60.72881656	89.31730682	0.00	0.00	0.00	
0.00659180	-46.14202050	-46.54525669	60.79957545	89.39874356	0.00	0.00	0.00	
0.00683594	-46.06881406	-46.60926898	60.72881656	89.34622960	0.00	0.00	0.00	
0.00708008	-46.06881406	-46.54525669	60.72881656	89.31285299	0.00	0.00	0.00	
0.00732422	-46.06881406	-46.60926898	60.65805767	89.29814972	0.00	0.00	0.00	
0.00756836	-45.99560761	-46.60926898	60.72881656	89.30850483	0.00	0.00	0.00	
0.00781250	-46.06881406	-46.67328127	60.79957545	89.42773165	0.00	0.00	0.00	
0.00805664	-46.06881406	-46.60926898	60.79957545	89.39433963	0.00	0.00	0.00	
0.00830078	-45.99560761	-46.67328127	60.79957545	89.39004127	0.00	0.00	0.00	
0.00854492	-45.99560761	-46.60926898	60.72881656	89.30850483	0.00	0.00	0.00	
0.00878906	-46.06881406	-46.54525669	60.72881656	89.31285299	0.00	0.00	0.00	
0.00903320	-45.99560761	-46.60926898	60.72881656	89.30850483	0.00	0.00	0.00	
0.00927734	-45.99560761	-46.60926898	60.87033434	89.40479560	0.00	0.00	0.00	
0.00952148	-45.99560761	-46.60926898	60.72881656	89.30850483	0.00	0.00	0.00	
0.00976563	-46.06881406	-46.54525669	60.72881656	89.31285299	0.00	0.00	0.00	
0.01000977	-46.06881406	-46.60926898	60.72881656	89.34622960	0.00	0.00	0.00	
0.01025391	-46.06881406	-46.54525669	60.79957545	89.36098099	0.00	0.00	0.00	
