Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-29.9222	29.9405	-82.6341	92.8448
1	0.0300	0.1408	0.1263	0.1915
2	0.0589	0.0843	0.0665	0.1225
3	0.0679	0.0715	0.0499	0.1105
4	0.5965	1.2567	0.4578	1.4644
5	0.0675	0.0131	0.0344	0.0769
6	0.0355	0.0219	0.0231	0.0477
7	0.0278	0.0382	0.0334	0.0578
8	0.3683	0.4758	0.0150	0.6019
9	0.0625	0.0329	0.0269	0.0756
10	0.0274	0.0192	0.0125	0.0357
11	0.0106	0.0057	0.0050	0.0131
12	0.1047	0.0821	0.0560	0.1444
13	0.0259	0.0136	0.0104	0.0311
14	0.0276	0.0189	0.0064	0.0341
15	0.0202	0.0141	0.0070	0.0256
16	0.0272	0.0319	0.0230	0.0478
17	0.0124	0.0035	0.0071	0.0147
18	0.0153	0.0036	0.0113	0.0193
19	0.0056	0.0262	0.0222	0.0348
20	0.0283	0.0293	0.0069	0.0413
21	0.0080	0.0024	0.0037	0.0091
22	0.0049	0.0118	0.0149	0.0196
23	0.0106	0.0078	0.0059	0.0145
24	0.0028	0.0083	0.0048	0.0100
25	0.0091	0.0046	0.0068	0.0122
26	0.0044	0.0030	0.0094	0.0109
27	0.0074	0.0105	0.0049	0.0138
28	0.0222	0.0065	0.0126	0.0264
29	0.0087	0.0179	0.0272	0.0337
30	0.0028	0.0095	0.0138	0.0170
31	0.0059	0.0064	0.0081	0.0119
32	0.0111	0.0033	0.0026	0.0119
33	0.0144	0.0031	0.0076	0.0166
34	0.0079	0.0031	0.0132	0.0156
35	0.0097	0.0041	0.0083	0.0134
36	0.0122	0.0084	0.0106	0.0182
37	0.0096	0.0102	0.0166	0.0217
38	0.0043	0.0048	0.0018	0.0067
39	0.0045	0.0048	0.0038	0.0076
40	0.0062	0.0008	0.0066	0.0091
41	0.0028	0.0036	0.0021	0.0051
42	0.0060	0.0025	0.0042	0.0077
43	0.0039	0.0024	0.0041	0.0062
44	0.0090	0.0012	0.0031	0.0096
45	0.0014	0.0017	0.0014	0.0026
46	0.0066	0.0009	0.0049	0.0083
47	0.0016	0.0015	0.0041	0.0047
48	0.0039	0.0014	0.0039	0.0057
49	0.0046	0.0020	0.0026	0.0056
50	0.0044	0.0089	0.0016	0.0101
51	0.0019	0.0025	0.0046	0.0056
52	0.0043	0.0030	0.0020	0.0056
53	0.0039	0.0023	0.0030	0.0054
54	0.0017	0.0076	0.0095	0.0123
55	0.0057	0.0014	0.0035	0.0068
56	0.0073	0.0082	0.0091	0.0142
57	0.0156	0.0144	0.0212	0.0300
58	0.0035	0.0003	0.0020	0.0041
59	0.0055	0.0036	0.0069	0.0095
60	0.0040	0.0037	0.0047	0.0072
61	0.0025	0.0035	0.0035	0.0055
62	0.0031	0.0016	0.0047	0.0059
63	0.0043	0.0016	0.0053	0.0070
64	0.0053	0.0007	0.0030	0.0061
65	0.0037	0.0010	0.0021	0.0044
66	0.0015	0.0014	0.0039	0.0044
67	0.0164	0.0013	0.0100	0.0193
68	0.0032	0.0013	0.0046	0.0057
69	0.0045	0.0027	0.0025	0.0058
70	0.0004	0.0017	0.0057	0.0060
71	0.0065	0.0008	0.0047	0.0080
72	0.0032	0.0028	0.0060	0.0074
73	0.0029	0.0020	0.0022	0.0042
74	0.0101	0.0038	0.0083	0.0136
75	0.0017	0.0029	0.0019	0.0038
76	0.0036	0.0041	0.0015	0.0057
77	0.0042	0.0020	0.0059	0.0075
78	0.0004	0.0019	0.0021	0.0029
79	0.0048	0.0013	0.0026	0.0056
80	0.0020	0.0016	0.0024	0.0035
81	0.0021	0.0005	0.0013	0.0026
82	0.0012	0.0023	0.0011	0.0028
83	0.0031	0.0013	0.0026	0.0042
84	0.0016	0.0026	0.0010	0.0032
85	0.0066	0.0050	0.0061	0.0103
86	0.0073	0.0028	0.0068	0.0104
87	0.0011	0.0005	0.0046	0.0047
88	0.0028	0.0007	0.0005	0.0029
89	0.0009	0.0034	0.0020	0.0040
90	0.0031	0.0035	0.0020	0.0051
91	0.0019	0.0029	0.0049	0.0060
92	0.0014	0.0021	0.0021	0.0032
93	0.0028	0.0012	0.0054	0.0062
94	0.0058	0.0026	0.0029	0.0070
95	0.0028	0.0031	0.0037	0.0055
96	0.0045	0.0031	0.0038	0.0066
97	0.0066	0.0036	0.0063	0.0098
98	0.0054	0.0015	0.0056	0.0080
99	0.0076	0.0034	0.0054	0.0099
100	0.0177	0.0052	0.0098	0.0209
101	0.0044	0.0047	0.0082	0.0105
102	0.0025	0.0053	0.0065	0.0087
103	0.0043	0.0057	0.0095	0.0119
104	0.0078	0.0088	0.0148	0.0189
105	0.0130	0.0116	0.0215	0.0277
106	0.0229	0.0154	0.0320	0.0423
107	0.1686	0.1187	0.2219	0.3029
108	0.0378	0.0262	0.0452	0.0645
109	0.0177	0.0143	0.0225	0.0320
110	0.0128	0.0092	0.0133	0.0207
111	0.0096	0.0073	0.0092	0.0151
112	0.0057	0.0071	0.0059	0.0108
113	0.0059	0.0022	0.0077	0.0099
114	0.0008	0.0062	0.0111	0.0127
115	0.0060	0.0018	0.0062	0.0088
116	0.0092	0.0033	0.0017	0.0099
