Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-30.10980966	28.09307387	-82.48717495	92.19520307	39.37	0.00	0.00	
0.00024414	-30.18301611	28.02906158	-82.48717495	92.19965719	39.37	0.00	0.00	
0.00048828	-30.25622255	28.02906158	-82.48717495	92.22364842	39.37	0.00	0.00	
0.00073242	-30.25622255	28.09307387	-82.48717495	92.24312350	39.37	0.00	0.00	
0.00097656	-30.32942899	28.02906158	-82.55793384	92.31096899	0.00	0.00	0.00	
0.00122070	-30.40263543	28.09307387	-82.48717495	92.29125133	0.00	0.00	0.00	
0.00146484	-30.32942899	28.02906158	-82.41641606	92.18442489	0.00	0.00	0.00	
0.00170898	-30.32942899	28.09307387	-82.41641606	92.20390826	0.00	0.00	0.00	
0.00195313	-30.32942899	28.09307387	-82.34565717	92.14066593	0.00	0.00	0.00	
0.00219727	-30.32942899	28.09307387	-82.20413940	92.01421410	0.00	0.00	0.00	
0.00244141	-30.32942899	28.15708616	-82.20413940	92.03377803	0.00	0.00	0.00	
0.00268555	-30.25622255	28.09307387	-82.13338051	91.92688397	0.00	0.00	0.00	
0.00292969	-30.25622255	28.15708616	-82.06262162	91.88326491	0.00	0.00	0.00	
0.00317383	-30.10980966	28.28511074	-82.06262162	91.87449044	0.00	0.00	0.00	
0.00341797	-30.10980966	28.22109845	-81.92110384	91.72839413	0.00	0.00	0.00	
0.00366211	-30.03660322	28.15708616	-81.92110384	91.68471131	0.00	0.00	0.00	
0.00390625	-30.03660322	28.28511074	-81.92110384	91.72410957	0.00	0.00	0.00	
0.00415039	-29.89019034	28.22109845	-81.85034495	91.59330131	0.00	0.00	0.00	
0.00439453	-29.81698389	28.22109845	-81.85034495	91.56943756	0.00	0.00	0.00	
0.00463867	-29.81698389	28.28511074	-81.77958606	91.52595651	0.00	0.00	0.00	
0.00488281	-29.74377745	28.22109845	-81.77958606	91.48236656	0.00	0.00	0.00	
0.00512695	-29.67057101	28.22109845	-81.70882717	91.39532603	0.00	0.00	0.00	
0.00537109	-29.59736457	28.22109845	-81.77958606	91.43486798	0.00	0.00	0.00	
0.00561523	-29.59736457	28.34912303	-81.85034495	91.53772848	0.00	0.00	0.00	
0.00585938	-29.52415813	28.22109845	-81.92110384	91.53782587	0.00	0.00	0.00	
0.00610352	-29.52415813	28.22109845	-81.92110384	91.53782587	0.00	0.00	0.00	
0.00634766	-29.45095168	28.22109845	-81.92110384	91.51424046	0.00	0.00	0.00	
0.00659180	-29.52415813	28.15708616	-81.99186273	91.58145537	0.00	0.00	0.00	
0.00683594	-29.52415813	28.15708616	-82.06262162	91.64481044	0.00	0.00	0.00	
0.00708008	-29.37774524	28.09307387	-82.20413940	91.70492489	0.00	0.00	0.00	
0.00732422	-29.45095168	28.09307387	-82.13338051	91.66499631	0.00	0.00	0.00	
0.00756836	-29.45095168	27.96504929	-82.13338051	91.62584095	0.00	0.00	0.00	
0.00781250	-29.45095168	27.96504929	-82.34565717	91.81617391	0.00	0.00	0.00	
0.00805664	-29.37774524	27.90103700	-82.27489828	91.70975231	0.00	0.00	0.00	
0.00830078	-29.45095168	27.83702471	-82.20413940	91.65030842	0.00	0.00	0.00	
0.00854492	-29.45095168	27.90103700	-82.34565717	91.79669752	0.00	0.00	0.00	
0.00878906	-29.52415813	27.90103700	-82.34565717	91.82021038	0.00	0.00	0.00	
0.00903320	-29.59736457	27.83702471	-82.34565717	91.82434965	0.00	0.00	0.00	
0.00927734	-29.59736457	27.77301242	-82.41641606	91.86843770	0.00	0.00	0.00	
0.00952148	-29.67057101	27.77301242	-82.34565717	91.82859172	0.00	0.00	0.00	
0.00976563	-29.67057101	27.77301242	-82.34565717	91.82859172	0.00	0.00	0.00	
0.01000977	-29.81698389	27.83702471	-82.41641606	91.95878484	0.00	0.00	0.00	
0.01025391	-29.74377745	27.77301242	-82.34565717	91.85227145	0.00	0.00	0.00	
0.01049805	-29.59736457	27.77301242	-82.27489828	91.74150149	0.00	0.00	0.00	
0.01074219	-29.67057101	27.83702471	-82.20413940	91.72111677	0.00	0.00	0.00	
0.01098633	-29.59736457	27.77301242	-82.20413940	91.67804940	0.00	0.00	0.00	
0.01123047	-29.67057101	27.77301242	-82.06262162	91.57487029	0.00	0.00	0.00	
0.01147461	-29.74377745	27.83702471	-81.99186273	91.55467107	0.00	0.00	0.00	
0.01171875	-29.67057101	27.83702471	-81.99186273	91.53091435	0.00	0.00	0.00	
0.01196289	-29.67057101	27.90103700	-82.06262162	91.61377907	0.00	0.00	0.00	
0.01220703	-29.67057101	27.90103700	-81.99186273	91.55040253	0.00	0.00	0.00	
0.01245117	-29.67057101	27.90103700	-81.85034495	91.42368193	0.00	0.00	0.00	
0.01269531	-29.67057101	27.96504929	-81.85034495	91.44323777	0.00	0.00	0.00	
0.01293945	-29.52415813	27.90103700	-81.77958606	91.31289326	0.00	0.00	0.00	
