Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-79.52415813	54.27410063	13.81567309	97.26583443	52.80	0.00	0.00	
0.00024414	-79.59736457	54.33811292	13.74491420	97.35139253	52.80	0.00	0.00	
0.00048828	-79.67057101	54.27410063	13.67415532	97.36560177	52.80	0.00	0.00	
0.00073242	-79.81698389	54.14607605	13.67415532	97.41422377	52.80	0.00	0.00	
0.00097656	-79.81698389	54.14607605	13.60339643	97.40431645	0.00	0.00	0.00	
0.00122070	-79.81698389	54.08206376	13.60339643	97.36874721	0.00	0.00	0.00	
0.00146484	-79.67057101	54.01805147	13.60339643	97.21317896	0.00	0.00	0.00	
0.00170898	-79.52415813	53.89002689	13.74491420	97.04199807	0.00	0.00	0.00	
0.00195313	-79.52415813	53.82601459	13.67415532	96.99646435	0.00	0.00	0.00	
0.00219727	-79.67057101	53.76200230	13.74491420	97.09106778	0.00	0.00	0.00	
0.00244141	-79.52415813	53.69799001	13.74491420	96.93548640	0.00	0.00	0.00	
0.00268555	-79.52415813	53.69799001	13.74491420	96.93548640	0.00	0.00	0.00	
0.00292969	-79.52415813	53.56996543	13.67415532	96.85460983	0.00	0.00	0.00	
0.00317383	-79.52415813	53.56996543	13.67415532	96.85460983	0.00	0.00	0.00	
0.00341797	-79.59736457	53.50595314	13.60339643	96.86939590	0.00	0.00	0.00	
0.00366211	-79.67057101	53.37792856	13.60339643	96.85894660	0.00	0.00	0.00	
0.00390625	-79.59736457	53.37792856	13.60339643	96.79874017	0.00	0.00	0.00	
0.00415039	-79.59736457	53.37792856	13.46187865	96.77895371	0.00	0.00	0.00	
0.00439453	-79.59736457	53.37792856	13.53263754	96.78882158	0.00	0.00	0.00	
0.00463867	-79.59736457	53.31391627	13.53263754	96.75353427	0.00	0.00	0.00	
0.00488281	-79.59736457	53.18589169	13.60339643	96.69297759	0.00	0.00	0.00	
0.00512695	-79.67057101	53.18589169	13.60339643	96.75324984	0.00	0.00	0.00	
0.00537109	-79.67057101	53.12187940	13.60339643	96.71807665	0.00	0.00	0.00	
0.00561523	-79.67057101	53.18589169	13.60339643	96.75324984	0.00	0.00	0.00	
0.00585938	-79.59736457	53.05786711	13.53263754	96.61268026	0.00	0.00	0.00	
0.00610352	-79.59736457	53.05786711	13.46187865	96.60279440	0.00	0.00	0.00	
0.00634766	-79.59736457	52.92984253	13.46187865	96.53253780	0.00	0.00	0.00	
0.00659180	-79.52415813	52.99385482	13.74491420	96.54720628	0.00	0.00	0.00	
0.00683594	-79.59736457	53.05786711	13.74491420	96.64264263	0.00	0.00	0.00	
0.00708008	-79.59736457	53.05786711	13.74491420	96.64264263	0.00	0.00	0.00	
0.00732422	-79.59736457	53.05786711	13.67415532	96.63260439	0.00	0.00	0.00	
0.00756836	-79.59736457	53.05786711	13.53263754	96.61268026	0.00	0.00	0.00	
0.00781250	-79.74377745	52.99385482	13.39111976	96.67854353	0.00	0.00	0.00	
0.00805664	-79.74377745	52.99385482	13.46187865	96.68836987	0.00	0.00	0.00	
0.00830078	-79.81698389	52.99385482	13.32036087	96.72916613	0.00	0.00	0.00	
0.00854492	-79.74377745	52.99385482	13.46187865	96.68836987	0.00	0.00	0.00	
0.00878906	-79.74377745	52.99385482	13.60339643	96.70817486	0.00	0.00	0.00	
0.00903320	-79.81698389	52.99385482	13.53263754	96.75862672	0.00	0.00	0.00	
0.00927734	-79.74377745	52.92984253	13.53263754	96.66318095	0.00	0.00	0.00	
0.00952148	-79.81698389	53.05786711	13.53263754	96.79370051	0.00	0.00	0.00	
0.00976563	-79.96339678	53.05786711	13.46187865	96.90461425	0.00	0.00	0.00	
0.01000977	-80.03660322	52.99385482	13.32036087	96.91046650	0.00	0.00	0.00	
