Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-49.2740	-50.3109	63.7335	94.9794
1	0.0952	0.1093	0.0615	0.1575
2	0.1018	0.1159	0.0662	0.1679
3	0.0622	0.0388	0.0374	0.0823
4	0.0602	0.0573	0.0626	0.1041
5	0.0959	0.0247	0.0442	0.1084
6	0.0416	0.0171	0.0398	0.0600
7	0.0412	0.0172	0.0299	0.0538
8	0.0114	0.0156	0.0411	0.0454
9	0.0512	0.0099	0.0096	0.0530
10	0.1066	0.0116	0.1401	0.1764
11	0.1088	0.0198	0.1217	0.1644
12	0.0215	0.0243	0.0392	0.0509
13	0.0359	0.0144	0.0234	0.0452
14	0.0068	0.0183	0.0311	0.0367
15	0.0062	0.0223	0.0101	0.0252
16	0.0060	0.0299	0.0172	0.0350
17	0.0193	0.0418	0.0138	0.0481
18	0.0099	0.0084	0.0150	0.0198
19	0.0134	0.0071	0.0196	0.0248
20	0.0106	0.0093	0.0046	0.0148
21	0.0599	0.0117	0.0218	0.0648
22	0.0088	0.0104	0.0079	0.0157
23	0.0100	0.0103	0.0082	0.0165
24	0.0035	0.0055	0.0071	0.0097
25	0.0038	0.0017	0.0017	0.0045
26	0.0083	0.0065	0.0069	0.0126
27	0.0069	0.0036	0.0006	0.0078
28	0.0131	0.0110	0.0071	0.0185
29	0.0108	0.0162	0.0119	0.0228
30	0.0014	0.0103	0.0098	0.0142
31	0.0125	0.0121	0.0069	0.0187
32	0.0034	0.0040	0.0067	0.0085
33	0.0078	0.0048	0.0024	0.0094
34	0.0049	0.0042	0.0081	0.0103
35	0.0036	0.0007	0.0066	0.0075
36	0.0040	0.0027	0.0057	0.0075
37	0.0031	0.0122	0.0074	0.0146
38	0.0060	0.0045	0.0036	0.0083
39	0.0039	0.0025	0.0063	0.0078
40	0.0023	0.0022	0.0048	0.0057
41	0.0011	0.0034	0.0041	0.0054
42	0.0028	0.0053	0.0020	0.0063
43	0.0019	0.0038	0.0011	0.0044
44	0.0007	0.0027	0.0030	0.0041
45	0.0023	0.0056	0.0026	0.0066
46	0.0019	0.0029	0.0067	0.0076
47	0.0047	0.0017	0.0029	0.0057
48	0.0026	0.0024	0.0022	0.0041
49	0.0029	0.0038	0.0035	0.0059
50	0.0041	0.0063	0.0036	0.0084
51	0.0003	0.0037	0.0017	0.0040
52	0.0023	0.0015	0.0046	0.0053
53	0.0012	0.0003	0.0024	0.0027
54	0.0084	0.0011	0.0026	0.0089
55	0.0060	0.0064	0.0018	0.0089
56	0.0024	0.0061	0.0056	0.0086
57	0.0056	0.0164	0.0095	0.0198
58	0.0043	0.0042	0.0010	0.0061
59	0.0044	0.0046	0.0058	0.0087
60	0.0039	0.0038	0.0029	0.0062
61	0.0025	0.0021	0.0031	0.0045
62	0.0015	0.0023	0.0005	0.0028
63	0.0031	0.0007	0.0018	0.0037
64	0.0016	0.0040	0.0019	0.0047
65	0.0047	0.0026	0.0010	0.0054
66	0.0031	0.0025	0.0023	0.0046
67	0.0024	0.0027	0.0026	0.0045
68	0.0014	0.0046	0.0037	0.0061
69	0.0006	0.0016	0.0028	0.0033
70	0.0019	0.0021	0.0035	0.0045
71	0.0021	0.0020	0.0024	0.0037
72	0.0012	0.0035	0.0022	0.0043
73	0.0049	0.0028	0.0031	0.0065
74	0.0021	0.0015	0.0042	0.0050
75	0.0022	0.0024	0.0018	0.0037
76	0.0032	0.0014	0.0035	0.0049
77	0.0022	0.0012	0.0022	0.0034
78	0.0028	0.0013	0.0061	0.0068
79	0.0013	0.0043	0.0038	0.0059
80	0.0029	0.0036	0.0002	0.0046
81	0.0019	0.0016	0.0034	0.0042
82	0.0041	0.0034	0.0012	0.0055
83	0.0020	0.0036	0.0029	0.0050
84	0.0038	0.0032	0.0026	0.0056
85	0.0008	0.0006	0.0012	0.0016
86	0.0034	0.0034	0.0020	0.0052
87	0.0014	0.0013	0.0029	0.0035
88	0.0016	0.0005	0.0041	0.0045
89	0.0038	0.0005	0.0029	0.0048
90	0.0024	0.0027	0.0016	0.0039
91	0.0006	0.0010	0.0027	0.0030
92	0.0024	0.0051	0.0029	0.0063
93	0.0031	0.0015	0.0016	0.0038
94	0.0022	0.0022	0.0014	0.0034
95	0.0021	0.0014	0.0025	0.0036
96	0.0020	0.0033	0.0044	0.0059
97	0.0019	0.0023	0.0027	0.0040
98	0.0021	0.0022	0.0018	0.0036
99	0.0022	0.0026	0.0014	0.0036
100	0.0027	0.0017	0.0012	0.0034
101	0.0012	0.0009	0.0019	0.0024
102	0.0016	0.0018	0.0022	0.0032
103	0.0014	0.0019	0.0041	0.0047
104	0.0019	0.0027	0.0017	0.0037
105	0.0011	0.0012	0.0006	0.0018
106	0.0018	0.0036	0.0015	0.0042
107	0.0017	0.0011	0.0012	0.0024
108	0.0021	0.0012	0.0011	0.0027
109	0.0020	0.0025	0.0028	0.0043
110	0.0023	0.0001	0.0013	0.0026
111	0.0019	0.0007	0.0017	0.0026
112	0.0025	0.0021	0.0028	0.0043
113	0.0010	0.0006	0.0020	0.0023
114	0.0018	0.0026	0.0025	0.0040
115	0.0014	0.0002	0.0016	0.0022
116	0.0028	0.0019	0.0005	0.0034
117	0.0013	0.0022	0.0023	0.0035
118	0.0011	0.0040	0.0013	0.0043
119	0.0026	0.0014	0.0013	0.0033
120	0.0016	0.0013	0.0028	0.0034
121	0.0010	0.0016	0.0011	0.0021
122	0.0020	0.0011	0.0002	0.0022
123	0.0005	0.0020	0.0016	0.0026
124	0.0010	0.0011	0.0024	0.0028
125	0.0037	0.0012	0.0015	0.0042
126	0.0005	0.0007	0.0029	0.0031
127	0.0011	0.0016	0.0016	0.0025
128	0.0021	0.0008	0.0016	0.0028
129	0.0002	0.0021	0.0033	0.0039
130	0.0010	0.0022	0.0011	0.0027
131	0.0011	0.0014	0.0013	0.0022
132	0.0029	0.0005	0.0017	0.0034
133	0.0036	0.0016	0.0026	0.0047
134	0.0033	0.0010	0.0010	0.0036
135	0.0019	0.0005	0.0014	0.0024
136	0.0014	0.0014	0.0021	0.0029
137	0.0007	0.0005	0.0015	0.0017
138	0.0002	0.0028	0.0022	0.0035
139	0.0016	0.0014	0.0011	0.0024
140	0.0006	0.0009	0.0007	0.0013
141	0.0022	0.0004	0.0020	0.0030
142	0.0023	0.0009	0.0016	0.0029
143	0.0018	0.0004	0.0018	0.0026
144	0.0013	0.0007	0.0017	0.0023
145	0.0013	0.0009	0.0028	0.0033
146	0.0012	0.0005	0.0015	0.0020
147	0.0014	0.0018	0.0002	0.0023
148	0.0013	0.0019	0.0007	0.0024
149	0.0024	0.0009	0.0015	0.0030
150	0.0026	0.0008	0.0005	0.0028
151	0.0018	0.0019	0.0015	0.0031
152	0.0012	0.0008	0.0010	0.0017
153	0.0017	0.0019	0.0012	0.0028
154	0.0023	0.0008	0.0006	0.0025
155	0.0004	0.0009	0.0012	0.0015
156	0.0008	0.0015	0.0009	0.0019
157	0.0009	0.0010	0.0013	0.0019
158	0.0008	0.0060	0.0020	0.0064
159	0.0007	0.0007	0.0029	0.0031
160	0.0007	0.0021	0.0022	0.0032
161	0.0017	0.0015	0.0008	0.0024
