Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-48.85065886	-50.45000640	63.91296657	94.95502784	2.11	0.00	0.00	
0.00024414	-48.92386530	-50.45000640	63.91296657	94.99271044	2.11	0.00	0.00	
0.00048828	-48.92386530	-50.45000640	63.91296657	94.99271044	2.11	0.00	0.00	
0.00073242	-48.99707174	-50.38599411	63.98372546	95.04408748	2.11	0.00	0.00	
0.00097656	-48.92386530	-50.45000640	63.98372546	95.04033283	0.00	0.00	0.00	
0.00122070	-49.07027818	-50.38599411	63.98372546	95.08184751	0.00	0.00	0.00	
0.00146484	-48.99707174	-50.45000640	63.91296657	95.03043450	0.00	0.00	0.00	
0.00170898	-49.07027818	-50.45000640	63.91296657	95.06819995	0.00	0.00	0.00	
0.00195313	-48.99707174	-50.38599411	63.98372546	95.04408748	0.00	0.00	0.00	
0.00219727	-48.92386530	-50.38599411	64.05448434	95.05403707	0.00	0.00	0.00	
0.00244141	-48.99707174	-50.45000640	63.91296657	95.03043450	0.00	0.00	0.00	
0.00268555	-48.99707174	-50.38599411	63.84220768	94.94887531	0.00	0.00	0.00	
0.00292969	-48.92386530	-50.51401869	63.91296657	95.02672243	0.00	0.00	0.00	
0.00317383	-48.99707174	-50.45000640	63.84220768	94.98285986	0.00	0.00	0.00	
0.00341797	-48.99707174	-50.38599411	63.98372546	95.04408748	0.00	0.00	0.00	
0.00366211	-49.07027818	-50.45000640	63.91296657	95.06819995	0.00	0.00	0.00	
0.00390625	-48.99707174	-50.45000640	63.91296657	95.03043450	0.00	0.00	0.00	
0.00415039	-48.99707174	-50.45000640	63.91296657	95.03043450	0.00	0.00	0.00	
0.00439453	-48.92386530	-50.38599411	63.91296657	94.95872942	0.00	0.00	0.00	
0.00463867	-48.99707174	-50.38599411	63.91296657	94.99646697	0.00	0.00	0.00	
0.00488281	-49.07027818	-50.38599411	63.84220768	94.98667320	0.00	0.00	0.00	
0.00512695	-48.99707174	-50.38599411	63.91296657	94.99646697	0.00	0.00	0.00	
0.00537109	-48.99707174	-50.38599411	63.91296657	94.99646697	0.00	0.00	0.00	
0.00561523	-48.99707174	-50.32198182	63.91296657	94.96253045	0.00	0.00	0.00	
0.00585938	-48.99707174	-50.38599411	63.84220768	94.94887531	0.00	0.00	0.00	
0.00610352	-48.99707174	-50.32198182	63.84220768	94.91492177	0.00	0.00	0.00	
0.00634766	-49.07027818	-50.25796953	63.84220768	94.91882418	0.00	0.00	0.00	
0.00659180	-49.07027818	-50.45000640	63.91296657	95.06819995	0.00	0.00	0.00	
0.00683594	-49.07027818	-50.32198182	63.84220768	94.95273317	0.00	0.00	0.00	
0.00708008	-49.07027818	-50.32198182	63.84220768	94.95273317	0.00	0.00	0.00	
0.00732422	-49.07027818	-50.25796953	63.84220768	94.91882418	0.00	0.00	0.00	
0.00756836	-49.14348463	-50.32198182	63.77144879	94.94304406	0.00	0.00	0.00	
0.00781250	-49.07027818	-50.38599411	63.84220768	94.98667320	0.00	0.00	0.00	
0.00805664	-49.14348463	-50.32198182	63.77144879	94.94304406	0.00	0.00	0.00	
0.00830078	-49.07027818	-50.25796953	63.77144879	94.87124634	0.00	0.00	0.00	
0.00854492	-49.14348463	-50.32198182	63.84220768	94.99058594	0.00	0.00	0.00	
0.00878906	-49.14348463	-50.32198182	63.77144879	94.94304406	0.00	0.00	0.00	
0.00903320	-49.07027818	-50.32198182	63.77144879	94.90517234	0.00	0.00	0.00	
0.00927734	-49.07027818	-50.32198182	63.84220768	94.95273317	0.00	0.00	0.00	
0.00952148	-49.07027818	-50.25796953	63.84220768	94.91882418	0.00	0.00	0.00	
0.00976563	-49.07027818	-50.25796953	63.77144879	94.87124634	0.00	0.00	0.00	
0.01000977	-49.07027818	-50.38599411	63.84220768	94.98667320	0.00	0.00	0.00	
0.01025391	-49.07027818	-50.32198182	63.77144879	94.90517234	0.00	0.00	0.00	
0.01049805	-49.07027818	-50.32198182	63.70068990	94.85764044	0.00	0.00	0.00	
0.01074219	-49.07027818	-50.38599411	63.91296657	95.03424593	0.00	0.00	0.00	
0.01098633	-49.07027818	-50.38599411	63.84220768	94.98667320	0.00	0.00	0.00	
0.01123047	-49.07027818	-50.32198182	63.84220768	94.95273317	0.00	0.00	0.00	
0.01147461	-49.07027818	-50.25796953	63.77144879	94.87124634	0.00	0.00	0.00	
0.01171875	-49.14348463	-50.25796953	63.77144879	94.90913161	0.00	0.00	0.00	
0.01196289	-49.14348463	-50.25796953	63.84220768	94.95669046	0.00	0.00	0.00	
0.01220703	-49.14348463	-50.25796953	63.84220768	94.95669046	0.00	0.00	0.00	
0.01245117	-49.14348463	-50.32198182	63.77144879	94.94304406	0.00	0.00	0.00	
0.01269531	-49.07027818	-50.32198182	63.84220768	94.95273317	0.00	0.00	0.00	
0.01293945	-49.07027818	-50.32198182	63.91296657	95.00032290	0.00	0.00	0.00	
0.01318359	-49.07027818	-50.38599411	63.77144879	94.93912936	0.00	0.00	0.00	
0.01342773	-48.99707174	-50.25796953	63.77144879	94.83340245	0.00	0.00	0.00	
0.01367188	-49.14348463	-50.38599411	63.70068990	94.92949161	0.00	0.00	0.00	
0.01391602	-49.07027818	-50.32198182	63.77144879	94.90517234	0.00	0.00	0.00	
0.01416016	-49.07027818	-50.32198182	63.77144879	94.90517234	0.00	0.00	0.00	
0.01440430	-49.14348463	-50.38599411	63.77144879	94.97698755	0.00	0.00	0.00	
0.01464844	-49.14348463	-50.25796953	63.70068990	94.86160170	0.00	0.00	0.00	
0.01489258	-49.07027818	-50.38599411	63.70068990	94.89161447	0.00	0.00	0.00	
0.01513672	-49.07027818	-50.32198182	63.77144879	94.90517234	0.00	0.00	0.00	
0.01538086	-49.07027818	-50.32198182	63.77144879	94.90517234	0.00	0.00	0.00	
0.01562500	-49.14348463	-50.32198182	63.77144879	94.94304406	0.00	0.00	0.00	
0.01586914	-49.14348463	-50.32198182	63.84220768	94.99058594	0.00	0.00	0.00	
0.01611328	-49.14348463	-50.38599411	63.70068990	94.92949161	0.00	0.00	0.00	
0.01635742	-49.14348463	-50.25796953	63.62993101	94.81410076	0.00	0.00	0.00	
0.01660156	-49.07027818	-50.32198182	63.70068990	94.85764044	0.00	0.00	0.00	
0.01684570	-49.14348463	-50.32198182	63.70068990	94.89553113	0.00	0.00	0.00	
0.01708984	-49.07027818	-50.25796953	63.70068990	94.82369744	0.00	0.00	0.00	
