Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-37.8745	-21.0024	-100.6024	109.5282
1	0.1641	0.3396	0.3868	0.5402
2	0.3206	0.2464	0.4403	0.5978
3	0.4948	0.4751	0.4905	0.8433
4	0.3393	0.2141	0.1590	0.4316
5	0.1252	0.1073	0.0834	0.1848
6	0.2048	0.1684	0.2015	0.3331
7	0.3128	0.0468	0.2380	0.3958
8	0.0963	0.2211	0.0562	0.2476
9	0.0670	0.1360	0.0375	0.1561
10	0.0936	0.1398	0.1040	0.1977
11	0.1137	0.0758	0.1092	0.1750
12	0.0516	0.0585	0.0627	0.1001
13	0.1014	0.1158	0.0057	0.1540
14	0.0396	0.0339	0.0649	0.0833
15	0.0578	0.0199	0.0565	0.0832
16	0.0416	0.0098	0.0200	0.0472
17	0.0067	0.0007	0.0216	0.0227
18	0.0557	0.0117	0.0192	0.0601
19	0.0182	0.0103	0.0444	0.0491
20	0.0286	0.0110	0.0158	0.0345
21	0.0169	0.0086	0.0416	0.0457
22	0.0163	0.0064	0.0222	0.0282
23	0.0244	0.0039	0.0089	0.0262
24	0.0134	0.0117	0.0081	0.0196
25	0.0140	0.0097	0.0247	0.0300
26	0.0169	0.0056	0.0361	0.0402
27	0.0132	0.0018	0.0107	0.0171
28	0.0344	0.0076	0.0100	0.0366
29	0.0473	0.0111	0.0622	0.0789
30	0.0149	0.0069	0.0186	0.0248
31	0.0129	0.0022	0.0263	0.0294
32	0.0143	0.0037	0.0278	0.0315
33	0.0248	0.0062	0.0612	0.0664
34	0.0315	0.0083	0.0456	0.0560
35	0.0275	0.0054	0.0218	0.0355
36	0.0129	0.0081	0.0122	0.0195
37	0.0161	0.0038	0.0226	0.0280
38	0.0117	0.0038	0.0216	0.0249
39	0.0052	0.0054	0.0096	0.0122
40	0.0100	0.0044	0.0128	0.0168
41	0.0114	0.0015	0.0213	0.0242
42	0.0088	0.0026	0.0031	0.0097
43	0.0111	0.0043	0.0249	0.0276
44	0.0161	0.0050	0.0134	0.0215
45	0.0038	0.0049	0.0029	0.0068
46	0.0085	0.0038	0.0185	0.0207
47	0.0143	0.0015	0.0175	0.0226
48	0.0044	0.0075	0.0027	0.0091
49	0.0138	0.0083	0.0166	0.0231
50	0.0383	0.0150	0.0281	0.0498
51	0.0058	0.0013	0.0042	0.0073
52	0.0060	0.0042	0.0130	0.0149
53	0.0087	0.0061	0.0141	0.0177
54	0.0058	0.0119	0.0084	0.0157
55	0.0330	0.0058	0.0074	0.0343
56	0.0063	0.0032	0.0061	0.0093
57	0.0319	0.0127	0.0207	0.0401
58	0.0028	0.0017	0.0125	0.0129
59	0.0024	0.0026	0.0155	0.0159
60	0.0037	0.0056	0.0038	0.0077
61	0.0125	0.0039	0.0100	0.0164
62	0.0037	0.0017	0.0056	0.0069
63	0.0059	0.0029	0.0071	0.0097
64	0.0132	0.0001	0.0164	0.0210
65	0.0035	0.0036	0.0092	0.0105
66	0.0047	0.0039	0.0064	0.0088
67	0.0246	0.0049	0.0518	0.0575
68	0.0088	0.0035	0.0051	0.0107
69	0.0044	0.0022	0.0069	0.0085
70	0.0076	0.0043	0.0100	0.0133
71	0.0049	0.0007	0.0045	0.0067
72	0.0054	0.0027	0.0106	0.0122
73	0.0181	0.0034	0.0023	0.0185
74	0.0048	0.0031	0.0154	0.0164
75	0.0040	0.0026	0.0027	0.0055
76	0.0064	0.0022	0.0086	0.0109
77	0.0027	0.0014	0.0065	0.0072
78	0.0053	0.0026	0.0060	0.0084
79	0.0046	0.0005	0.0081	0.0093
80	0.0031	0.0019	0.0034	0.0050
81	0.0048	0.0021	0.0043	0.0068
82	0.0050	0.0022	0.0049	0.0074
83	0.0069	0.0014	0.0026	0.0075
84	0.0052	0.0019	0.0040	0.0068
85	0.0084	0.0026	0.0079	0.0118
86	0.0069	0.0024	0.0106	0.0129
87	0.0026	0.0027	0.0048	0.0061
88	0.0035	0.0023	0.0092	0.0101
89	0.0026	0.0009	0.0030	0.0041
90	0.0034	0.0009	0.0085	0.0092
91	0.0029	0.0016	0.0077	0.0084
92	0.0100	0.0035	0.0030	0.0110
93	0.0080	0.0013	0.0107	0.0134
94	0.0031	0.0024	0.0078	0.0088
95	0.0042	0.0015	0.0096	0.0106
96	0.0025	0.0026	0.0038	0.0053
97	0.0063	0.0014	0.0102	0.0121
98	0.0063	0.0011	0.0115	0.0132
99	0.0070	0.0009	0.0189	0.0202
100	0.0194	0.0019	0.0361	0.0410
101	0.0255	0.0071	0.0521	0.0584
102	0.0087	0.0039	0.0219	0.0239
103	0.0067	0.0008	0.0101	0.0122
104	0.0040	0.0033	0.0055	0.0075
105	0.0081	0.0017	0.0084	0.0118
106	0.0078	0.0034	0.0146	0.0169
107	0.0054	0.0018	0.0059	0.0082
108	0.0044	0.0026	0.0066	0.0083
109	0.0051	0.0014	0.0083	0.0098
110	0.0047	0.0026	0.0016	0.0056
111	0.0021	0.0010	0.0056	0.0061
112	0.0030	0.0006	0.0013	0.0033
113	0.0038	0.0009	0.0019	0.0044
114	0.0066	0.0022	0.0126	0.0144
115	0.0057	0.0011	0.0034	0.0067
116	0.0027	0.0030	0.0023	0.0046
117	0.0035	0.0017	0.0043	0.0058
118	0.0032	0.0012	0.0054	0.0064
119	0.0020	0.0008	0.0057	0.0061
120	0.0030	0.0007	0.0034	0.0046
121	0.0026	0.0021	0.0047	0.0057
122	0.0017	0.0009	0.0039	0.0044
123	0.0037	0.0019	0.0028	0.0050
124	0.0036	0.0019	0.0043	0.0059
125	0.0005	0.0003	0.0026	0.0027
126	0.0014	0.0024	0.0022	0.0035
127	0.0045	0.0013	0.0051	0.0069
128	0.0020	0.0016	0.0035	0.0043
129	0.0010	0.0020	0.0018	0.0029
130	0.0037	0.0004	0.0061	0.0072
131	0.0016	0.0014	0.0034	0.0040
132	0.0025	0.0021	0.0026	0.0041
133	0.0007	0.0005	0.0034	0.0035
134	0.0059	0.0007	0.0101	0.0118
135	0.0031	0.0023	0.0059	0.0070
136	0.0039	0.0022	0.0086	0.0097
137	0.0035	0.0011	0.0047	0.0059
138	0.0018	0.0006	0.0029	0.0035
139	0.0018	0.0027	0.0042	0.0053
140	0.0026	0.0017	0.0064	0.0071
141	0.0015	0.0013	0.0035	0.0040
142	0.0021	0.0019	0.0029	0.0040
143	0.0018	0.0025	0.0034	0.0046
144	0.0036	0.0015	0.0082	0.0091
145	0.0004	0.0034	0.0059	0.0069
146	0.0030	0.0005	0.0045	0.0054
147	0.0050	0.0007	0.0021	0.0055
148	0.0024	0.0021	0.0048	0.0058
149	0.0027	0.0020	0.0005	0.0033
150	0.0064	0.0003	0.0052	0.0082
151	0.0044	0.0018	0.0048	0.0067
152	0.0038	0.0019	0.0034	0.0055
153	0.0036	0.0019	0.0046	0.0062
154	0.0029	0.0017	0.0088	0.0095
155	0.0024	0.0029	0.0077	0.0086
156	0.0043	0.0018	0.0045	0.0065
157	0.0028	0.0012	0.0055	0.0063
158	0.0052	0.0037	0.0083	0.0105
159	0.0020	0.0032	0.0038	0.0053
160	0.0021	0.0023	0.0028	0.0042
161	0.0008	0.0011	0.0039	0.0041
162	0.0042	0.0006	0.0060	0.0073
163	0.0035	0.0022	0.0027	0.0050
164	0.0010	0.0010	0.0017	0.0022
165	0.0014	0.0010	0.0035	0.0039
166	0.0025	0.0009	0.0048	0.0055
167	0.0032	0.0003	0.0039	0.0051
