Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-37.06442167	-20.49225451	-99.75234389	108.37081692	15.90	0.00	0.00	
0.00024414	-36.91800878	-20.62027909	-99.75234389	108.34512169	15.90	0.00	0.00	
0.00048828	-36.99121523	-20.62027909	-99.82310278	108.43522381	15.90	0.00	0.00	
0.00073242	-36.99121523	-20.55626680	-99.89386167	108.48821921	15.90	0.00	0.00	
0.00097656	-36.91800878	-20.55626680	-99.82310278	108.39811495	0.00	0.00	0.00	
0.00122070	-36.84480234	-20.62027909	-99.82310278	108.38536441	0.00	0.00	0.00	
0.00146484	-36.84480234	-20.55626680	-99.82310278	108.37320431	0.00	0.00	0.00	
0.00170898	-36.84480234	-20.62027909	-99.68158500	108.25504033	0.00	0.00	0.00	
0.00195313	-36.77159590	-20.55626680	-99.46930833	108.02246836	0.00	0.00	0.00	
0.00219727	-36.69838946	-20.55626680	-99.39854944	107.93240257	0.00	0.00	0.00	
0.00244141	-36.69838946	-20.49225451	-99.46930833	107.98540449	0.00	0.00	0.00	
0.00268555	-36.69838946	-20.49225451	-99.61082611	108.11577573	0.00	0.00	0.00	
0.00292969	-36.77159590	-20.62027909	-99.68158500	108.23014628	0.00	0.00	0.00	
0.00317383	-36.77159590	-20.55626680	-99.68158500	108.21796874	0.00	0.00	0.00	
0.00341797	-36.69838946	-20.49225451	-99.75234389	108.24617497	0.00	0.00	0.00	
0.00366211	-36.77159590	-20.55626680	-99.82310278	108.34833740	0.00	0.00	0.00	
0.00390625	-36.69838946	-20.49225451	-99.82310278	108.31138505	0.00	0.00	0.00	
0.00415039	-36.77159590	-20.55626680	-99.82310278	108.34833740	0.00	0.00	0.00	
0.00439453	-36.69838946	-20.49225451	-99.89386167	108.37660210	0.00	0.00	0.00	
0.00463867	-36.62518302	-20.55626680	-99.75234389	108.23351721	0.00	0.00	0.00	
0.00488281	-36.55197657	-20.62027909	-99.75234389	108.22094535	0.00	0.00	0.00	
0.00512695	-36.62518302	-20.62027909	-99.82310278	108.31090337	0.00	0.00	0.00	
0.00537109	-36.62518302	-20.62027909	-99.89386167	108.37612071	0.00	0.00	0.00	
0.00561523	-36.62518302	-20.55626680	-99.89386167	108.36395957	0.00	0.00	0.00	
0.00585938	-36.55197657	-20.55626680	-99.96462056	108.40448542	0.00	0.00	0.00	
0.00610352	-36.55197657	-20.42824222	-100.03537944	108.44554953	0.00	0.00	0.00	
0.00634766	-36.62518302	-20.55626680	-100.03537944	108.49442970	0.00	0.00	0.00	
0.00659180	-36.69838946	-20.49225451	-100.17689722	108.63753965	0.00	0.00	0.00	
0.00683594	-36.77159590	-20.49225451	-100.24765611	108.72752787	0.00	0.00	0.00	
0.00708008	-36.77159590	-20.42824222	-100.17689722	108.65023738	0.00	0.00	0.00	
0.00732422	-36.69838946	-20.42824222	-100.17689722	108.62548323	0.00	0.00	0.00	
0.00756836	-36.69838946	-20.42824222	-99.96462056	108.42974791	0.00	0.00	0.00	
0.00781250	-36.62518302	-20.42824222	-99.96462056	108.40499285	0.00	0.00	0.00	
0.00805664	-36.69838946	-20.42824222	-99.96462056	108.42974791	0.00	0.00	0.00	
0.00830078	-36.62518302	-20.42824222	-99.89386167	108.33974668	0.00	0.00	0.00	
0.00854492	-36.62518302	-20.42824222	-99.89386167	108.33974668	0.00	0.00	0.00	
0.00878906	-36.62518302	-20.42824222	-99.82310278	108.27450743	0.00	0.00	0.00	
0.00903320	-36.69838946	-20.49225451	-99.89386167	108.37660210	0.00	0.00	0.00	
0.00927734	-36.69838946	-20.42824222	-99.96462056	108.42974791	0.00	0.00	0.00	
0.00952148	-36.62518302	-20.49225451	-99.89386167	108.35183489	0.00	0.00	0.00	
0.00976563	-36.69838946	-20.55626680	-100.03537944	108.51916436	0.00	0.00	0.00	
