Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-34.4111	-31.3969	-100.0614	110.3729
1	0.1463	0.0161	0.1584	0.2163
2	0.0258	0.0069	0.0669	0.0720
3	0.0147	0.0347	0.0258	0.0457
4	0.0231	0.0328	0.0385	0.0556
5	0.0319	0.0275	0.0163	0.0452
6	0.0189	0.0188	0.0157	0.0309
7	0.0150	0.0352	0.0154	0.0413
8	0.0375	0.0224	0.0434	0.0615
9	0.0534	0.0572	0.0283	0.0833
10	0.1023	0.1691	0.0229	0.1990
11	0.1181	0.2027	0.0388	0.2378
12	0.0401	0.0654	0.0188	0.0790
13	0.0371	0.0344	0.0075	0.0511
14	0.0253	0.0235	0.0192	0.0395
15	0.0398	0.0259	0.0135	0.0494
16	0.1122	0.0259	0.0239	0.1176
17	0.2368	0.0104	0.0781	0.2496
18	0.0413	0.0034	0.0413	0.0584
19	0.0369	0.0102	0.0238	0.0451
20	0.0030	0.0158	0.0117	0.0199
21	0.0594	0.1307	0.0642	0.1573
22	0.0264	0.0125	0.0233	0.0374
23	0.0180	0.0067	0.0107	0.0219
24	0.0124	0.0068	0.0047	0.0149
25	0.0131	0.0014	0.0013	0.0132
26	0.0149	0.0040	0.0169	0.0228
27	0.0081	0.0036	0.0042	0.0098
28	0.0341	0.0062	0.0370	0.0507
29	0.0336	0.0086	0.0358	0.0498
30	0.0240	0.0045	0.0359	0.0434
31	0.0083	0.0103	0.0179	0.0223
32	0.0272	0.0269	0.0326	0.0503
33	0.0148	0.0093	0.0529	0.0557
34	0.0350	0.0073	0.0433	0.0561
35	0.0177	0.0047	0.0143	0.0233
36	0.0125	0.0048	0.0210	0.0249
37	0.0141	0.0041	0.0182	0.0234
38	0.0083	0.0024	0.0063	0.0107
39	0.0027	0.0045	0.0025	0.0058
40	0.0063	0.0003	0.0081	0.0102
41	0.0022	0.0058	0.0050	0.0080
42	0.0115	0.0044	0.0037	0.0129
43	0.0065	0.0025	0.0026	0.0075
44	0.0058	0.0024	0.0040	0.0075
45	0.0024	0.0007	0.0083	0.0087
46	0.0064	0.0016	0.0108	0.0126
47	0.0052	0.0029	0.0057	0.0082
48	0.0039	0.0025	0.0043	0.0063
49	0.0040	0.0010	0.0031	0.0052
50	0.0026	0.0025	0.0084	0.0091
51	0.0040	0.0024	0.0056	0.0073
52	0.0111	0.0023	0.0031	0.0117
53	0.0070	0.0037	0.0032	0.0085
54	0.0087	0.0071	0.0093	0.0145
55	0.0152	0.0073	0.0158	0.0231
56	0.0104	0.0035	0.0067	0.0129
57	0.0280	0.0065	0.0273	0.0397
58	0.0104	0.0026	0.0023	0.0110
59	0.0079	0.0025	0.0017	0.0085
60	0.0076	0.0006	0.0039	0.0086
61	0.0047	0.0012	0.0034	0.0059
62	0.0022	0.0023	0.0067	0.0074
63	0.0019	0.0006	0.0013	0.0024
64	0.0084	0.0013	0.0026	0.0089
65	0.0014	0.0042	0.0045	0.0063
66	0.0033	0.0003	0.0013	0.0036
67	0.0236	0.0071	0.0451	0.0514
68	0.0031	0.0016	0.0050	0.0061
69	0.0024	0.0014	0.0017	0.0033
70	0.0031	0.0020	0.0004	0.0037
71	0.0043	0.0035	0.0042	0.0070
72	0.0054	0.0020	0.0040	0.0070
73	0.0081	0.0041	0.0067	0.0112
74	0.0028	0.0038	0.0059	0.0075
75	0.0021	0.0011	0.0086	0.0089
76	0.0007	0.0037	0.0064	0.0074
77	0.0020	0.0039	0.0016	0.0047
78	0.0031	0.0037	0.0037	0.0061
79	0.0031	0.0012	0.0007	0.0034
80	0.0023	0.0009	0.0035	0.0043
81	0.0045	0.0019	0.0022	0.0054
82	0.0040	0.0025	0.0021	0.0052
83	0.0036	0.0016	0.0021	0.0044
84	0.0086	0.0038	0.0023	0.0097
85	0.0077	0.0039	0.0053	0.0101
86	0.0062	0.0018	0.0070	0.0095
87	0.0042	0.0014	0.0051	0.0068
88	0.0046	0.0011	0.0016	0.0050
89	0.0047	0.0020	0.0025	0.0057
90	0.0040	0.0017	0.0019	0.0047
91	0.0040	0.0031	0.0027	0.0058
92	0.0125	0.0021	0.0125	0.0178
93	0.0073	0.0015	0.0056	0.0093
94	0.0036	0.0007	0.0020	0.0041
95	0.0024	0.0016	0.0060	0.0067
96	0.0022	0.0035	0.0063	0.0075
97	0.0036	0.0016	0.0084	0.0092
98	0.0046	0.0016	0.0110	0.0120
99	0.0093	0.0015	0.0174	0.0198
100	0.0274	0.0080	0.0572	0.0640
101	0.0311	0.0094	0.0607	0.0688
102	0.0121	0.0047	0.0192	0.0232
103	0.0095	0.0037	0.0179	0.0206
104	0.0031	0.0032	0.0105	0.0114
