Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-34.13616398	-31.37434387	-99.46930833	109.74411349	11.26	0.00	0.00	
0.00024414	-34.28257687	-31.31033158	-99.68158500	109.96385919	11.26	0.00	0.00	
0.00048828	-34.35578331	-31.31033158	-99.68158500	109.98670419	11.26	0.00	0.00	
0.00073242	-34.20937042	-31.43835616	-99.54006722	109.84933430	11.26	0.00	0.00	
0.00097656	-34.13616398	-31.37434387	-99.32779055	109.61586163	0.00	0.00	0.00	
0.00122070	-34.06295754	-31.31033158	-99.32779055	109.57477774	0.00	0.00	0.00	
0.00146484	-34.13616398	-31.31033158	-99.39854944	109.66168969	0.00	0.00	0.00	
0.00170898	-34.06295754	-31.31033158	-99.32779055	109.57477774	0.00	0.00	0.00	
0.00195313	-34.06295754	-31.31033158	-99.25703166	109.51064001	0.00	0.00	0.00	
0.00219727	-34.06295754	-31.37434387	-99.18627278	109.46484019	0.00	0.00	0.00	
0.00244141	-34.06295754	-31.31033158	-99.32779055	109.57477774	0.00	0.00	0.00	
0.00268555	-34.06295754	-31.37434387	-99.46930833	109.72136451	0.00	0.00	0.00	
0.00292969	-34.13616398	-31.37434387	-99.61082611	109.87239791	0.00	0.00	0.00	
0.00317383	-34.13616398	-31.37434387	-99.75234389	110.00071480	0.00	0.00	0.00	
0.00341797	-34.20937042	-31.37434387	-99.75234389	110.02345472	0.00	0.00	0.00	
0.00366211	-34.20937042	-31.31033158	-99.82310278	110.06938601	0.00	0.00	0.00	
0.00390625	-34.06295754	-31.31033158	-99.89386167	110.08817166	0.00	0.00	0.00	
0.00415039	-34.13616398	-31.31033158	-99.68158500	109.91830122	0.00	0.00	0.00	
0.00439453	-33.98975110	-31.31033158	-99.75234389	109.93711909	0.00	0.00	0.00	
0.00463867	-34.06295754	-31.31033158	-99.82310278	110.02396915	0.00	0.00	0.00	
0.00488281	-34.06295754	-31.24631929	-99.96462056	110.13420408	0.00	0.00	0.00	
0.00512695	-34.13616398	-31.31033158	-100.10613833	110.30346090	0.00	0.00	0.00	
0.00537109	-34.06295754	-31.24631929	-99.96462056	110.13420408	0.00	0.00	0.00	
0.00561523	-34.06295754	-31.31033158	-99.89386167	110.08817166	0.00	0.00	0.00	
0.00585938	-33.91654466	-31.31033158	-99.75234389	109.91450758	0.00	0.00	0.00	
0.00610352	-33.91654466	-31.24631929	-99.89386167	110.02476116	0.00	0.00	0.00	
0.00634766	-33.91654466	-31.24631929	-99.82310278	109.96052164	0.00	0.00	0.00	
0.00659180	-33.84333821	-31.24631929	-99.68158500	109.80948228	0.00	0.00	0.00	
0.00683594	-33.84333821	-31.24631929	-99.68158500	109.80948228	0.00	0.00	0.00	
0.00708008	-33.84333821	-31.24631929	-99.68158500	109.80948228	0.00	0.00	0.00	
0.00732422	-33.84333821	-31.24631929	-99.68158500	109.80948228	0.00	0.00	0.00	
0.00756836	-33.84333821	-31.24631929	-99.54006722	109.68103297	0.00	0.00	0.00	
0.00781250	-33.69692533	-31.24631929	-99.54006722	109.63594405	0.00	0.00	0.00	
0.00805664	-33.62371889	-31.31033158	-99.46930833	109.56748895	0.00	0.00	0.00	
0.00830078	-33.69692533	-31.31033158	-99.54006722	109.65420477	0.00	0.00	0.00	
0.00854492	-33.69692533	-31.24631929	-99.61082611	109.70019109	0.00	0.00	0.00	
0.00878906	-33.55051245	-31.31033158	-99.61082611	109.67356303	0.00	0.00	0.00	
0.00903320	-33.62371889	-31.24631929	-99.61082611	109.67772618	0.00	0.00	0.00	
0.00927734	-33.55051245	-31.31033158	-99.46930833	109.54504575	0.00	0.00	0.00	
0.00952148	-33.55051245	-31.24631929	-99.54006722	109.59103219	0.00	0.00	0.00	
0.00976563	-33.62371889	-31.31033158	-99.75234389	109.82450294	0.00	0.00	0.00	
0.01000977	-33.69692533	-31.31033158	-99.89386167	109.97546653	0.00	0.00	0.00	
0.01025391	-33.84333821	-31.31033158	-99.96462056	110.08466636	0.00	0.00	0.00	
0.01049805	-33.77013177	-31.37434387	-99.89386167	110.01615723	0.00	0.00	0.00	
0.01074219	-33.77013177	-31.37434387	-99.96462056	110.08040977	0.00	0.00	0.00	
0.01098633	-33.62371889	-31.31033158	-99.75234389	109.82450294	0.00	0.00	0.00	
0.01123047	-33.55051245	-31.31033158	-99.54006722	109.60930039	0.00	0.00	0.00	
0.01147461	-33.47730600	-31.37434387	-99.46930833	109.54096389	0.00	0.00	0.00	
0.01171875	-33.55051245	-31.37434387	-99.46930833	109.56335902	0.00	0.00	0.00	
0.01196289	-33.62371889	-31.37434387	-99.54006722	109.65002922	0.00	0.00	0.00	
0.01220703	-33.62371889	-31.37434387	-99.61082611	109.71426800	0.00	0.00	0.00	
0.01245117	-33.55051245	-31.31033158	-99.54006722	109.60930039	0.00	0.00	0.00	
0.01269531	-33.47730600	-31.37434387	-99.39854944	109.47671489	0.00	0.00	0.00	
0.01293945	-33.62371889	-31.37434387	-99.46930833	109.58579847	0.00	0.00	0.00	
0.01318359	-33.77013177	-31.43835616	-99.82310278	109.97019545	0.00	0.00	0.00	
0.01342773	-33.84333821	-31.37434387	-99.82310278	109.97441904	0.00	0.00	0.00	
0.01367188	-33.84333821	-31.50236845	-99.82310278	110.01101130	0.00	0.00	0.00	
0.01391602	-33.77013177	-31.43835616	-99.82310278	109.97019545	0.00	0.00	0.00	
0.01416016	-33.91654466	-31.43835616	-99.82310278	110.01524480	0.00	0.00	0.00	
0.01440430	-33.91654466	-31.43835616	-99.96462056	110.14366801	0.00	0.00	0.00	
0.01464844	-33.84333821	-31.37434387	-99.89386167	110.03865045	0.00	0.00	0.00	
0.01489258	-33.84333821	-31.43835616	-99.89386167	110.05691881	0.00	0.00	0.00	
0.01513672	-33.77013177	-31.50236845	-99.82310278	109.98851243	0.00	0.00	0.00	
0.01538086	-33.84333821	-31.43835616	-99.89386167	110.05691881	0.00	0.00	0.00	
0.01562500	-33.84333821	-31.43835616	-99.89386167	110.05691881	0.00	0.00	0.00	
0.01586914	-33.77013177	-31.50236845	-99.75234389	109.92429727	0.00	0.00	0.00	
0.01611328	-33.62371889	-31.43835616	-99.75234389	109.86107055	0.00	0.00	0.00	
0.01635742	-33.62371889	-31.37434387	-99.61082611	109.71426800	0.00	0.00	0.00	
0.01660156	-33.77013177	-31.43835616	-99.82310278	109.97019545	0.00	0.00	0.00	
0.01684570	-33.77013177	-31.43835616	-99.89386167	110.03442932	0.00	0.00	0.00	
0.01708984	-33.84333821	-31.43835616	-99.75234389	109.92848535	0.00	0.00	0.00	
0.01733398	-33.77013177	-31.43835616	-99.75234389	109.90596958	0.00	0.00	0.00	
0.01757813	-33.77013177	-31.50236845	-99.68158500	109.86009014	0.00	0.00	0.00	
0.01782227	-33.84333821	-31.50236845	-99.68158500	109.88261531	0.00	0.00	0.00	
0.01806641	-33.77013177	-31.50236845	-99.61082611	109.79589107	0.00	0.00	0.00	
0.01831055	-33.69692533	-31.50236845	-99.54006722	109.70919277	0.00	0.00	0.00	
0.01855469	-33.69692533	-31.43835616	-99.46930833	109.62662229	0.00	0.00	0.00	
0.01879883	-33.69692533	-31.50236845	-99.54006722	109.70919277	0.00	0.00	0.00	
0.01904297	-33.69692533	-31.56638075	-99.54006722	109.72759066	0.00	0.00	0.00	
0.01928711	-33.84333821	-31.50236845	-99.61082611	109.81842941	0.00	0.00	0.00	
0.01953125	-33.84333821	-31.50236845	-99.75234389	109.94680928	0.00	0.00	0.00	
0.01977539	-33.84333821	-31.63039304	-99.82310278	110.04774034	0.00	0.00	0.00	
0.02001953	-33.84333821	-31.63039304	-100.03537944	110.24033040	0.00	0.00	0.00	
0.02026367	-33.98975110	-31.69440533	-100.10613833	110.36791853	0.00	0.00	0.00	
0.02050781	-33.98975110	-31.63039304	-100.10613833	110.34955313	0.00	0.00	0.00	
0.02075195	-33.84333821	-31.63039304	-99.96462056	110.17612567	0.00	0.00	0.00	
0.02099609	-33.84333821	-31.63039304	-99.75234389	109.98355975	0.00	0.00	0.00	
0.02124023	-33.84333821	-31.56638075	-99.75234389	109.96516742	0.00	0.00	0.00	
0.02148438	-33.91654466	-31.63039304	-99.68158500	109.94194901	0.00	0.00	0.00	
0.02172852	-33.84333821	-31.63039304	-99.61082611	109.85522283	0.00	0.00	0.00	
0.02197266	-33.84333821	-31.56638075	-99.46930833	109.70848297	0.00	0.00	0.00	
0.02221680	-33.69692533	-31.63039304	-99.46930833	109.68184827	0.00	0.00	0.00	
0.02246094	-33.84333821	-31.56638075	-99.54006722	109.77264193	0.00	0.00	0.00	
0.02270508	-33.77013177	-31.63039304	-99.54006722	109.76852256	0.00	0.00	0.00	
0.02294922	-33.84333821	-31.63039304	-99.68158500	109.91938725	0.00	0.00	0.00	
0.02319336	-33.91654466	-31.69440533	-99.75234389	110.02453109	0.00	0.00	0.00	
0.02343750	-34.06295754	-31.63039304	-99.82310278	110.11547888	0.00	0.00	0.00	
0.02368164	-34.13616398	-31.75841762	-99.89386167	110.23909642	0.00	0.00	0.00	
0.02392578	-34.13616398	-31.75841762	-99.96462056	110.30321910	0.00	0.00	0.00	
0.02416992	-34.06295754	-31.75841762	-99.96462056	110.28058546	0.00	0.00	0.00	
0.02441406	-33.98975110	-31.69440533	-99.96462056	110.23957489	0.00	0.00	0.00	
0.02465820	-34.20937042	-31.75841762	-99.96462056	110.32589667	0.00	0.00	0.00	
0.02490234	-34.13616398	-31.69440533	-100.03537944	110.34894726	0.00	0.00	0.00	
0.02514648	-34.20937042	-31.69440533	-99.96462056	110.30748713	0.00	0.00	0.00	
0.02539063	-34.20937042	-31.69440533	-99.89386167	110.24336693	0.00	0.00	0.00	
0.02563477	-33.98975110	-31.75841762	-99.75234389	110.06557309	0.00	0.00	0.00	
0.02587891	-33.98975110	-31.69440533	-99.68158500	109.98298458	0.00	0.00	0.00	
0.02612305	-33.98975110	-31.75841762	-99.68158500	110.00144843	0.00	0.00	0.00	
0.02636719	-33.98975110	-31.75841762	-99.54006722	109.87322354	0.00	0.00	0.00	
0.02661133	-33.98975110	-31.75841762	-99.61082611	109.93733191	0.00	0.00	0.00	
0.02685547	-33.91654466	-31.75841762	-99.54006722	109.85059888	0.00	0.00	0.00	
0.02709961	-33.91654466	-31.75841762	-99.68158500	109.97885014	0.00	0.00	0.00	
0.02734375	-33.98975110	-31.82242991	-99.75234389	110.08406032	0.00	0.00	0.00	
0.02758789	-33.98975110	-31.88644220	-99.61082611	109.97438363	0.00	0.00	0.00	
