Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	149.3467	-148.8024	21.8391	211.9517
1	9.4659	2.4733	1.2394	9.8618
2	5.3009	1.4833	0.1386	5.5062
3	2.2721	0.5724	0.2628	2.3578
4	1.7758	0.4198	0.3624	1.8604
5	1.2083	0.3441	0.2749	1.2861
6	1.1829	0.2536	0.2057	1.2272
7	1.4976	0.3507	0.2195	1.5537
8	1.2115	0.3275	0.0299	1.2553
9	1.1121	0.3228	0.0625	1.1596
10	1.1070	0.3126	0.0360	1.1509
11	0.8176	0.2156	0.0531	0.8473
12	0.6048	0.1317	0.0918	0.6257
13	0.6385	0.1700	0.1025	0.6686
14	0.6071	0.1518	0.0883	0.6320
15	0.5247	0.1467	0.1239	0.5588
16	0.5786	0.1195	0.1001	0.5992
17	0.4304	0.1053	0.0600	0.4471
18	0.4976	0.1294	0.0326	0.5152
19	0.4764	0.1298	0.0158	0.4940
20	0.3868	0.1013	0.0347	0.4013
21	0.3541	0.1064	0.0074	0.3698
22	0.3535	0.0937	0.0373	0.3676
23	0.3814	0.1071	0.0266	0.3970
24	0.3236	0.0984	0.0331	0.3399
25	0.3424	0.0962	0.0235	0.3565
26	0.3443	0.0795	0.0421	0.3558
27	0.2805	0.0644	0.0538	0.2928
28	0.3258	0.0881	0.0162	0.3379
29	0.3176	0.0829	0.0581	0.3333
30	0.3046	0.0808	0.0247	0.3161
31	0.2717	0.0732	0.0320	0.2833
32	0.2732	0.0753	0.0171	0.2839
33	0.2684	0.0730	0.0089	0.2783
34	0.2518	0.0653	0.0296	0.2618
35	0.2597	0.0747	0.0134	0.2706
36	0.2509	0.0706	0.0252	0.2619
37	0.2430	0.0645	0.0154	0.2519
38	0.2493	0.0690	0.0308	0.2605
39	0.2117	0.0565	0.0241	0.2204
40	0.2202	0.0615	0.0152	0.2291
41	0.2049	0.0546	0.0155	0.2126
42	0.2100	0.0548	0.0168	0.2177
43	0.1887	0.0507	0.0165	0.1961
44	0.1891	0.0508	0.0161	0.1965
45	0.1820	0.0494	0.0112	0.1889
46	0.1641	0.0460	0.0198	0.1715
47	0.1789	0.0488	0.0188	0.1863
48	0.1675	0.0480	0.0149	0.1748
49	0.1786	0.0478	0.0146	0.1855
50	0.1740	0.0461	0.0224	0.1814
51	0.1537	0.0426	0.0092	0.1597
52	0.1622	0.0400	0.0134	0.1676
53	0.1531	0.0422	0.0134	0.1594
54	0.1572	0.0433	0.0076	0.1633
55	0.1459	0.0407	0.0136	0.1521
56	0.1547	0.0419	0.0083	0.1605
57	0.1410	0.0394	0.0161	0.1473
58	0.1405	0.0371	0.0133	0.1460
59	0.1407	0.0345	0.0090	0.1451
60	0.1548	0.0418	0.0119	0.1608
61	0.1472	0.0395	0.0104	0.1527
62	0.1417	0.0384	0.0164	0.1477
63	0.1222	0.0321	0.0089	0.1267
64	0.1390	0.0356	0.0096	0.1438
65	0.1346	0.0365	0.0106	0.1399
66	0.1343	0.0354	0.0124	0.1395
67	0.1268	0.0335	0.0078	0.1314
68	0.1261	0.0352	0.0066	0.1311
69	0.1311	0.0355	0.0107	0.1362
70	0.1254	0.0332	0.0052	0.1299
71	0.1251	0.0325	0.0095	0.1296
72	0.1202	0.0335	0.0097	0.1252
73	0.1229	0.0335	0.0063	0.1276
74	0.1156	0.0334	0.0109	0.1209
75	0.1104	0.0278	0.0121	0.1145
76	0.1196	0.0316	0.0074	0.1240
77	0.1122	0.0319	0.0100	0.1170
78	0.1056	0.0289	0.0099	0.1100
79	0.1137	0.0320	0.0121	0.1187
80	0.1076	0.0262	0.0048	0.1109
81	0.0995	0.0282	0.0104	0.1040
82	0.1078	0.0260	0.0073	0.1111
83	0.0984	0.0255	0.0070	0.1018
84	0.0994	0.0257	0.0096	0.1031
85	0.1055	0.0271	0.0050	0.1090
86	0.1014	0.0268	0.0093	0.1053
87	0.0986	0.0256	0.0085	0.1022
88	0.0946	0.0258	0.0077	0.0984
89	0.0957	0.0242	0.0080	0.0990
90	0.0962	0.0246	0.0053	0.0994
91	0.0990	0.0249	0.0079	0.1024
92	0.0950	0.0261	0.0094	0.0990
93	0.0957	0.0246	0.0096	0.0993
94	0.0914	0.0226	0.0060	0.0943
95	0.0887	0.0236	0.0094	0.0923
96	0.0929	0.0224	0.0097	0.0961
97	0.0847	0.0218	0.0096	0.0880
98	0.0898	0.0246	0.0085	0.0935
99	0.0887	0.0229	0.0082	0.0920
100	0.0861	0.0228	0.0083	0.0895
101	0.0867	0.0229	0.0081	0.0900
102	0.0863	0.0266	0.0086	0.0908
103	0.0883	0.0245	0.0084	0.0920
104	0.0841	0.0222	0.0103	0.0876
105	0.0787	0.0270	0.0129	0.0842
106	0.0783	0.0285	0.0126	0.0842
107	0.0753	0.0292	0.0177	0.0827
108	0.0696	0.0269	0.0122	0.0756
109	0.0730	0.0266	0.0127	0.0787
110	0.0761	0.0242	0.0156	0.0813
111	0.0715	0.0254	0.0122	0.0769
112	0.0723	0.0260	0.0156	0.0784
113	0.0659	0.0257	0.0097	0.0714
114	0.0679	0.0212	0.0087	0.0717
115	0.0796	0.0136	0.0075	0.0811
116	0.0861	0.0108	0.0115	0.0875
117	0.0804	0.0199	0.0157	0.0843
118	0.0653	0.0260	0.0182	0.0726
119	0.0634	0.0222	0.0170	0.0693
120	0.0743	0.0123	0.0012	0.0754
121	0.0731	0.0210	0.0142	0.0774
122	0.0623	0.0264	0.0175	0.0699
123	0.0683	0.0166	0.0077	0.0707
124	0.0742	0.0154	0.0069	0.0761
125	0.0605	0.0227	0.0105	0.0655
126	0.0739	0.0141	0.0060	0.0755
127	0.0750	0.0170	0.0060	0.0771
128	0.0638	0.0222	0.0102	0.0683
129	0.0678	0.0144	0.0035	0.0694
130	0.0695	0.0172	0.0084	0.0720
131	0.0615	0.0212	0.0103	0.0659
132	0.0719	0.0129	0.0006	0.0731
133	0.0632	0.0224	0.0114	0.0680
134	0.0695	0.0121	0.0068	0.0709
135	0.0705	0.0189	0.0104	0.0737
136	0.0624	0.0191	0.0096	0.0659
137	0.0716	0.0154	0.0097	0.0739
138	0.0595	0.0206	0.0098	0.0637
139	0.0704	0.0153	0.0084	0.0725
140	0.0662	0.0141	0.0077	0.0681
141	0.0633	0.0195	0.0096	0.0670
142	0.0711	0.0115	0.0046	0.0722
143	0.0631	0.0207	0.0142	0.0679
144	0.0738	0.0114	0.0071	0.0750
145	0.0700	0.0131	0.0092	0.0718
146	0.0632	0.0185	0.0127	0.0671
147	0.0661	0.0140	0.0013	0.0675
148	0.0493	0.0142	0.0117	0.0526
149	0.0401	0.0198	0.0048	0.0449
150	0.0417	0.0141	0.0072	0.0446
151	0.0430	0.0128	0.0060	0.0453
152	0.0443	0.0183	0.0061	0.0483
153	0.0570	0.0185	0.0124	0.0612
154	0.0665	0.0101	0.0063	0.0675
155	0.0634	0.0137	0.0059	0.0652
156	0.0480	0.0161	0.0058	0.0510
157	0.0394	0.0197	0.0051	0.0443
158	0.0447	0.0169	0.0078	0.0484
159	0.0629	0.0115	0.0081	0.0645
160	0.0704	0.0086	0.0043	0.0711
161	0.0591	0.0110	0.0094	0.0608
162	0.0395	0.0135	0.0079	0.0425
163	0.0406	0.0184	0.0034	0.0447
164	0.0581	0.0165	0.0102	0.0612
165	0.0570	0.0172	0.0129	0.0609
166	0.0401	0.0173	0.0054	0.0440
167	0.0439	0.0153	0.0055	0.0468
168	0.0565	0.0147	0.0075	0.0588
169	0.0542	0.0140	0.0075	0.0565
170	0.0420	0.0151	0.0043	0.0448
171	0.0483	0.0150	0.0073	0.0511
172	0.0548	0.0131	0.0082	0.0570
173	0.0465	0.0138	0.0032	0.0486
174	0.0440	0.0146	0.0040	0.0466
175	0.0556	0.0142	0.0074	0.0578
176	0.0506	0.0138	0.0032	0.0525
177	0.0377	0.0141	0.0014	0.0403
178	0.0546	0.0103	0.0084	0.0562
179	0.0469	0.0118	0.0037	0.0485
180	0.0399	0.0115	0.0037	0.0417
181	0.0572	0.0113	0.0073	0.0587
182	0.0370	0.0131	0.0007	0.0393
183	0.0490	0.0116	0.0041	0.0505
184	0.0485	0.0114	0.0062	0.0503
185	0.0411	0.0126	0.0021	0.0431
186	0.0528	0.0116	0.0069	0.0545
187	0.0397	0.0135	0.0019	0.0419
188	0.0530	0.0133	0.0060	0.0550
189	0.0355	0.0121	0.0007	0.0375
190	0.0559	0.0113	0.0064	0.0574
191	0.0339	0.0126	0.0021	0.0362
192	0.0550	0.0115	0.0080	0.0567
193	0.0368	0.0131	0.0017	0.0391
194	0.0522	0.0105	0.0037	0.0534
195	0.0416	0.0143	0.0031	0.0441
196	0.0443	0.0128	0.0051	0.0464
197	0.0449	0.0114	0.0041	0.0465
198	0.0395	0.0121	0.0036	0.0414
199	0.0482	0.0108	0.0051	0.0497
200	0.0375	0.0124	0.0048	0.0398
201	0.0493	0.0121	0.0051	0.0510
202	0.0416	0.0108	0.0024	0.0430
203	0.0358	0.0126	0.0040	0.0381
204	0.0507	0.0089	0.0050	0.0517
205	0.0328	0.0116	0.0037	0.0350
206	0.0411	0.0117	0.0025	0.0428
207	0.0533	0.0108	0.0036	0.0545
208	0.0298	0.0098	0.0035	0.0315
209	0.0388	0.0101	0.0030	0.0402
210	0.0490	0.0118	0.0056	0.0507
211	0.0339	0.0105	0.0030	0.0356
212	0.0350	0.0120	0.0033	0.0372
213	0.0419	0.0105	0.0033	0.0433
214	0.0430	0.0120	0.0039	0.0448
215	0.0355	0.0112	0.0025	0.0373
216	0.0314	0.0106	0.0036	0.0333
217	0.0389	0.0097	0.0075	0.0408
218	0.0375	0.0108	0.0019	0.0391
219	0.0359	0.0114	0.0023	0.0377
220	0.0367	0.0105	0.0033	0.0383
221	0.0439	0.0095	0.0050	0.0452
222	0.0448	0.0098	0.0016	0.0459
223	0.0405	0.0135	0.0010	0.0428
224	0.0307	0.0115	0.0044	0.0331
225	0.0336	0.0113	0.0081	0.0364
226	0.0440	0.0097	0.0063	0.0455
227	0.0466	0.0088	0.0024	0.0475
228	0.0478	0.0111	0.0026	0.0492
229	0.0381	0.0122	0.0033	0.0401
230	0.0269	0.0094	0.0032	0.0286
231	0.0287	0.0120	0.0024	0.0312
232	0.0306	0.0121	0.0084	0.0339
233	0.0324	0.0118	0.0097	0.0359
234	0.0367	0.0123	0.0054	0.0391
235	0.0299	0.0087	0.0047	0.0315
236	0.0273	0.0093	0.0053	0.0293
237	0.0368	0.0099	0.0077	0.0389
238	0.0383	0.0104	0.0038	0.0399
239	0.0344	0.0096	0.0055	0.0361
240	0.0316	0.0089	0.0065	0.0334
241	0.0359	0.0093	0.0078	0.0379
242	0.0365	0.0086	0.0046	0.0378
243	0.0340	0.0096	0.0038	0.0355
244	0.0332	0.0112	0.0061	0.0356
245	0.0359	0.0108	0.0033	0.0376
246	0.0368	0.0091	0.0027	0.0380
247	0.0329	0.0098	0.0057	0.0348
248	0.0345	0.0075	0.0047	0.0356
249	0.0334	0.0097	0.0017	0.0348
250	0.0334	0.0098	0.0071	0.0355
251	0.0341	0.0094	0.0036	0.0356
252	0.0321	0.0087	0.0030	0.0334
253	0.0333	0.0096	0.0034	0.0348
254	0.0331	0.0104	0.0044	0.0350
255	0.0294	0.0085	0.0051	0.0310
256	0.0346	0.0090	0.0043	0.0360
257	0.0341	0.0083	0.0044	0.0353
258	0.0299	0.0083	0.0062	0.0317
259	0.0334	0.0093	0.0040	0.0349
260	0.0315	0.0103	0.0014	0.0332
261	0.0303	0.0083	0.0060	0.0320
262	0.0346	0.0096	0.0023	0.0360
263	0.0312	0.0086	0.0022	0.0324
264	0.0318	0.0094	0.0029	0.0333
265	0.0324	0.0100	0.0025	0.0340
266	0.0312	0.0076	0.0034	0.0323
267	0.0336	0.0095	0.0045	0.0352
268	0.0316	0.0082	0.0042	0.0329
269	0.0293	0.0102	0.0057	0.0315
270	0.0340	0.0086	0.0012	0.0351
271	0.0291	0.0088	0.0050	0.0308
272	0.0357	0.0094	0.0006	0.0369
273	0.0289	0.0075	0.0049	0.0302
274	0.0348	0.0083	0.0040	0.0360
275	0.0284	0.0090	0.0030	0.0300
276	0.0312	0.0091	0.0028	0.0326
277	0.0305	0.0082	0.0032	0.0317
278	0.0321	0.0080	0.0018	0.0332
279	0.0301	0.0085	0.0042	0.0316
280	0.0281	0.0081	0.0049	0.0296
281	0.0323	0.0082	0.0036	0.0335
282	0.0264	0.0087	0.0067	0.0285
283	0.0318	0.0079	0.0018	0.0328
284	0.0281	0.0072	0.0055	0.0295
285	0.0309	0.0089	0.0003	0.0321
286	0.0304	0.0086	0.0055	0.0320
287	0.0284	0.0090	0.0050	0.0302
288	0.0310	0.0079	0.0027	0.0321
289	0.0270	0.0089	0.0046	0.0288
290	0.0291	0.0071	0.0030	0.0301
291	0.0305	0.0085	0.0032	0.0318
292	0.0289	0.0080	0.0060	0.0306
293	0.0287	0.0068	0.0034	0.0297
294	0.0306	0.0084	0.0028	0.0318
295	0.0288	0.0080	0.0026	0.0300
296	0.0327	0.0085	0.0005	0.0338
297	0.0313	0.0091	0.0028	0.0328
298	0.0268	0.0078	0.0029	0.0280
299	0.0264	0.0074	0.0043	0.0278
300	0.0311	0.0084	0.0013	0.0323
301	0.0257	0.0074	0.0033	0.0270
302	0.0256	0.0077	0.0034	0.0269
303	0.0299	0.0065	0.0020	0.0306
304	0.0308	0.0078	0.0034	0.0320
305	0.0251	0.0085	0.0024	0.0267
306	0.0275	0.0079	0.0040	0.0289
307	0.0272	0.0077	0.0026	0.0284
308	0.0300	0.0072	0.0025	0.0310
309	0.0250	0.0076	0.0033	0.0264
310	0.0260	0.0065	0.0031	0.0270
311	0.0289	0.0080	0.0015	0.0301
312	0.0305	0.0072	0.0023	0.0314
313	0.0261	0.0083	0.0033	0.0276
314	0.0261	0.0084	0.0041	0.0278
315	0.0264	0.0058	0.0037	0.0273
316	0.0261	0.0091	0.0010	0.0277
317	0.0287	0.0067	0.0011	0.0295
318	0.0275	0.0071	0.0024	0.0285
319	0.0258	0.0060	0.0033	0.0267
320	0.0239	0.0060	0.0034	0.0248
321	0.0231	0.0079	0.0038	0.0247
322	0.0263	0.0072	0.0023	0.0274
323	0.0262	0.0065	0.0013	0.0270
324	0.0282	0.0066	0.0012	0.0290
325	0.0270	0.0072	0.0016	0.0280
326	0.0265	0.0068	0.0034	0.0276
327	0.0280	0.0071	0.0032	0.0291
328	0.0241	0.0079	0.0011	0.0253
329	0.0234	0.0067	0.0047	0.0248
330	0.0266	0.0083	0.0059	0.0285
331	0.0259	0.0073	0.0026	0.0270
332	0.0253	0.0068	0.0028	0.0263
333	0.0234	0.0082	0.0031	0.0250
334	0.0241	0.0069	0.0035	0.0254
335	0.0253	0.0064	0.0028	0.0262
336	0.0265	0.0073	0.0018	0.0275
337	0.0252	0.0073	0.0034	0.0264
338	0.0246	0.0064	0.0015	0.0255
339	0.0245	0.0083	0.0019	0.0260
340	0.0239	0.0071	0.0028	0.0251
341	0.0246	0.0070	0.0034	0.0258
342	0.0250	0.0062	0.0019	0.0258
343	0.0244	0.0070	0.0022	0.0255
344	0.0239	0.0072	0.0032	0.0252
345	0.0269	0.0077	0.0028	0.0282
346	0.0240	0.0052	0.0028	0.0247
347	0.0240	0.0068	0.0025	0.0250
348	0.0235	0.0067	0.0022	0.0245
349	0.0235	0.0058	0.0017	0.0242
350	0.0251	0.0061	0.0020	0.0259
351	0.0234	0.0068	0.0026	0.0245
352	0.0248	0.0072	0.0008	0.0258
353	0.0243	0.0077	0.0017	0.0255
354	0.0234	0.0053	0.0022	0.0241
355	0.0253	0.0066	0.0018	0.0262
356	0.0240	0.0076	0.0021	0.0252
357	0.0224	0.0065	0.0044	0.0238
358	0.0258	0.0079	0.0017	0.0271
359	0.0234	0.0065	0.0031	0.0245
360	0.0251	0.0073	0.0037	0.0264
361	0.0231	0.0058	0.0006	0.0239
362	0.0227	0.0064	0.0021	0.0237
363	0.0252	0.0064	0.0015	0.0261
364	0.0230	0.0076	0.0018	0.0243
365	0.0216	0.0062	0.0059	0.0232
366	0.0219	0.0065	0.0018	0.0229
367	0.0232	0.0060	0.0031	0.0241
368	0.0248	0.0071	0.0020	0.0259
369	0.0241	0.0078	0.0011	0.0254
370	0.0236	0.0072	0.0025	0.0248
371	0.0221	0.0049	0.0022	0.0227
372	0.0227	0.0061	0.0022	0.0236
373	0.0235	0.0062	0.0019	0.0243
374	0.0235	0.0063	0.0040	0.0247
375	0.0234	0.0059	0.0007	0.0241
376	0.0222	0.0052	0.0027	0.0230
377	0.0231	0.0057	0.0002	0.0238
378	0.0203	0.0055	0.0022	0.0211
379	0.0239	0.0059	0.0012	0.0247
380	0.0212	0.0056	0.0027	0.0221
381	0.0253	0.0065	0.0013	0.0262
382	0.0226	0.0060	0.0039	0.0237
383	0.0243	0.0050	0.0016	0.0248
384	0.0225	0.0058	0.0040	0.0236
385	0.0219	0.0061	0.0013	0.0228
386	0.0218	0.0070	0.0032	0.0231
387	0.0220	0.0064	0.0016	0.0230
388	0.0220	0.0070	0.0032	0.0233
389	0.0213	0.0057	0.0026	0.0222
390	0.0216	0.0061	0.0012	0.0224
391	0.0211	0.0047	0.0010	0.0217
392	0.0229	0.0063	0.0009	0.0238
393	0.0206	0.0062	0.0018	0.0216
394	0.0223	0.0048	0.0009	0.0228
395	0.0212	0.0046	0.0028	0.0219
396	0.0226	0.0044	0.0017	0.0231
397	0.0220	0.0050	0.0010	0.0226
398	0.0191	0.0057	0.0022	0.0201
399	0.0222	0.0066	0.0019	0.0232
400	0.0216	0.0077	0.0006	0.0229
401	0.0203	0.0062	0.0007	0.0212
402	0.0219	0.0056	0.0029	0.0228
403	0.0212	0.0060	0.0015	0.0221
404	0.0232	0.0055	0.0017	0.0239
405	0.0207	0.0058	0.0013	0.0216
406	0.0204	0.0058	0.0002	0.0212
407	0.0209	0.0069	0.0010	0.0220
408	0.0193	0.0043	0.0027	0.0199
409	0.0214	0.0047	0.0008	0.0220
410	0.0219	0.0055	0.0017	0.0226
411	0.0204	0.0058	0.0021	0.0213
412	0.0206	0.0043	0.0027	0.0212
413	0.0194	0.0056	0.0034	0.0204
414	0.0210	0.0052	0.0009	0.0217
415	0.0208	0.0066	0.0022	0.0219
416	0.0187	0.0051	0.0028	0.0196
417	0.0216	0.0067	0.0023	0.0227
418	0.0234	0.0058	0.0009	0.0242
419	0.0202	0.0071	0.0020	0.0215
420	0.0195	0.0052	0.0025	0.0204
421	0.0210	0.0057	0.0023	0.0219
422	0.0195	0.0066	0.0031	0.0208
423	0.0204	0.0061	0.0024	0.0215
424	0.0192	0.0057	0.0016	0.0201
425	0.0217	0.0053	0.0011	0.0223
426	0.0202	0.0054	0.0029	0.0211
427	0.0209	0.0056	0.0016	0.0217
428	0.0185	0.0047	0.0016	0.0192
429	0.0200	0.0061	0.0011	0.0210
430	0.0186	0.0060	0.0018	0.0196
431	0.0211	0.0056	0.0018	0.0219
432	0.0185	0.0046	0.0024	0.0192
433	0.0200	0.0058	0.0026	0.0210
434	0.0187	0.0060	0.0039	0.0200
435	0.0188	0.0044	0.0011	0.0193
436	0.0197	0.0059	0.0025	0.0207
437	0.0189	0.0056	0.0023	0.0198
438	0.0195	0.0049	0.0034	0.0204
439	0.0195	0.0062	0.0010	0.0205
440	0.0188	0.0058	0.0010	0.0197
441	0.0201	0.0046	0.0020	0.0207
442	0.0198	0.0059	0.0009	0.0207
443	0.0196	0.0042	0.0003	0.0200
444	0.0199	0.0043	0.0012	0.0204
445	0.0177	0.0055	0.0026	0.0187
446	0.0209	0.0057	0.0023	0.0218
447	0.0208	0.0057	0.0007	0.0216
448	0.0194	0.0066	0.0020	0.0206
449	0.0167	0.0060	0.0021	0.0178
450	0.0189	0.0060	0.0023	0.0199
451	0.0186	0.0044	0.0037	0.0195
452	0.0212	0.0036	0.0012	0.0215
453	0.0197	0.0049	0.0004	0.0203
454	0.0199	0.0052	0.0025	0.0207
455	0.0186	0.0059	0.0020	0.0196
456	0.0188	0.0053	0.0021	0.0197
457	0.0185	0.0046	0.0010	0.0191
458	0.0182	0.0048	0.0031	0.0191
459	0.0178	0.0035	0.0007	0.0181
460	0.0182	0.0045	0.0006	0.0188
461	0.0212	0.0045	0.0013	0.0217
462	0.0198	0.0051	0.0013	0.0205
463	0.0191	0.0052	0.0031	0.0201
464	0.0183	0.0051	0.0027	0.0191
465	0.0180	0.0054	0.0019	0.0189
466	0.0185	0.0063	0.0032	0.0198
467	0.0176	0.0051	0.0034	0.0186
468	0.0152	0.0067	0.0027	0.0169
469	0.0177	0.0044	0.0041	0.0187
470	0.0179	0.0027	0.0018	0.0182
471	0.0176	0.0064	0.0024	0.0189
472	0.0200	0.0039	0.0011	0.0204
473	0.0196	0.0051	0.0008	0.0202
474	0.0190	0.0052	0.0012	0.0198
475	0.0189	0.0055	0.0022	0.0198
476	0.0181	0.0045	0.0018	0.0187
477	0.0156	0.0054	0.0037	0.0169
478	0.0155	0.0037	0.0016	0.0161
