Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	127.79648609	-143.20381513	24.92481868	193.54720642	-47.06	0.00	0.00	
0.00024414	127.86969253	-143.20381513	24.92481868	193.59555140	-47.06	0.00	0.00	
0.00048828	127.79648609	-143.20381513	24.92481868	193.54720642	-47.06	0.00	0.00	
0.00073242	127.65007321	-143.13980284	24.85405979	193.39407601	-47.06	0.00	0.00	
0.00097656	127.65007321	-143.13980284	24.92481868	193.40318233	0.00	0.00	0.00	
0.00122070	127.72327965	-143.13980284	24.99557757	193.46063739	0.00	0.00	0.00	
0.00146484	127.57686676	-143.13980284	25.06633646	193.37316596	0.00	0.00	0.00	
0.00170898	127.57686676	-143.20381513	24.99557757	193.41139703	0.00	0.00	0.00	
0.00195313	127.43045388	-143.26782742	24.92481868	193.35314204	0.00	0.00	0.00	
0.00219727	127.35724744	-143.20381513	24.92481868	193.25746487	0.00	0.00	0.00	
0.00244141	127.50366032	-143.26782742	24.99557757	193.41052884	0.00	0.00	0.00	
0.00268555	127.50366032	-143.26782742	24.99557757	193.41052884	0.00	0.00	0.00	
0.00292969	127.43045388	-143.26782742	24.85405979	193.34403337	0.00	0.00	0.00	
0.00317383	127.43045388	-143.26782742	24.78330090	193.33495016	0.00	0.00	0.00	
0.00341797	127.35724744	-143.26782742	24.85405979	193.29579183	0.00	0.00	0.00	
0.00366211	127.50366032	-143.26782742	24.99557757	193.41052884	0.00	0.00	0.00	
0.00390625	127.57686676	-143.26782742	24.92481868	193.44966760	0.00	0.00	0.00	
0.00415039	127.57686676	-143.26782742	24.85405979	193.44056347	0.00	0.00	0.00	
0.00439453	127.57686676	-143.26782742	24.78330090	193.43148480	0.00	0.00	0.00	
0.00463867	127.72327965	-143.26782742	24.71254201	193.51903336	0.00	0.00	0.00	
0.00488281	127.79648609	-143.26782742	24.78330090	193.57640413	0.00	0.00	0.00	
0.00512695	127.79648609	-143.26782742	24.64178312	193.55833670	0.00	0.00	0.00	
0.00537109	127.72327965	-143.33183971	24.57102423	193.54841170	0.00	0.00	0.00	
0.00561523	127.65007321	-143.39585200	24.50026535	193.53856092	0.00	0.00	0.00	
0.00585938	127.79648609	-143.39585200	24.50026535	193.63516011	0.00	0.00	0.00	
0.00610352	127.86969253	-143.39585200	24.64178312	193.70143550	0.00	0.00	0.00	
0.00634766	127.86969253	-143.45986429	24.50026535	193.73088018	0.00	0.00	0.00	
0.00659180	127.79648609	-143.45986429	24.50026535	193.68256897	0.00	0.00	0.00	
0.00683594	127.94289898	-143.39585200	24.42950646	193.72288599	0.00	0.00	0.00	
0.00708008	127.86969253	-143.39585200	24.50026535	193.68348314	0.00	0.00	0.00	
0.00732422	127.94289898	-143.52387658	24.50026535	193.82660176	0.00	0.00	0.00	
0.00756836	127.94289898	-143.45986429	24.57102423	193.78816603	0.00	0.00	0.00	
0.00781250	127.72327965	-143.45986429	24.42950646	193.62533309	0.00	0.00	0.00	
0.00805664	127.79648609	-143.52387658	24.50026535	193.72998738	0.00	0.00	0.00	
0.00830078	127.86969253	-143.45986429	24.64178312	193.74882814	0.00	0.00	0.00	
0.00854492	127.94289898	-143.45986429	24.71254201	193.80616036	0.00	0.00	0.00	
0.00878906	127.86969253	-143.45986429	24.64178312	193.74882814	0.00	0.00	0.00	
0.00903320	127.72327965	-143.45986429	24.71254201	193.66124692	0.00	0.00	0.00	
0.00927734	127.86969253	-143.39585200	24.71254201	193.71044983	0.00	0.00	0.00	
0.00952148	127.94289898	-143.39585200	24.64178312	193.74976967	0.00	0.00	0.00	
0.00976563	128.01610542	-143.39585200	24.78330090	193.81616450	0.00	0.00	0.00	
0.01000977	128.01610542	-143.39585200	24.71254201	193.80712926	0.00	0.00	0.00	
0.01025391	127.94289898	-143.39585200	24.71254201	193.75878174	0.00	0.00	0.00	
0.01049805	127.94289898	-143.39585200	24.71254201	193.75878174	0.00	0.00	0.00	
0.01074219	128.01610542	-143.39585200	24.71254201	193.80712926	0.00	0.00	0.00	
0.01098633	128.08931186	-143.39585200	24.78330090	193.86452535	0.00	0.00	0.00	
0.01123047	128.08931186	-143.45986429	24.78330090	193.91187813	0.00	0.00	0.00	
0.01147461	128.01610542	-143.33183971	24.78330090	193.76880948	0.00	0.00	0.00	
0.01171875	128.08931186	-143.33183971	24.71254201	193.80814694	0.00	0.00	0.00	
0.01196289	128.23572474	-143.39585200	24.71254201	193.95226527	0.00	0.00	0.00	
0.01220703	128.23572474	-143.39585200	24.64178312	193.94326219	0.00	0.00	0.00	
0.01245117	128.23572474	-143.39585200	24.64178312	193.94326219	0.00	0.00	0.00	
0.01269531	128.08931186	-143.39585200	24.50026535	193.82854585	0.00	0.00	0.00	
0.01293945	128.23572474	-143.45986429	24.50026535	193.97267015	0.00	0.00	0.00	
0.01318359	128.30893119	-143.45986429	24.57102423	194.03002272	0.00	0.00	0.00	
0.01342773	128.23572474	-143.45986429	24.50026535	193.97267015	0.00	0.00	0.00	
0.01367188	128.16251830	-143.52387658	24.35874757	193.95381623	0.00	0.00	0.00	
0.01391602	128.08931186	-143.58788887	24.42950646	193.96173445	0.00	0.00	0.00	
