Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	95.1909	-400.6008	332.9456	529.5235
1	0.0338	0.0744	0.0290	0.0867
2	0.0169	0.1247	0.0409	0.1323
3	0.0576	0.0987	0.0343	0.1193
4	0.0616	0.0440	0.0226	0.0790
5	0.0503	0.0287	0.0219	0.0619
6	0.0455	0.0555	0.0298	0.0777
7	0.0630	0.0722	0.0706	0.1190
8	0.0895	0.0597	0.0862	0.1379
9	0.0768	0.0358	0.0445	0.0957
10	0.0312	0.0453	0.0265	0.0610
11	0.0120	0.0774	0.0548	0.0956
12	0.0318	0.0864	0.0525	0.1060
13	0.0240	0.0800	0.0420	0.0935
14	0.0094	0.0696	0.0367	0.0792
15	0.0120	0.0799	0.0469	0.0934
16	0.0078	0.0736	0.0477	0.0880
17	0.0042	0.0475	0.0302	0.0565
18	0.0081	0.0429	0.0226	0.0491
19	0.0070	0.0708	0.0407	0.0820
20	0.0082	0.0697	0.0431	0.0823
21	0.0075	0.0522	0.0365	0.0642
22	0.0009	0.0599	0.0401	0.0721
23	0.0049	0.0823	0.0486	0.0957
24	0.0059	0.0811	0.0466	0.0937
25	0.0062	0.0634	0.0386	0.0745
26	0.0082	0.0656	0.0401	0.0773
27	0.0101	0.0901	0.0514	0.1042
28	0.0105	0.0889	0.0499	0.1025
29	0.0086	0.0630	0.0358	0.0730
30	0.0057	0.0308	0.0180	0.0362
31	0.0027	0.0010	0.0011	0.0031
32	0.0018	0.0230	0.0105	0.0254
33	0.0036	0.0267	0.0110	0.0291
34	0.0059	0.0278	0.0151	0.0322
35	0.0062	0.0367	0.0198	0.0421
36	0.0042	0.0334	0.0183	0.0383
37	0.0011	0.0276	0.0172	0.0325
38	0.0013	0.0188	0.0134	0.0231
39	0.0043	0.0222	0.0167	0.0281
40	0.0064	0.0185	0.0159	0.0253
41	0.0061	0.0204	0.0120	0.0244
42	0.0034	0.0606	0.0353	0.0702
43	0.0024	0.0821	0.0495	0.0958
44	0.0024	0.0694	0.0437	0.0820
45	0.0017	0.0558	0.0350	0.0659
46	0.0023	0.0401	0.0231	0.0464
47	0.0029	0.0194	0.0105	0.0222
48	0.0034	0.0113	0.0042	0.0125
49	0.0042	0.0400	0.0072	0.0409
50	0.0042	0.0513	0.0122	0.0529
51	0.0037	0.0307	0.0114	0.0329
52	0.0011	0.0025	0.0084	0.0088
53	0.0021	0.0097	0.0050	0.0111
54	0.0038	0.0070	0.0063	0.0102
55	0.0031	0.0123	0.0080	0.0150
56	0.0022	0.0106	0.0064	0.0125
57	0.0035	0.0099	0.0081	0.0133
58	0.0026	0.0076	0.0055	0.0097
59	0.0016	0.0143	0.0051	0.0152
60	0.0025	0.0327	0.0192	0.0380
61	0.0034	0.0557	0.0340	0.0654
62	0.0019	0.0536	0.0333	0.0632
63	0.0021	0.0357	0.0237	0.0429
64	0.0032	0.0223	0.0146	0.0269
65	0.0013	0.0184	0.0097	0.0209
66	0.0034	0.0154	0.0056	0.0167
67	0.0046	0.0150	0.0076	0.0174
68	0.0040	0.0143	0.0099	0.0178
69	0.0023	0.0048	0.0033	0.0063
70	0.0015	0.0272	0.0178	0.0325
71	0.0010	0.0358	0.0242	0.0432
72	0.0023	0.0431	0.0256	0.0502
73	0.0026	0.0433	0.0242	0.0496
74	0.0037	0.0345	0.0191	0.0396
75	0.0038	0.0225	0.0135	0.0265
76	0.0026	0.0285	0.0178	0.0338
77	0.0015	0.0342	0.0194	0.0393
78	0.0008	0.0281	0.0139	0.0313
79	0.0020	0.0318	0.0198	0.0375
80	0.0022	0.0319	0.0205	0.0380
81	0.0043	0.0203	0.0134	0.0247
82	0.0048	0.0137	0.0097	0.0175
83	0.0028	0.0140	0.0098	0.0173
84	0.0019	0.0156	0.0114	0.0194
85	0.0018	0.0166	0.0108	0.0199
86	0.0026	0.0094	0.0063	0.0116
87	0.0039	0.0078	0.0024	0.0090
88	0.0031	0.0286	0.0142	0.0320
89	0.0016	0.0272	0.0144	0.0308
90	0.0026	0.0098	0.0054	0.0115
91	0.0034	0.0234	0.0144	0.0277
92	0.0023	0.0070	0.0051	0.0090
93	0.0010	0.0122	0.0081	0.0147
94	0.0036	0.0166	0.0109	0.0202
95	0.0044	0.0170	0.0101	0.0203
96	0.0037	0.0120	0.0054	0.0136
97	0.0027	0.0123	0.0054	0.0137
98	0.0020	0.0287	0.0177	0.0338
99	0.0037	0.0648	0.0404	0.0764
100	0.0052	0.1068	0.0659	0.1256
101	0.0054	0.0826	0.0507	0.0970
102	0.0053	0.0308	0.0194	0.0368
103	0.0053	0.0293	0.0168	0.0342
104	0.0044	0.0337	0.0169	0.0379
105	0.0019	0.0137	0.0079	0.0159
106	0.0015	0.0212	0.0171	0.0273
107	0.0009	0.0279	0.0188	0.0337
108	0.0022	0.0177	0.0116	0.0212
109	0.0024	0.0194	0.0121	0.0230
