Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	95.14641288	-399.76507489	332.15991509	528.38921657	-164.73	0.00	0.00	
0.00024414	95.21961933	-400.46921009	332.65522731	529.24650626	-164.73	0.00	0.00	
0.00048828	95.29282577	-400.98130841	332.93826287	529.82508361	-164.73	0.00	0.00	
0.00073242	95.21961933	-401.81346819	333.50433398	530.79749425	-164.73	0.00	0.00	
0.00097656	95.21961933	-402.26155422	333.71661065	531.27009151	0.00	0.00	0.00	
0.00122070	95.14641288	-402.00550506	333.50433398	530.92975690	0.00	0.00	0.00	
0.00146484	95.07320644	-401.42939444	333.07978065	530.21374330	0.00	0.00	0.00	
0.00170898	95.07320644	-401.23735757	333.15053954	530.11283109	0.00	0.00	0.00	
0.00195313	95.21961933	-401.17334528	333.22129843	530.13513616	0.00	0.00	0.00	
0.00219727	95.14641288	-401.10933299	333.07978065	529.98460088	0.00	0.00	0.00	
0.00244141	95.07320644	-400.59723467	332.72598620	529.36154082	0.00	0.00	0.00	
0.00268555	95.07320644	-399.25297657	331.73536175	527.72171087	0.00	0.00	0.00	
0.00292969	95.07320644	-398.80489054	331.66460287	527.33828241	0.00	0.00	0.00	
0.00317383	95.21961933	-399.70106260	332.37219176	528.48745416	0.00	0.00	0.00	
0.00341797	95.21961933	-401.17334528	333.22129843	530.13513616	0.00	0.00	0.00	
0.00366211	95.21961933	-401.62143131	333.36281620	530.56320757	0.00	0.00	0.00	
0.00390625	95.07320644	-400.59723467	332.72598620	529.36154082	0.00	0.00	0.00	
0.00415039	95.14641288	-400.21316093	332.44295065	528.90616323	0.00	0.00	0.00	
0.00439453	95.07320644	-400.78927154	332.79674509	529.55134624	0.00	0.00	0.00	
0.00463867	95.14641288	-400.72525925	332.72598620	529.47158109	0.00	0.00	0.00	
0.00488281	95.14641288	-400.72525925	332.86750398	529.56052392	0.00	0.00	0.00	
0.00512695	95.21961933	-401.30136986	333.15053954	530.18755865	0.00	0.00	0.00	
0.00537109	95.07320644	-401.23735757	333.15053954	530.11283109	0.00	0.00	0.00	
0.00561523	95.07320644	-400.53322238	332.65522731	529.26862468	0.00	0.00	0.00	
0.00585938	95.14641288	-399.82908718	332.30143287	528.52661345	0.00	0.00	0.00	
0.00610352	95.14641288	-399.38100115	332.08915620	528.05419384	0.00	0.00	0.00	
0.00634766	95.21961933	-399.18896428	331.94763842	527.83315523	0.00	0.00	0.00	
0.00659180	95.21961933	-399.50902573	332.08915620	528.16422182	0.00	0.00	0.00	
0.00683594	95.29282577	-400.34118551	332.65522731	529.16281777	0.00	0.00	0.00	
0.00708008	95.21961933	-401.94149277	333.64585176	530.98332734	0.00	0.00	0.00	
0.00732422	95.14641288	-402.70964025	334.07040509	531.81851208	0.00	0.00	0.00	
0.00756836	95.07320644	-402.06951735	333.57509287	531.00956107	0.00	0.00	0.00	
0.00781250	95.14641288	-402.32556651	333.78736954	531.34989359	0.00	0.00	0.00	
0.00805664	95.00000000	-403.09371399	334.28268176	532.21654764	0.00	0.00	0.00	
0.00830078	95.07320644	-402.90167712	334.07040509	531.95085447	0.00	0.00	0.00	
0.00854492	95.00000000	-401.42939444	333.15053954	530.24507609	0.00	0.00	0.00	
0.00878906	95.00000000	-400.14914864	332.30143287	528.74245474	0.00	0.00	0.00	
0.00903320	95.00000000	-399.70106260	332.08915620	528.26995666	0.00	0.00	0.00	
0.00927734	95.07320644	-399.63705031	332.08915620	528.23469616	0.00	0.00	0.00	
0.00952148	95.07320644	-398.48482909	331.45232620	526.96272936	0.00	0.00	0.00	
0.00976563	95.00000000	-398.80489054	331.59384398	527.28058762	0.00	0.00	0.00	
0.01000977	95.14641288	-400.02112406	332.44295065	528.76086751	0.00	0.00	0.00	
0.01025391	95.00000000	-400.78927154	332.79674509	529.53820799	0.00	0.00	0.00	
0.01049805	95.07320644	-401.49340673	333.22129843	530.35111385	0.00	0.00	0.00	
0.01074219	95.07320644	-402.64562796	333.92888732	531.66805253	0.00	0.00	0.00	
0.01098633	95.07320644	-403.09371399	334.14116398	532.14074671	0.00	0.00	0.00	
0.01123047	95.00000000	-401.94149277	333.50433398	530.85506910	0.00	0.00	0.00	
0.01147461	95.00000000	-400.21316093	332.51370953	528.92432465	0.00	0.00	0.00	
0.01171875	95.00000000	-399.82908718	332.23067398	528.45578783	0.00	0.00	0.00	
0.01196289	95.07320644	-400.72525925	332.79674509	529.50290040	0.00	0.00	0.00	
0.01220703	95.14641288	-400.66124696	332.72598620	529.42313568	0.00	0.00	0.00	
0.01245117	95.14641288	-399.76507489	332.15991509	528.38921657	0.00	0.00	0.00	
0.01269531	95.07320644	-398.80489054	331.52308509	527.24928757	0.00	0.00	0.00	
0.01293945	95.07320644	-398.86890283	331.59384398	527.34219781	0.00	0.00	0.00	
0.01318359	95.14641288	-400.02112406	332.23067398	528.62743053	0.00	0.00	0.00	
0.01342773	95.07320644	-400.27717322	332.37219176	528.89696902	0.00	0.00	0.00	
0.01367188	95.07320644	-399.82908718	332.15991509	528.42447212	0.00	0.00	0.00	
0.01391602	95.14641288	-400.14914864	332.30143287	528.76878059	0.00	0.00	0.00	
0.01416016	95.14641288	-401.04532070	332.93826287	529.84721951	0.00	0.00	0.00	
0.01440430	95.14641288	-401.42939444	333.22129843	530.31578548	0.00	0.00	0.00	
0.01464844	95.07320644	-401.68544361	333.29205731	530.54095568	0.00	0.00	0.00	
0.01489258	95.00000000	-401.42939444	333.15053954	530.24507609	0.00	0.00	0.00	
0.01513672	95.14641288	-401.30136986	333.15053954	530.17441595	0.00	0.00	0.00	
0.01538086	95.07320644	-400.85328383	332.79674509	529.59979540	0.00	0.00	0.00	
0.01562500	95.14641288	-399.57303802	332.08915620	528.19945122	0.00	0.00	0.00	
0.01586914	95.00000000	-398.61285367	331.45232620	527.04634678	0.00	0.00	0.00	
0.01611328	95.07320644	-398.16476764	331.16929064	526.54268187	0.00	0.00	0.00	
0.01635742	95.07320644	-398.42081680	331.31080842	526.82531604	0.00	0.00	0.00	
0.01660156	95.14641288	-399.63705031	332.01839731	528.20339645	0.00	0.00	0.00	
0.01684570	95.14641288	-400.98130841	332.93826287	529.79876978	0.00	0.00	0.00	
0.01708984	95.07320644	-402.19754193	333.50433398	531.06206615	0.00	0.00	0.00	
0.01733398	95.07320644	-403.09371399	334.21192287	532.18518040	0.00	0.00	0.00	
0.01757813	94.92679356	-402.51760338	333.85812843	531.50048644	0.00	0.00	0.00	
0.01782227	94.92679356	-401.55741902	333.22129843	530.37335023	0.00	0.00	0.00	
0.01806641	95.00000000	-400.85328383	332.86750398	529.63112669	0.00	0.00	0.00	
0.01831055	95.00000000	-400.78927154	332.79674509	529.53820799	0.00	0.00	0.00	
0.01855469	95.00000000	-400.98130841	332.79674509	529.68356897	0.00	0.00	0.00	
0.01879883	95.07320644	-401.42939444	333.22129843	530.30265607	0.00	0.00	0.00	
0.01904297	95.00000000	-401.36538215	333.15053954	530.19661635	0.00	0.00	0.00	
0.01928711	94.92679356	-399.95711177	332.23067398	528.53950479	0.00	0.00	0.00	
0.01953125	95.00000000	-399.12495199	331.80612064	527.65616551	0.00	0.00	0.00	
0.01977539	95.07320644	-399.06093970	331.73536175	527.57643846	0.00	0.00	0.00	
0.02001953	95.14641288	-399.70106260	332.23067398	528.38527616	0.00	0.00	0.00	
0.02026367	95.07320644	-400.53322238	332.72598620	529.31310083	0.00	0.00	0.00	
0.02050781	95.07320644	-401.04532070	332.93826287	529.83407848	0.00	0.00	0.00	
0.02075195	95.07320644	-401.81346819	333.36281620	530.68233909	0.00	0.00	0.00	
0.02099609	95.07320644	-402.51760338	333.78736954	531.48221389	0.00	0.00	0.00	
0.02124023	95.00000000	-402.06951735	333.57509287	530.99645890	0.00	0.00	0.00	
0.02148438	95.00000000	-401.04532070	332.93826287	529.82094724	0.00	0.00	0.00	
0.02172852	95.00000000	-400.66124696	332.79674509	529.44131720	0.00	0.00	0.00	
0.02197266	94.92679356	-400.59723467	332.65522731	529.29079042	0.00	0.00	0.00	
0.02221680	94.92679356	-400.02112406	332.23067398	528.58794591	0.00	0.00	0.00	
0.02246094	95.07320644	-399.31698886	331.87687953	527.85910558	0.00	0.00	0.00	
0.02270508	95.00000000	-399.44501344	332.01839731	528.03175560	0.00	0.00	0.00	
0.02294922	95.00000000	-400.59723467	332.72598620	529.34839786	0.00	0.00	0.00	
0.02319336	95.14641288	-401.17334528	333.07978065	530.03304909	0.00	0.00	0.00	
0.02343750	95.07320644	-400.91729612	332.86750398	529.69271103	0.00	0.00	0.00	
0.02368164	95.00000000	-400.53322238	332.51370953	529.16654208	0.00	0.00	0.00	
0.02392578	95.00000000	-400.08513635	332.37219176	528.73848940	0.00	0.00	0.00	
0.02416992	95.21961933	-401.36538215	333.22129843	530.28047260	0.00	0.00	0.00	
0.02441406	95.14641288	-402.77365254	334.14116398	531.91143298	0.00	0.00	0.00	
0.02465820	95.07320644	-402.83766483	334.07040509	531.90237295	0.00	0.00	0.00	
0.02490234	95.07320644	-401.87748048	333.50433398	530.81971015	0.00	0.00	0.00	
0.02514648	95.07320644	-401.30136986	333.07978065	530.11682138	0.00	0.00	0.00	
0.02539063	95.00000000	-400.59723467	332.86750398	529.43736139	0.00	0.00	0.00	
0.02563477	95.00000000	-399.63705031	332.08915620	528.22152517	0.00	0.00	0.00	
