Frequency [Hz]	 X-Axis [%]	Y-Axis [%]	Z-Axis [%]	Total [%]
0	0.3957	1.7462	0.9477	2.0258
1	0.0112	0.0114	0.0214	0.0267
2	0.0252	0.0268	0.0072	0.0374
3	0.0524	0.0546	0.0391	0.0852
4	0.0572	0.0772	0.0674	0.1174
5	0.1156	0.1188	0.0337	0.1692
6	0.0732	0.0779	0.1155	0.1574
7	0.0841	0.0464	0.0754	0.1221
8	0.1519	0.1075	0.0788	0.2021
9	0.0808	0.0545	0.0753	0.1232
10	0.0654	0.0698	0.0933	0.1336
11	0.1259	0.0788	0.0704	0.1644
12	0.0512	0.0363	0.1038	0.1213
13	0.0730	0.0448	0.0613	0.1053
14	0.0575	0.0086	0.0900	0.1072
15	0.0558	0.0590	0.0751	0.1106
16	0.0770	0.0450	0.0921	0.1282
17	0.0596	0.0040	0.0857	0.1045
18	0.0590	0.0707	0.0713	0.1164
19	0.0613	0.0570	0.0561	0.1008
20	0.0574	0.0428	0.0876	0.1131
21	0.0530	0.0984	0.0569	0.1254
22	0.0632	0.0407	0.0722	0.1042
23	0.0527	0.0337	0.0807	0.1021
24	0.0588	0.0564	0.0691	0.1068
25	0.0601	0.0480	0.0689	0.1032
26	0.0537	0.0633	0.0713	0.1094
27	0.0682	0.0244	0.1012	0.1244
28	0.0575	0.0455	0.0731	0.1035
29	0.0591	0.0377	0.0804	0.1066
30	0.0591	0.0576	0.0663	0.1059
31	0.0603	0.0506	0.0867	0.1171
32	0.0581	0.0545	0.0706	0.1064
33	0.0606	0.0347	0.0752	0.1026
34	0.0594	0.0519	0.0683	0.1044
35	0.0564	0.0559	0.0737	0.1083
36	0.0568	0.0597	0.0719	0.1094
37	0.0504	0.0714	0.0560	0.1038
38	0.0658	0.0120	0.1032	0.1230
39	0.0627	0.0256	0.0932	0.1153
40	0.0656	0.0160	0.0939	0.1156
41	0.0572	0.0598	0.0753	0.1119
42	0.0694	0.0356	0.1008	0.1274
43	0.0611	0.0631	0.0888	0.1249
44	0.0488	0.0932	0.0581	0.1202
45	0.0580	0.0556	0.0734	0.1089
46	0.0575	0.0544	0.0731	0.1078
47	0.0493	0.0658	0.0578	0.1005
48	0.0707	0.0574	0.1068	0.1403
49	0.0539	0.0666	0.0601	0.1047
50	0.0810	0.0948	0.1085	0.1653
51	0.0628	0.0509	0.0914	0.1220
52	0.0658	0.0552	0.1041	0.1350
53	0.0612	0.0334	0.0750	0.1024
54	0.0692	0.0235	0.1160	0.1371
