Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	146.61054173	709.05581872	-373.80152132	814.85114122	360.11	0.00	0.00	
0.00024414	146.24450952	707.07143772	-372.31558465	812.37698710	360.11	0.00	0.00	
0.00048828	145.87847731	705.53514275	-371.32496020	810.51995278	360.11	0.00	0.00	
0.00073242	145.87847731	705.53514275	-371.46647798	810.58479634	360.11	0.00	0.00	
0.00097656	146.24450952	706.75137626	-372.31558465	812.09842937	0.00	0.00	0.00	
0.00122070	146.68374817	708.73575727	-373.51848576	814.45598703	0.00	0.00	0.00	
0.00146484	146.31771596	707.77557291	-372.81089687	813.23004152	0.00	0.00	0.00	
0.00170898	146.09809663	706.87940084	-372.31558465	812.18349882	0.00	0.00	0.00	
0.00195313	146.39092240	707.90359749	-373.09393243	813.48441160	0.00	0.00	0.00	
0.00219727	147.12298682	710.65612598	-374.79214576	816.79033734	0.00	0.00	0.00	
0.00244141	147.56222548	712.38445782	-375.85352910	818.86024538	0.00	0.00	0.00	
0.00268555	147.26939971	712.06439636	-375.64125243	818.43162890	0.00	0.00	0.00	
0.00292969	146.83016105	709.95199078	-374.08455687	815.80033164	0.00	0.00	0.00	
0.00317383	146.24450952	707.45551146	-372.45710242	812.77613794	0.00	0.00	0.00	
0.00341797	146.09809663	706.30329023	-371.74951353	811.42263491	0.00	0.00	0.00	
0.00366211	146.02489019	705.85520420	-371.53723687	810.92216410	0.00	0.00	0.00	
0.00390625	145.87847731	705.21508130	-371.18344242	810.17651716	0.00	0.00	0.00	
0.00415039	145.87847731	705.66316733	-371.25420131	810.59898708	0.00	0.00	0.00	
0.00439453	146.39092240	707.64754833	-372.66937909	813.06692279	0.00	0.00	0.00	
0.00463867	146.53733529	707.96760978	-372.88165576	813.46914897	0.00	0.00	0.00	
0.00488281	146.46412884	708.03162207	-372.88165576	813.51167668	0.00	0.00	0.00	
0.00512695	146.97657394	709.88797849	-374.15531576	815.80344177	0.00	0.00	0.00	
0.00537109	147.56222548	712.57649469	-375.99504688	819.09226980	0.00	0.00	0.00	
0.00561523	147.63543192	713.47266675	-376.41960021	820.07998536	0.00	0.00	0.00	
0.00585938	147.56222548	712.83254385	-375.99504688	819.31503174	0.00	0.00	0.00	
0.00610352	146.90336750	710.33606452	-374.22607465	816.21264318	0.00	0.00	0.00	
0.00634766	146.53733529	708.67174498	-373.23545020	814.24414892	0.00	0.00	0.00	
0.00659180	146.75695461	708.79976956	-373.37696798	814.45999120	0.00	0.00	0.00	
0.00683594	146.68374817	708.73575727	-373.30620909	814.35865646	0.00	0.00	0.00	
0.00708008	146.39092240	707.26347459	-372.24482576	812.53808215	0.00	0.00	0.00	
0.00732422	146.02489019	705.79119191	-371.32496020	810.76920341	0.00	0.00	0.00	
0.00756836	146.17130307	706.17526565	-371.67875464	811.29196490	0.00	0.00	0.00	
0.00781250	146.68374817	708.28767123	-373.16469131	813.90382358	0.00	0.00	0.00	
0.00805664	146.90336750	709.24785559	-373.73076243	815.03852843	0.00	0.00	0.00	
0.00830078	146.83016105	709.05581872	-373.51848576	814.76089097	0.00	0.00	0.00	
0.00854492	147.34260615	711.04019972	-374.79214576	817.16409719	0.00	0.00	0.00	
0.00878906	147.70863836	712.89655614	-376.06580577	819.42957713	0.00	0.00	0.00	
0.00903320	147.48901903	712.32044553	-375.57049354	818.66148283	0.00	0.00	0.00	
0.00927734	147.12298682	710.59211369	-374.36759243	816.53990689	0.00	0.00	0.00	
0.00952148	146.83016105	709.37588017	-373.58924465	815.07187369	0.00	0.00	0.00	
