Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-121.39824305	198.04570478	101.48593667	253.49364871	129.58	0.00	0.00	
0.00024414	-121.47144949	198.04570478	101.48593667	253.52871546	129.58	0.00	0.00	
0.00048828	-121.10541728	197.34156958	100.99062445	252.60507399	129.58	0.00	0.00	
0.00073242	-121.03221083	197.14953271	100.70758889	252.30686231	129.58	0.00	0.00	
0.00097656	-120.95900439	197.02150813	100.77834778	252.19998174	0.00	0.00	0.00	
0.00122070	-121.17862372	197.34156958	101.06138334	252.66847277	0.00	0.00	0.00	
0.00146484	-121.47144949	197.72564332	101.34441889	253.22210470	0.00	0.00	0.00	
0.00170898	-121.47144949	197.78965561	101.41517778	253.30041293	0.00	0.00	0.00	
0.00195313	-121.47144949	197.72564332	101.48593667	253.27877608	0.00	0.00	0.00	
0.00219727	-121.69106881	198.04570478	101.76897223	253.74739628	0.00	0.00	0.00	
0.00244141	-121.54465593	197.91768019	101.62745445	253.52051400	0.00	0.00	0.00	
0.00268555	-121.32503660	197.40558187	101.20290111	252.84531923	0.00	0.00	0.00	
0.00292969	-121.25183016	197.14953271	100.99062445	252.52534683	0.00	0.00	0.00	
0.00317383	-121.39824305	197.34156958	101.27366000	252.85881972	0.00	0.00	0.00	
0.00341797	-121.10541728	196.95749584	100.91986556	252.27682518	0.00	0.00	0.00	
0.00366211	-121.10541728	196.50940981	100.70758889	251.84219006	0.00	0.00	0.00	
0.00390625	-121.32503660	197.02150813	101.13214223	252.51722587	0.00	0.00	0.00	
0.00415039	-121.10541728	196.95749584	101.06138334	252.33347075	0.00	0.00	0.00	
0.00439453	-121.17862372	196.76545897	100.99062445	252.19042590	0.00	0.00	0.00	
0.00463867	-121.17862372	196.76545897	100.84910667	252.13378791	0.00	0.00	0.00	
0.00488281	-121.25183016	196.89348355	101.06138334	252.35382577	0.00	0.00	0.00	
0.00512695	-121.39824305	197.14953271	101.20290111	252.68062620	0.00	0.00	0.00	
0.00537109	-121.17862372	196.76545897	100.91986556	252.16209857	0.00	0.00	0.00	
0.00561523	-120.95900439	196.38138523	100.63683000	251.64359869	0.00	0.00	0.00	
0.00585938	-121.10541728	196.63743439	100.91986556	252.02702625	0.00	0.00	0.00	
0.00610352	-121.32503660	196.89348355	101.13214223	252.41734996	0.00	0.00	0.00	
0.00634766	-121.17862372	196.76545897	100.99062445	252.19042590	0.00	0.00	0.00	
0.00659180	-120.88579795	196.25336065	100.49531222	251.45191487	0.00	0.00	0.00	
0.00683594	-120.73938507	196.06132377	100.42455333	251.20336920	0.00	0.00	0.00	
0.00708008	-120.88579795	196.25336065	100.70758889	251.53682866	0.00	0.00	0.00	
0.00732422	-120.81259151	195.99731148	100.49531222	251.21691057	0.00	0.00	0.00	
0.00756836	-120.59297218	195.67725003	100.14151778	250.72011228	0.00	0.00	0.00	
0.00781250	-120.73938507	195.86928690	100.28303556	250.99693998	0.00	0.00	0.00	
0.00805664	-121.03221083	196.25336065	100.77834778	251.63555592	0.00	0.00	0.00	
0.00830078	-121.39824305	196.76545897	101.27366000	252.40945598	0.00	0.00	0.00	
0.00854492	-121.32503660	196.70144668	101.13214223	252.26758377	0.00	0.00	0.00	
0.00878906	-121.39824305	196.95749584	101.27366000	252.55918671	0.00	0.00	0.00	
0.00903320	-121.47144949	197.08552042	101.27366000	252.69422156	0.00	0.00	0.00	
0.00927734	-121.17862372	196.57342210	100.91986556	252.01227824	0.00	0.00	0.00	
0.00952148	-120.81259151	195.86928690	100.35379445	251.06043870	0.00	0.00	0.00	
0.00976563	-120.73938507	195.61323774	100.21227667	250.76889416	0.00	0.00	0.00	
0.01000977	-120.66617862	195.74126232	100.35379445	250.89012037	0.00	0.00	0.00	
0.01025391	-120.66617862	195.67725003	100.28303556	250.81188182	0.00	0.00	0.00	
0.01049805	-120.51976574	195.35718858	100.00000000	250.37860345	0.00	0.00	0.00	
0.01074219	-120.51976574	195.22916400	99.85848222	250.22221500	0.00	0.00	0.00	
0.01098633	-120.37335286	194.90910255	99.71696444	249.84550292	0.00	0.00	0.00	
0.01123047	-120.30014641	194.71706568	99.57544667	249.60394723	0.00	0.00	0.00	
0.01147461	-120.66617862	195.35718858	100.14151778	250.50565139	0.00	0.00	0.00	
0.01171875	-120.95900439	195.80527461	100.49531222	251.13759991	0.00	0.00	0.00	
0.01196289	-121.10541728	196.06132377	100.63683000	251.46438381	0.00	0.00	0.00	
0.01220703	-121.10541728	196.12533606	100.70758889	251.54261667	0.00	0.00	0.00	
0.01245117	-120.73938507	195.54922545	100.28303556	250.74725502	0.00	0.00	0.00	
0.01269531	-120.37335286	194.97311484	99.78772333	249.92368698	0.00	0.00	0.00	
0.01293945	-120.37335286	194.84509026	99.64620555	249.76733084	0.00	0.00	0.00	
0.01318359	-120.51976574	195.10113942	100.00000000	250.17887308	0.00	0.00	0.00	
0.01342773	-120.51976574	195.10113942	99.92924111	250.15059817	0.00	0.00	0.00	
0.01367188	-120.30014641	194.58904110	99.50468778	249.47585661	0.00	0.00	0.00	
0.01391602	-120.22693997	194.20496735	99.29241111	249.05635777	0.00	0.00	0.00	
0.01416016	-119.93411420	194.07694277	99.22165222	248.78703289	0.00	0.00	0.00	
0.01440430	-119.93411420	194.20496735	99.22165222	248.88691682	0.00	0.00	0.00	
0.01464844	-120.08052709	194.33299193	99.36317000	249.11379787	0.00	0.00	0.00	
0.01489258	-120.51976574	194.90910255	99.92924111	250.00085084	0.00	0.00	0.00	
0.01513672	-120.66617862	195.35718858	100.14151778	250.50565139	0.00	0.00	0.00	
0.01538086	-120.66617862	195.29317629	100.07075889	250.42745088	0.00	0.00	0.00	
0.01562500	-120.88579795	195.61323774	100.49531222	250.95263040	0.00	0.00	0.00	
0.01586914	-120.73938507	195.54922545	100.07075889	250.66243329	0.00	0.00	0.00	
0.01611328	-120.37335286	194.84509026	99.57544667	249.73910958	0.00	0.00	0.00	
0.01635742	-120.22693997	194.58904110	99.36317000	249.38414457	0.00	0.00	0.00	
0.01660156	-120.37335286	194.90910255	99.78772333	249.87375225	0.00	0.00	0.00	
0.01684570	-120.08052709	194.39700422	99.29241111	249.13552766	0.00	0.00	0.00	
0.01708984	-120.00732064	194.14095506	99.00937555	248.78770848	0.00	0.00	0.00	
0.01733398	-120.08052709	194.33299193	99.22165222	249.05738497	0.00	0.00	0.00	
0.01757813	-119.93411420	194.14095506	99.00937555	248.75240427	0.00	0.00	0.00	
0.01782227	-119.78770132	193.82089361	98.86785777	248.37569424	0.00	0.00	0.00	
0.01806641	-120.00732064	194.26897964	99.15089333	248.94395576	0.00	0.00	0.00	
0.01831055	-120.37335286	194.78107797	99.50468778	249.66096071	0.00	0.00	0.00	
0.01855469	-120.08052709	194.46101652	99.22165222	249.15729208	0.00	0.00	0.00	
0.01879883	-120.22693997	194.65305339	99.36317000	249.43409518	0.00	0.00	0.00	
0.01904297	-120.51976574	195.16515171	99.85848222	250.17227434	0.00	0.00	0.00	
0.01928711	-120.44655930	195.16515171	99.85848222	250.13701557	0.00	0.00	0.00	
0.01953125	-120.22693997	194.65305339	99.29241111	249.40591651	0.00	0.00	0.00	
0.01977539	-120.08052709	194.39700422	99.00937555	249.02285976	0.00	0.00	0.00	
