Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-132.4066	164.0600	104.7978	235.4353
1	0.9752	11.2389	2.0970	11.4744
2	0.8150	11.2784	0.8764	11.3417
3	0.3153	5.1326	0.2405	5.1479
4	0.1939	1.7219	0.4086	1.7803
5	0.1536	1.8966	0.4516	1.9556
6	0.2054	1.5016	0.6935	1.6667
7	0.3170	0.5031	0.5322	0.7980
8	0.2179	0.4640	0.4044	0.6529
9	0.0864	0.4263	0.1716	0.4676
10	0.0510	0.4331	0.1710	0.4684
11	0.0351	0.2077	0.1527	0.2602
12	0.0218	0.0394	0.0746	0.0871
13	0.0250	0.0185	0.0562	0.0642
14	0.0255	0.0535	0.0560	0.0816
15	0.0193	0.0692	0.0443	0.0844
16	0.0057	0.0663	0.0177	0.0689
17	0.0242	0.0694	0.0071	0.0738
18	0.0189	0.0553	0.0083	0.0590
19	0.0216	0.0388	0.0149	0.0469
20	0.0261	0.0227	0.0208	0.0403
21	0.0175	0.0119	0.0094	0.0231
22	0.0067	0.0196	0.0145	0.0253
23	0.0238	0.0330	0.0247	0.0476
24	0.0174	0.0205	0.0118	0.0294
25	0.0131	0.0301	0.0103	0.0344
26	0.0192	0.0485	0.0231	0.0571
27	0.0165	0.0387	0.0242	0.0486
28	0.0098	0.0156	0.0140	0.0231
29	0.0054	0.0133	0.0067	0.0158
30	0.0050	0.0165	0.0032	0.0176
31	0.0092	0.0194	0.0079	0.0229
32	0.0098	0.0175	0.0112	0.0230
33	0.0066	0.0150	0.0123	0.0205
34	0.0099	0.0126	0.0136	0.0210
35	0.0138	0.0123	0.0146	0.0236
36	0.0162	0.0210	0.0245	0.0361
37	0.0161	0.0259	0.0307	0.0433
38	0.0110	0.0171	0.0183	0.0273
39	0.0035	0.0077	0.0035	0.0092
40	0.0061	0.0117	0.0130	0.0185
41	0.0097	0.0111	0.0143	0.0205
42	0.0022	0.0040	0.0029	0.0054
43	0.0049	0.0102	0.0105	0.0154
