Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-25.2688	22.2623	-50.9424	61.0675
1	0.4807	0.0776	0.2032	0.5276
2	0.2247	0.1212	0.2162	0.3346
3	0.1179	0.0937	0.0268	0.1529
4	0.0712	0.2043	0.0994	0.2381
5	0.0665	0.0626	0.0060	0.0915
6	0.0368	0.0540	0.0214	0.0688
7	0.0494	0.0278	0.0323	0.0652
8	0.0091	0.0163	0.0167	0.0251
9	0.0124	0.0750	0.0018	0.0760
10	0.0240	0.0239	0.0142	0.0368
11	0.0374	0.0326	0.0061	0.0500
12	0.0123	0.0200	0.0083	0.0250
13	0.0252	0.0189	0.0113	0.0335
14	0.0146	0.0127	0.0042	0.0198
15	0.0161	0.0194	0.0075	0.0263
16	0.0216	0.0125	0.0054	0.0256
17	0.0175	0.0107	0.0025	0.0207
18	0.0111	0.0169	0.0053	0.0209
19	0.0213	0.0164	0.0043	0.0273
20	0.0141	0.0079	0.0051	0.0169
21	0.0139	0.0157	0.0060	0.0218
22	0.0085	0.0104	0.0013	0.0135
23	0.0146	0.0111	0.0046	0.0189
24	0.0162	0.0101	0.0050	0.0198
25	0.0148	0.0087	0.0054	0.0180
26	0.0147	0.0083	0.0030	0.0172
27	0.0080	0.0072	0.0015	0.0109
28	0.0114	0.0067	0.0016	0.0133
29	0.0107	0.0046	0.0039	0.0123
30	0.0130	0.0086	0.0013	0.0156
31	0.0090	0.0082	0.0033	0.0126
32	0.0097	0.0132	0.0031	0.0167
33	0.0099	0.0114	0.0026	0.0153
34	0.0075	0.0090	0.0018	0.0119
35	0.0113	0.0064	0.0076	0.0151
36	0.0094	0.0076	0.0040	0.0127
37	0.0082	0.0051	0.0022	0.0099
38	0.0079	0.0054	0.0039	0.0103
39	0.0064	0.0081	0.0045	0.0113
40	0.0082	0.0063	0.0021	0.0106
41	0.0064	0.0032	0.0023	0.0075
42	0.0087	0.0052	0.0026	0.0105
43	0.0081	0.0075	0.0025	0.0113
44	0.0082	0.0039	0.0036	0.0098
45	0.0053	0.0075	0.0008	0.0093
46	0.0082	0.0068	0.0003	0.0107
47	0.0073	0.0050	0.0007	0.0089
48	0.0045	0.0015	0.0021	0.0052
49	0.0023	0.0012	0.0045	0.0052
50	0.0264	0.0141	0.0259	0.0396
51	0.0078	0.0027	0.0061	0.0103
52	0.0040	0.0053	0.0049	0.0083
53	0.0059	0.0028	0.0025	0.0070
54	0.0086	0.0071	0.0034	0.0116
55	0.0083	0.0049	0.0033	0.0102
56	0.0089	0.0026	0.0008	0.0093
57	0.0048	0.0039	0.0022	0.0066
58	0.0056	0.0047	0.0016	0.0075
59	0.0049	0.0043	0.0023	0.0069
60	0.0060	0.0017	0.0020	0.0065
61	0.0041	0.0037	0.0021	0.0059
62	0.0031	0.0040	0.0005	0.0051
63	0.0060	0.0047	0.0013	0.0078
64	0.0037	0.0038	0.0015	0.0055
65	0.0057	0.0023	0.0016	0.0063
66	0.0046	0.0033	0.0050	0.0075
67	0.0048	0.0028	0.0039	0.0068
68	0.0036	0.0039	0.0049	0.0072
69	0.0046	0.0017	0.0037	0.0062
70	0.0036	0.0061	0.0006	0.0071
71	0.0046	0.0043	0.0028	0.0069
72	0.0043	0.0045	0.0008	0.0063
73	0.0024	0.0031	0.0012	0.0041
74	0.0050	0.0008	0.0039	0.0064
75	0.0057	0.0018	0.0015	0.0062
76	0.0047	0.0019	0.0043	0.0066
77	0.0048	0.0005	0.0020	0.0052
78	0.0052	0.0039	0.0008	0.0066
79	0.0048	0.0042	0.0034	0.0072
80	0.0034	0.0045	0.0033	0.0065
81	0.0042	0.0015	0.0026	0.0051
82	0.0021	0.0013	0.0008	0.0026
83	0.0022	0.0050	0.0030	0.0062
84	0.0043	0.0028	0.0023	0.0056
85	0.0021	0.0032	0.0030	0.0049
86	0.0046	0.0038	0.0009	0.0060
87	0.0038	0.0036	0.0021	0.0057
