Time [s]	X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Magnitude [uT]	X-Gyro [deg/s]	Y-Gyro [deg/s]	Z-Gyro [deg/s]
0.00000000	-25.86383602	22.97209064	-51.07022820	61.68324870	36.53	0.00	0.00	
0.00024414	-25.93704246	22.97209064	-50.99946931	61.65543763	36.53	0.00	0.00	
0.00048828	-26.01024890	22.97209064	-50.99946931	61.68626967	36.53	0.00	0.00	
0.00073242	-25.93704246	23.03610293	-51.07022820	61.73783619	36.53	0.00	0.00	
0.00097656	-25.93704246	22.97209064	-50.99946931	61.65543763	0.00	0.00	0.00	
0.00122070	-25.93704246	23.03610293	-50.92871042	61.62082241	0.00	0.00	0.00	
0.00146484	-26.01024890	23.03610293	-50.99946931	61.71013657	0.00	0.00	0.00	
0.00170898	-26.01024890	23.10011522	-50.99946931	61.73406062	0.00	0.00	0.00	
0.00195313	-26.01024890	23.22813980	-50.99946931	61.78207990	0.00	0.00	0.00	
0.00219727	-26.15666179	23.16412751	-50.99946931	61.81984818	0.00	0.00	0.00	
0.00244141	-26.15666179	23.10011522	-51.07022820	61.85430047	0.00	0.00	0.00	
0.00268555	-26.08345534	23.03610293	-50.99946931	61.74102810	0.00	0.00	0.00	
0.00292969	-26.08345534	23.03610293	-50.99946931	61.74102810	0.00	0.00	0.00	
0.00317383	-26.08345534	23.16412751	-51.07022820	61.84732536	0.00	0.00	0.00	
0.00341797	-26.08345534	23.22813980	-50.99946931	61.81293547	0.00	0.00	0.00	
0.00366211	-26.01024890	23.03610293	-50.99946931	61.71013657	0.00	0.00	0.00	
0.00390625	-26.01024890	22.97209064	-51.07022820	61.74478281	0.00	0.00	0.00	
0.00415039	-26.01024890	23.03610293	-51.07022820	61.76862710	0.00	0.00	0.00	
0.00439453	-26.01024890	23.16412751	-50.99946931	61.75804175	0.00	0.00	0.00	
0.00463867	-26.08345534	23.16412751	-50.99946931	61.78890933	0.00	0.00	0.00	
0.00488281	-26.08345534	23.22813980	-51.07022820	61.87132882	0.00	0.00	0.00	
0.00512695	-26.15666179	23.22813980	-51.07022820	61.90222648	0.00	0.00	0.00	
0.00537109	-26.01024890	23.22813980	-51.07022820	61.84050238	0.00	0.00	0.00	
0.00561523	-26.01024890	23.16412751	-51.07022820	61.81648696	0.00	0.00	0.00	
0.00585938	-26.01024890	23.16412751	-51.07022820	61.81648696	0.00	0.00	0.00	
0.00610352	-26.01024890	23.03610293	-50.99946931	61.71013657	0.00	0.00	0.00	
0.00634766	-26.01024890	23.10011522	-50.99946931	61.73406062	0.00	0.00	0.00	
0.00659180	-26.01024890	23.10011522	-51.07022820	61.79252851	0.00	0.00	0.00	
0.00683594	-25.93704246	23.10011522	-50.99946931	61.70325246	0.00	0.00	0.00	
0.00708008	-25.93704246	23.16412751	-51.07022820	61.78571990	0.00	0.00	0.00	
0.00732422	-25.93704246	23.10011522	-51.07022820	61.76174951	0.00	0.00	0.00	
0.00756836	-25.93704246	23.16412751	-51.07022820	61.78571990	0.00	0.00	0.00	
0.00781250	-25.93704246	23.16412751	-51.21174598	61.90274550	0.00	0.00	0.00	
0.00805664	-26.01024890	23.16412751	-51.07022820	61.81648696	0.00	0.00	0.00	
0.00830078	-26.01024890	23.16412751	-51.14098709	61.87495787	0.00	0.00	0.00	
0.00854492	-26.01024890	23.10011522	-51.07022820	61.79252851	0.00	0.00	0.00	
0.00878906	-26.01024890	23.16412751	-51.07022820	61.81648696	0.00	0.00	0.00	
0.00903320	-26.01024890	23.10011522	-51.07022820	61.79252851	0.00	0.00	0.00	
0.00927734	-26.01024890	23.10011522	-51.07022820	61.79252851	0.00	0.00	0.00	
0.00952148	-25.93704246	23.10011522	-51.07022820	61.76174951	0.00	0.00	0.00	
0.00976563	-25.93704246	23.10011522	-51.07022820	61.76174951	0.00	0.00	0.00	
0.01000977	-25.93704246	23.10011522	-51.07022820	61.76174951	0.00	0.00	0.00	
0.01025391	-25.93704246	23.10011522	-50.99946931	61.70325246	0.00	0.00	0.00	
0.01049805	-25.86383602	23.10011522	-51.07022820	61.73104199	0.00	0.00	0.00	
0.01074219	-25.86383602	23.10011522	-51.07022820	61.73104199	0.00	0.00	0.00	
0.01098633	-25.86383602	23.10011522	-51.07022820	61.73104199	0.00	0.00	0.00	
0.01123047	-25.79062958	23.10011522	-50.99946931	61.64185077	0.00	0.00	0.00	
0.01147461	-25.86383602	23.22813980	-51.07022820	61.77906361	0.00	0.00	0.00	
0.01171875	-26.01024890	23.16412751	-51.07022820	61.81648696	0.00	0.00	0.00	
0.01196289	-25.93704246	23.29215209	-50.99946931	61.77540279	0.00	0.00	0.00	
0.01220703	-26.01024890	23.29215209	-51.14098709	61.92300023	0.00	0.00	0.00	
0.01245117	-26.01024890	23.16412751	-51.07022820	61.81648696	0.00	0.00	0.00	
0.01269531	-25.93704246	23.10011522	-50.99946931	61.70325246	0.00	0.00	0.00	
0.01293945	-25.86383602	23.10011522	-50.99946931	61.67251581	0.00	0.00	0.00	
0.01318359	-25.79062958	23.03610293	-51.07022820	61.67646894	0.00	0.00	0.00	
0.01342773	-25.86383602	22.97209064	-51.14098709	61.74184579	0.00	0.00	0.00	
0.01367188	-25.93704246	23.10011522	-51.21174598	61.87882045	0.00	0.00	0.00	
0.01391602	-25.93704246	23.10011522	-51.07022820	61.76174951	0.00	0.00	0.00	
0.01416016	-25.93704246	23.10011522	-51.14098709	61.82027220	0.00	0.00	0.00	
0.01440430	-25.93704246	23.03610293	-51.14098709	61.79638153	0.00	0.00	0.00	
0.01464844	-25.86383602	23.10011522	-51.21174598	61.84817105	0.00	0.00	0.00	
0.01489258	-25.93704246	23.03610293	-51.21174598	61.85495239	0.00	0.00	0.00	
0.01513672	-25.93704246	23.10011522	-51.14098709	61.82027220	0.00	0.00	0.00	
0.01538086	-25.93704246	23.16412751	-51.14098709	61.84421990	0.00	0.00	0.00	
0.01562500	-25.93704246	23.10011522	-51.14098709	61.82027220	0.00	0.00	0.00	
0.01586914	-25.93704246	23.03610293	-51.07022820	61.73783619	0.00	0.00	0.00	
0.01611328	-25.93704246	23.16412751	-51.14098709	61.84421990	0.00	0.00	0.00	
0.01635742	-25.93704246	23.03610293	-51.14098709	61.79638153	0.00	0.00	0.00	
